8,2,1,12,3,5,6,10,0.0,13,0.1,16,0.2,20,11,9,0.3,17,19,22,21,18,23,7,15,4
Cplx2,Rasgrp1,Ntsr2,Sema4d,Vim,Ubc,Aqp4,Ptprz1,Syn1,Epha4,Cldn16,C1qa,Rasgrp1,Ubc,Syne2,Stxbp1,Epha4,Zbtb20,Neo1,Epb41l1,Srgap3,Bmp7,Arhgef12,Stx1b,Arhgef12,Nfib
Nfib,Grin1,Slc6a11,Jam3,Syne2,Syt1,Aldoc,Chd7,Calm1,Camk2b,Slitrk6,Vsir,Ppp3cb,Zbtb20,Lmnb1,Plxna4,Atp1a3,Dnm1,Gfap,Ncam1,Nfib,Cdh3,Ntsr2,Prex2,Tigit,Arhgef12
Epha4,Stxbp1,Aldoc,Cers2,Pecam1,Stx1b,Apoe,Cntn1,Gabra5,Syt1,Efna4,Glul,Epha7,Flna,Nfia,Plxna2,Sema5a,Grin2a,Calm1,Zbtb20,Glul,Igfbp2,Sox9,Apoe,Wnt3a,Ttc28
Dnm1,Epha4,Sox9,Olig2,Ccdc141,Ptprm,Slc6a11,Kcnip3,Rasgrp1,Zbtb20,Pik3cb,Tgfbr1,Stxbp1,Sema6d,Mki67,Cdh2,Ubc,Atp1a3,Sema6d,Pou3f3,Robo2,Huwe1,Clu,Mapk3,Ntng1,Epha4
Grik2,Epha7,Id4,Olig1,Glul,Erbb4,Ntsr2,Cspg4,Frrs1l,Syp,Stx11,P2ry13,Stx1b,Fzd3,Meis2,Sox4,Stxbp1,Epha7,Nfib,Gria2,Slc1a2,Rgs3,Apoe,Ntm,Gabrg1,Slc25a18
Prox1,Nsf,Gjb6,Rgs3,Cd34,Limk1,Camk2a,Itpr2,Mapk8ip3,Snhg11,Cacna2d2,Grk2,Neurod6,Id4,Zbtb20,Nfix,Nrp2,Unc13a,Slc1a2,Atp1b2,Nhlh2,Arhgef12,Pou3f3,Cd34,Cldn10,Nf1
Nsf,Ppp3cb,Sfxn5,Erbb4,Gnai2,Cux2,Pou3f3,C1ql1,Slc17a7,Srgap3,Pax2,Gfap,Trpc4,Rgs4,Pou3f2,Syne2,Foxg1,Ptprj,Idh2,Cdh2,Plcb1,Tead1,Plxnb1,Dsp,Cldn3,Neurod1
Neurod2,Syt1,Mbp,Sox2,Cobll1,Gabbr1,Id4,Erbb4,Sptan1,Epha7,Syt2,Ptgs1,Syp,S100b,Sox4,Nlgn2,Wwp1,Adcy1,Slc6a11,Sparcl1,Cacna2d1,Dsp,Sfxn5,Apba1,Agt,Sox4
Stxbp6,Gabra5,Pou3f3,Gfap,Bmpr2,Cnr1,Sox9,S100b,Eef1a2,Rab3a,Slitrk2,Srgap2,Prkcg,Sox2,Mfge8,Gria1,Nrp1,Dsp,Htra1,Camk2a,Epb41l1,Msi2,Grm3,Htra1,Epha3,Mapk8ip3
Stxbp1,Syp,Camk2a,Grm3,Trim25,Grik1,Sfxn5,Plp1,Cplx2,Eef1a2,Calb2,Slc1a2,Calm1,Nfia,Pax6,Nrp1,Gabrd,Nfib,Clu,Ntsr2,Cd274,Slc38a3,Gnao1,Cldn5,Nes,Mdga1
Adcy1,Zbtb20,Slc1a3,Lpar1,Gfap,Gnas,Gjb6,Nlgn3,Rab3a,Ppp3cb,Chrna2,Bin1,Bin1,Cadm1,Nlgn2,Flna,Flna,Calm1,Sema4c,Cadm1,Stxbp1,Kcnh1,Gjb6,Glg1,Mki67,Huwe1
Tiam1,Ptprs,Grm3,Efnb3,Slc1a2,Gabrb2,Gnao1,Sox2,Cplx1,Gabra5,Evx1,Mbp,Dlgap1,Srgap3,Cdh2,Foxg1,Chrna4,Cadm1,Apoe,Ccdc88a,Gng7,Lrp6,Slc1a3,Gnal,Alpl,Zbtb20
Nrcam,Trpc4,Prex2,Pak1,Flna,Kcnc1,Slc1a3,Srgap1,Epha4,Frrs1l,Spi1,Chd7,Ptprs,Gnai2,Msi2,Sema5a,Sox4,Grik2,Igfbpl1,Nlgn2,Cacna2d2,Atp1a2,Mbp,Mdga1,Tgfbr1,Lamb1
Epb41l1,Mapk8ip3,Msi2,Ubc,Apoe,Syp,Grm3,Tcf7l2,Stx1b,Neurod2,Gbx2,C1qc,Gabra1,Lrp8,Sox1,Igfbpl1,Unc5d,Atp6v1c1,Ryk,Grik2,Clstn2,Chd6,Fbxo31,Nectin3,Sdc4,Stmn2
Fam163b,Dlgap1,Gnao1,Dpysl2,Ctnnb1,Cntnap1,Cplx2,Jam2,Gria1,Dlgap1,Cdk1,Apoe,Rasd1,Gsn,Egfr,Sptan1,En1,Pak3,Sox9,Sox9,Adcy1,Lamb1,Hopx,Dio2,Creb1,Idh2
C1ql3,Sptan1,Idh2,Stmn1,Gnas,Hcn1,Prex2,Ankrd11,Stmn2,Slc17a7,Slc6a3,Camk2a,Nsf,Axin2,Stmn1,Sema6d,Gabra1,Plcb1,Sfxn5,Cplx2,Fat3,Apoe,Id4,Cacna2d1,Fezf2,Neo1
Frrs1l,Grin2b,Pax6,Ptpn11,Mpzl1,Nsf,Msi2,Ptprm,Cntnap1,Epha6,Icam1,Ptprc,Gabra5,Ptprm,Gfap,Ncam1,Hoxa9,Astn1,Parp1,Gfap,Dync1i1,Mfge8,Sox2,Cplx1,Ap2m1,Tead1
Cntnap1,Prkcg,Ptprz1,Rtn4,Itpr3,Chd6,Ptprm,Ncam1,Ptprs,Neurod6,Rnd1,Efhd2,Parp1,Syne2,Mex3a,Camk2b,Gngt1,Syt1,Neurod1,Id4,Cplx2,March6,Pou3f2,Meis2,Rhoa,Ppp3cb
Sptan1,Neurod2,Fgfr3,Gnai1,Axin2,Kcna2,Ptprz1,Ptprs,Nrp1,Sptan1,Wnt5b,Gnai2,Rab3a,Slc38a3,Tead1,Draxin,Cd40,Ppp3cb,Prox1,Sox11,Slc17a6,Flna,Gphn,Slc6a1,Atp6v1d,Cdh2
Ntrk3,Rab3a,Slc4a4,Chd7,Prom1,Nlgn2,Pax6,Ptprj,Prkcg,Syn1,Gpr151,Rhob,Crmp1,Msi2,Sall3,Pou3f3,Gabrr1,Cntnap1,Agt,Sfxn5,Grk2,Chd2,Pax6,Huwe1,Pld4,Crmp1
