2,5,1,0.2,3,0.3,9,0.6,0.4,17,11,0.0,19,18,0.5,7,21,6,22,10,0.9,16,0.7,0.8,0.1,20,23,13,0.10,12,15,8
Nr4a3,Erbb4,Fabp7,Nrp1,Sparcl1,Zbtb20,Neurod1,Igfbpl1,Nrp1,Neurog2,Cenpf,Ubc,Fgfr1,Clic6,Gria2,Bhlhe22,Reln,Hopx,Emx2,Olig2,Insm1,Laptm5,Bcl6,Prox1,Prkca,Foxj1,Pdlim4,Npy2r,Dcc,Ubc,Slc1a6,Dsp
Gria2,Atp1a3,Atp1a2,Gria2,Cdh5,Nfib,Zbtb20,Nfib,Nrp2,Cxcr4,Top2a,Atp1a3,Epha4,Syne2,Gria1,Neurod2,Nhlh2,Dio2,Nfib,Chd7,Neurod2,C1qb,Cck,Nfib,Atp1a3,Sox9,Chd7,Atp1a3,Grik2,Gsn,Nr2e1,Gria1
Nrp1,Gria1,Sox9,Neurod2,Apcdd1,Gria2,Nfib,Ptprs,Gria1,Grik2,Mki67,Stxbp1,Zbtb20,Cdh3,Hcn1,Gria2,Bin1,Sox9,Grik2,Pdgfra,Gria2,Mrc1,Atp1a3,Zbtb20,Neurod6,Idh2,Zbtb20,Gria1,Zbtb20,Ptprm,Syne2,Nlgn2
Gria1,Cux2,Ptprz1,Zbtb20,Ubc,Grik2,Chd7,Sox11,Epha4,Zbtb20,Draxin,Camk2a,Nfib,Dsp,Grin2a,Nrp1,Cacna2d1,Slc1a2,Nfia,Cntn1,Nrp1,Apoe,Neurod2,Chd7,Gabra5,Vim,Nfib,Prkca,Nrp1,Ptprj,Tnfrsf19,Cdh2
Slit3,Cadm1,Ccdc80,Foxg1,Cldn5,Pard3,Ptprs,Zbtb20,Nectin3,Ptprs,Chd7,Gng2,Pax6,Sox9,Atp1a3,Atp1a3,Snhg11,Fabp7,Chd7,Ptprz1,Epha4,Csf1r,Gria1,Sox11,Stxbp1,Top2a,Nfia,Gria2,Gnai1,Apoe,Sema4f,Atp1a3
Epha6,Snhg11,Gfap,Sox11,Atp1a2,Prkcz,Epha4,Grik2,Zbtb20,Nfib,Nfib,Cplx2,Grik2,Kit,Trpc4,Ncam1,Rgs4,Chd7,Pax6,Cspg4,Zbtb20,Ptprj,Nrp1,Gria1,Ubc,Axin2,Grik2,Ubc,Tubb3,Chd7,Chd2,Ankrd11
Atp1a3,Trpc4,Pou3f3,Neurod6,Ptprm,Gnb3,Sox11,Draxin,Gria2,Gria2,Pax6,Gria1,Ptprs,Tead1,Cadm1,Neurod6,Ndnf,Pax6,Zbtb20,Sox10,Grik2,Ubc,Gria2,Sema6d,Gria1,Clu,Meis2,Gabra5,Casp3,Sqstm1,Ptk2,Cacna1a
Neurod6,Grik1,Slc1a2,Ptprs,Vim,Sema6a,Nfia,Nfia,Atp1a3,Epha4,Cenpe,Syt1,Gria2,Ubc,Robo1,Foxg1,Robo2,Ptprz1,Ptprs,Erbb4,Meis2,Pld4,Stxbp1,Sema5a,Calm1,Meis2,Draxin,Robo1,Nfasc,Atp1a2,Gpr183,Sema4f
Neurod2,Dnm1,Pax6,Epha4,Trim25,Ppp3cc,Grik2,Epha4,Robo1,Gria1,Ccnd2,Stx1b,Sox11,Clu,Neurod2,Cadm1,Cdh4,Ccnd2,Slc1a2,Grik3,Sox11,Grk2,Neurod6,Epha4,Dnm1,Fabp7,Pou3f3,Gabbr1,Gng2,Mag,Wnt3a,Cadm1
Nectin3,Sox1,Id4,Grik2,Lamb1,Tigit,Neo1,Pou3f3,Neurod6,Sox11,Pou3f3,Syt6,Meis2,Cldn2,Dnm1,Hcn1,Msi2,Grm3,Ccnd2,Sall3,Neurod6,Hpgds,Gabra5,Grik3,Crmp1,Id4,Ccdc88a,Stxbp1,Neurod6,Plp1,Itgb2l,Atp6v1h
Robo1,Sox2,Mfge8,Pou3f3,Mpzl1,Atp6v1f,Prox1,Meis2,Grin2a,Nrp1,Sox2,Nrcam,Foxg1,Msi2,Kcnd2,Stxbp1,Chd7,Pou3f3,Idh2,C1ql1,Pou3f3,C1qa,Frrs1l,Rab3a,Nrcam,Msi2,Lrp8,Cadm1,Ptprs,Mbp,Rras,Gria2
Grin2a,Stxbp1,Sox2,Meis2,Col3a1,Vsx2,Lrp8,Sox4,Sptan1,Srgap3,Sox9,Socs7,Nrp1,Igfbp2,Stxbp1,Fezf2,Trp73,Gfap,Stxbp1,Fabp7,Foxg1,P2ry12,Gnai1,Plxna4,Gria2,Ccdc80,Vim,Dnm1,Rbfox2,Lpar1,Bmpr1b,Plcb1
Dnm1,Nxph1,Msi2,Nfib,Axin2,Btrc,Nfix,Lrp8,Crmp1,Foxg1,Mfge8,Stmn2,Neurod6,Igf1r,Nrcam,Grik3,Diablo,Mfge8,Draxin,Ankrd11,Ptprs,Sall1,Foxg1,Nfia,Cplx2,Slc38a1,Srgap3,Neurod2,Grin2b,Tet2,Cx3cl1,Atp6v0a1
Cadm1,Robo1,Htra1,Neo1,Lef1,Cacnb1,Gria2,Pax6,Cadm1,Ncam1,Lmnb1,Calm1,Nlgn2,Chd2,Grin2b,Srgap1,Kit,Nfia,Lrp8,Sdc3,Nfib,Mki67,Crmp1,Flna,Grin1,Pou3f2,Fabp7,Nlgn2,Syn1,Alpl,Nfe2l2,Plxna4
