2,5,1,0.2,3,0.3,9,0.6,0.4,17,11,0.0,19,18,0.5,7,21,6,22,10,0.9,16,0.7,0.8,0.1,20,23,13,0.10,12,15,8
Hcn1,Ncam1,Slc1a3,Nlgn2,Igf1r,Sdc1,Gria1,Chd7,Stxbp1,Astn1,Egfr,Epb41l1,Srgap3,Lef1,Gabra5,Gng2,Srgap3,Sox2,Pou3f3,Pou3f3,Neo1,Cd86,Stmn2,Idh2,Slc17a7,Ptprz1,Fzd3,Nectin3,Pak3,Stxbp6,Cdk19,Gng2
Epha4,Gabbr1,Vim,Hcn1,Bmp7,Fos,Sema6d,Nfix,Neurod2,Pou3f3,Grm3,Dync1i1,Stxbp1,Apoe,Nectin3,Nlgn2,Nfib,Atp1a2,Neurod1,Egfr,Ccdc88a,Sparcl1,Cadm1,Ptprs,Robo1,Ptprm,Nfix,Epha7,Ephb2,Ncam2,Ccdc88c,Nrcam
Zbtb20,Gng2,Ccnd2,Kcnq3,Pecam1,Junb,Draxin,Foxg1,Prkca,Neurod2,Syne2,Cx3cr1,Cadm1,Chd6,Grin1,Grin2a,Cxcl12,Ccdc80,Lhx2,Kcnd2,Mapk8ip3,Itgam,Chl1,Nipbl,Grin2a,Chd6,Pak3,Gnai1,Mdga1,Draxin,Nrn1,Stx1b
Foxg1,Dlx1,Chd7,Sox4,Kit,Cplx3,Eomes,Mex3a,Calm1,Neurod1,Ccdc80,Dlg4,Slc6a11,Itpr1,Srgap1,Sox11,Ptprs,Sparcl1,Cenpf,Ctnnb1,Gria1,Cenpf,Grin2a,Draxin,Gap43,Gnao1,Cdh2,Stmn2,Chl1,Gnal,Fbxo8,Dnm1
Crmp1,Stmn2,Cdh2,Atp1a3,Cxcl12,Cdh1,Limk1,Gria2,Dnm1,Plcb1,Ptprz1,Vldlr,March6,Bmp7,Slitrk1,Bin1,Ccnd2,Vim,Slc6a11,Etv5,Celf2,Chd7,Tet2,Gnao1,Stmn2,Pax6,Nlgn2,Trpc4,Slc1a2,Calm1,Gosr1,Calm1
Sptan1,Tet2,Grm3,Nfix,Ccdc141,Cldn10,Pax6,Neo1,Srgap3,Atp6v0a1,Slc1a2,Rac1,Neurod2,Pdgfra,Epha5,Stmn2,Kcnh7,Htra1,Srgap3,Nlgn2,Kcnq3,Atp1a2,Hcn1,Myt1l,Nsf,Trp73,Sox9,Grin2a,Nr2f1,Pdgfra,Gnao1,Evx1
Prkca,Epb41l1,Gli3,Ncam1,Glul,Cd226,Tead1,Lhx2,Stmn2,Sptan1,Sox1,Gng4,Celf2,Idh2,Epha7,Robo1,Ubc,Gnao1,Chd6,Sparcl1,Nfia,P2ry13,Robo1,Cplx2,Prkcg,Fzd3,Ccdc80,Calm1,Sdc3,Ctnnb1,Sema6c,Ccdc88a
Tubb3,Cacnb4,Nfia,Tubb3,Gnai2,Sema3a,Igfbpl1,Zfp609,Gabra5,Cnr1,Vim,Plaa,Slc1a2,Ptprm,Foxg1,Dync1i1,Adcy2,Id4,Igf1r,Kcnip3,Sox4,Chd2,Epha5,Prex2,Sptan1,Nfib,Mest,Bin1,Snap29,Casp3,Gng4,Neo1
Neo1,Grik3,Sall1,Plxna2,Cd34,Slc18a3,Sox4,Tead1,Camk2b,Nfix,Cdh4,Cntn1,Sox9,Cntn1,Crmp1,Nfasc,Clstn2,Ptprj,Ptprz1,Sox2,Igf1r,Cx3cr1,Tuba1a,Slc38a1,Stx1b,Sox2,Mex3a,Srgap1,Ssh2,Gap43,Atp6v0e2,Nptx2
Stmn2,Ptprm,Sparcl1,Stmn1,Bmp5,Cldn7,Plcb1,Btg1,Grik2,Cacna2d1,Slc1a3,Negr1,Astn1,Rgs3,Gnai1,Nfix,Cobll1,Cdh2,Nipbl,Gpr17,Epb41l1,Ptprc,Grin1,Rnf2,Syp,Gli3,Msi2,Nrcam,Pou3f2,Fabp7,Satb2,C1ql3
Gabra5,Bin1,Nfib,Gabra2,Sema7a,Gabrr2,Bin1,Plcb1,Stx1b,Igfbpl1,Nfia,Erbb4,Cacna2d1,Gnas,Bin1,Epha4,Cacna2d2,Msi2,Msi2,Nlgn3,Astn1,Gnai2,Sema4f,Grik2,Gabbr1,Tead1,Cdh4,Crmp1,Lhx2,Gnas,Prex2,Ptprs
Camk2b,Lhx6,Ptprj,Cadm1,Gnas,Cacng5,Stxbp1,Chd2,Tubb3,Mex3a,Pou3f2,Cntnap2,Huwe1,Cux2,Sptan1,Plxna2,Vcan,Axin2,Atp1a2,Map2,Crmp1,C1qc,Dcx,Syt6,Gng4,Ankrd11,Slc1a2,Dab1,Fbxw11,Nfasc,Chd7,Cldn3
Srgap3,Epha7,Axin2,Lamb1,Cobll1,P2rx4,Plxna4,Kcnq3,Cacna2d1,Neo1,Sall1,Cldn16,Fabp7,Huwe1,Neurod6,Calm1,Nfasc,Nfib,Fabp7,Bmp7,Gabbr2,Tmem119,Epb41l1,Clstn2,Grin2b,Chd7,Sox2,Grin1,Neo1,Dock7,Creb1,Atp6v1d
Stxbp1,Nlgn2,Vcan,Chl1,Pdgfrb,Shh,Flna,Plxna4,Ubc,Draxin,Olig2,Ppp3cb,Zfp609,Lrp6,Stmn2,Epb41l1,Dync1i1,Cdh4,Ccdc88a,Omg,Camk2b,Ptgs1,Gng3,Cntn1,Frrs1l,Jam2,Gabbr2,Gng2,Rab3a,Bin1,Sall3,Epm2a
Grin2b,Ccdc88a,Hes5,Srgap1,Pdgfra,S100a6,Foxg1,Srgap3,Gabra2,Nfia,Ccna2,Fxyd7,Pou3f3,Atp1a1,Gabbr1,Stx1b,Stxbp1,Slc1a3,Chd2,Cdh4,Cd24a,Ccnd2,Prkca,Kcna2,Syt1,Jam3,Sall1,Kit,Mest,Cux2,Syt9,Nrxn1
Bin1,Gad1,Ubc,Gria1,Itgb1,Arv1,Cdh2,Stmn1,Foxg1,Ccdc88a,Prox1,Crmp1,Ccdc80,Axin2,Calm1,Ptk2,Lhx5,Igf1r,Nfix,Top2a,Cadm1,Trim25,Tubb3,Sema4d,Nrp1,Atp1a1,Idh2,Sptan1,Cdkl5,Gabbr1,Ripk1,Rbfox3
