10,0,15,2,14,4,8,19,5,16,17,18,20,6,1,11,9,7,12,3
Gria1,Sparcl1,Zbtb20,Ubc,Nfib,Pdgfra,Cldn5,Atp1a1,Snhg11,Atp1a2,Laptm5,Gpr17,Reln,Atp1a3,Atp1a3,Snhg11,Meis2,Tcf7l2,Camk2b,Trpc4
Grin2a,Atp1a2,Nfib,Atp1a3,Chd7,Olig2,Cdh5,Idh2,Atp1a3,Sparcl1,Csf1r,Sox10,Snhg11,Ubc,Stxbp1,Atp1a3,Grik2,Snhg11,Dnm1,Sema7a
Atp1a3,Slc1a2,Epha4,Calm1,Ccnd2,Sox10,Apcdd1,Slc38a1,Erbb4,Lamb1,C1qb,Mbp,Ndnf,Stxbp1,Gria1,Dnm1,Dnm1,Cadm1,Stxbp1,Dnm1
Epha6,Fabp7,Neurod1,Stxbp1,Ptprs,Cntn1,Ptprm,Foxj1,Grik1,Apcdd1,P2ry12,Tcf7l2,Cacna2d1,Tcf7l2,Calm1,Grik1,Gng7,Dnm1,Gap43,Gria1
Neurod6,Aqp4,Prox1,Crmp1,Mki67,Kcnip3,Sparcl1,Sox9,Dnm1,Cdh5,Pld4,Itpr2,Bin1,Dnm1,Pak3,Stxbp1,Ngef,Atp1a3,Gnaq,Ppp3cb
Gria2,Grm3,Sox11,Stmn2,Top2a,Gpr17,Pecam1,Vim,Gria1,Vim,Hpgds,Olig2,Trp73,Stx1b,Crmp1,Gls,Gria1,Srgap1,Neurod6,Sptan1
Stxbp1,Htra1,Gria2,Frrs1l,Cenpf,Sdc3,Cd34,Ccdc153,Stxbp1,Col3a1,Cx3cr1,Plp1,Rgs4,Stmn2,Tubb3,Grin1,Robo1,Ntm,Robo1,Rbfox3
Dnm1,Gabbr1,Plxna4,Cplx2,Meis2,Cspg4,Vim,Clu,Gad1,Pdgfrb,Sall1,Nfasc,Cxcl12,Eef1a2,Dnm1,Srgap1,Robo2,Grik3,Sptan1,Rras2
Crmp1,Ptprz1,Ptprs,Rab3a,Sox4,Chd7,Lef1,Msi2,Cux2,Axin2,Ptprj,Grik3,Diablo,Gad1,Neurod2,Cadm1,Atp1a3,Lef1,Mast3,Lrrc4c
Epha7,Gfap,Plxna2,Stx1b,Sox11,Erbb4,Mpzl1,Clic6,Ptprm,Cxcl12,P2ry13,Mpzl1,Nhlh2,Syt1,Epb41l1,Stmn2,Gnal,Grik2,Efnb3,Slitrk1
