names,scores,logfoldchanges,pvals,pvals_adj,time_point,cluster,abs_logfoldchanges,-log10_pvals_adj,significant,regulation
Clu,1.7075026,1.6791584,0.08772866512056787,1.0,p7,20,1.6791584,-0.0,False,not_significant
Vim,1.6228259,0.7984887,0.1046266305596762,1.0,p7,20,0.7984887,-0.0,False,not_significant
Gfap,1.4517264,0.7562772,0.14657768522133782,1.0,p7,20,0.7562772,-0.0,False,not_significant
Slc38a1,1.380144,0.525245,0.1675423073578015,1.0,p7,20,0.525245,-0.0,False,not_significant
Pax6,1.0292156,1.0322486,0.3033783938810364,1.0,p7,20,1.0322486,-0.0,False,not_significant
Lrp8,1.0117564,0.99635106,0.31165452754577994,1.0,p7,20,0.99635106,-0.0,False,not_significant
Nfia,0.9070017,0.45227358,0.36440591684070545,1.0,p7,20,0.45227358,-0.0,False,not_significant
Dock7,0.90350986,1.830843,0.3662553685521406,1.0,p7,20,1.830843,-0.0,False,not_significant
Atp1b2,0.90089095,0.94900274,0.3676462927158384,1.0,p7,20,0.94900274,-0.0,False,not_significant
Hopx,0.8921614,2.225674,0.3723064248770752,1.0,p7,20,2.225674,-0.0,False,not_significant
Fabp7,0.8458947,0.780732,0.39761147872377856,1.0,p7,20,0.780732,-0.0,False,not_significant
Alpl,0.79875505,1.9488373,0.4244324445701132,1.0,p7,20,1.9488373,-0.0,False,not_significant
Bmp7,0.7961362,1.9014511,0.42595287177541885,1.0,p7,20,1.9014511,-0.0,False,not_significant
Ccdc153,0.76558274,1.0904524,0.4439246215428412,1.0,p7,20,1.0904524,-0.0,False,not_significant
Plcg1,0.7498695,1.4236014,0.4533332941116054,1.0,p7,20,1.4236014,-0.0,False,not_significant
Cplx2,0.6765412,0.72827446,0.49869710725996874,1.0,p7,20,0.72827446,-0.0,False,not_significant
Fbxo38,0.6442418,1.0512598,0.5194186502323096,1.0,p7,20,1.0512598,-0.0,False,not_significant
Prom1,0.64336884,1.5425531,0.5199847959841066,1.0,p7,20,1.5425531,-0.0,False,not_significant
Ntn3,0.63114744,29.979221,0.5279441162469309,1.0,p7,20,29.979221,-0.0,False,not_significant
Hspd1,0.56480277,1.78388,0.5722079233224469,1.0,p7,20,1.78388,-0.0,False,not_significant
Arv1,0.55694616,2.8223126,0.5775642138694415,1.0,p7,20,2.8223126,-0.0,False,not_significant
S100a6,0.5421059,1.5854176,0.5877455520085939,1.0,p7,20,1.5854176,-0.0,False,not_significant
Rras2,0.5176631,1.9530714,0.6046933302614927,1.0,p7,20,1.9530714,-0.0,False,not_significant
Cux2,0.51155245,1.024696,0.6089642848722951,1.0,p7,20,1.024696,-0.0,False,not_significant
Sema3b,0.49147442,3.443921,0.6230909297834121,1.0,p7,20,3.443921,-0.0,False,not_significant
Calb2,0.4862367,2.1545897,0.6267993562712582,1.0,p7,20,2.1545897,-0.0,False,not_significant
Acta2,0.47488827,2.5352042,0.6348666173080082,1.0,p7,20,2.5352042,-0.0,False,not_significant
Nrp2,0.45393732,1.1011622,0.6498739482219991,1.0,p7,20,1.1011622,-0.0,False,not_significant
Gabra5,0.44957253,2.7503183,0.6530187000241721,1.0,p7,20,2.7503183,-0.0,False,not_significant
Nrxn3,0.44084296,2.5496435,0.6593266864681613,1.0,p7,20,2.5496435,-0.0,False,not_significant
Cfl1,0.4321134,1.3788328,0.6656589949729481,1.0,p7,20,1.3788328,-0.0,False,not_significant
Tgfb2,0.42687565,1.7332436,0.6694698923836226,1.0,p7,20,1.7332436,-0.0,False,not_significant
Ssh1,0.42338383,1.4803865,0.6720152349240436,1.0,p7,20,1.4803865,-0.0,False,not_significant
Camkk1,0.419892,1.527346,0.674564343233359,1.0,p7,20,1.527346,-0.0,False,not_significant
Cacna1c,0.4041788,2.624076,0.6860812438020059,1.0,p7,20,2.624076,-0.0,False,not_significant
Kcnq3,0.3937033,2.0560076,0.6938000889653522,1.0,p7,20,2.0560076,-0.0,False,not_significant
Pak3,0.39283037,0.7467158,0.6944447758760002,1.0,p7,20,0.7467158,-0.0,False,not_significant
Ssh3,0.37449828,4.6983466,0.7080336350919292,1.0,p7,20,4.6983466,-0.0,False,not_significant
Mthfs,0.37449828,3.9020176,0.7080336350919292,1.0,p7,20,3.9020176,-0.0,False,not_significant
Grin2d,0.37449828,4.00612,0.7080336350919292,1.0,p7,20,4.00612,-0.0,False,not_significant
Unc5b,0.37449828,4.4097333,0.7080336350919292,1.0,p7,20,4.4097333,-0.0,False,not_significant
Cxcl12,0.37275237,3.0726206,0.709332756338201,1.0,p7,20,3.0726206,-0.0,False,not_significant
Stx7,0.37100646,2.929244,0.7106327233185787,1.0,p7,20,2.929244,-0.0,False,not_significant
Pla2g4a,0.35529324,2.0710626,0.7223699183597967,1.0,p7,20,2.0710626,-0.0,False,not_significant
Syt9,0.35005552,1.5444453,0.726297044136849,1.0,p7,20,1.5444453,-0.0,False,not_significant
Foxj1,0.34307185,0.59754884,0.731544406294824,1.0,p7,20,0.59754884,-0.0,False,not_significant
Efna1,0.34307185,1.6184993,0.731544406294824,1.0,p7,20,1.6184993,-0.0,False,not_significant
Epm2a,0.3360882,0.9361382,0.7368043555981753,1.0,p7,20,0.9361382,-0.0,False,not_significant
Gabrb1,0.3343423,1.1264938,0.738121283108294,1.0,p7,20,1.1264938,-0.0,False,not_significant
Apba1,0.3282316,3.4928877,0.7427365614899675,1.0,p7,20,3.4928877,-0.0,False,not_significant
Atp1a3,0.3282316,4.2390733,0.7427365614899675,1.0,p7,20,4.2390733,-0.0,False,not_significant
Cacnb2,0.32473975,2.6389487,0.7453780336527907,1.0,p7,20,2.6389487,-0.0,False,not_significant
Fgf12,0.32473975,1.8716503,0.7453780336527907,1.0,p7,20,1.8716503,-0.0,False,not_significant
Gng10,0.32473975,2.6238084,0.7453780336527907,1.0,p7,20,2.6238084,-0.0,False,not_significant
Hmgb2,0.32299384,1.8062167,0.7466998953938908,1.0,p7,20,1.8062167,-0.0,False,not_significant
Emx2,0.32124794,1.8090667,0.7480225027680837,1.0,p7,20,1.8090667,-0.0,False,not_significant
Psen1,0.31513724,1.0117621,0.7526574482129056,1.0,p7,20,1.0117621,-0.0,False,not_significant
Cacnb4,0.3098995,0.81820846,0.75663737534665,1.0,p7,20,0.81820846,-0.0,False,not_significant
Atp6v1c1,0.3098995,1.1560278,0.75663737534665,1.0,p7,20,1.1560278,-0.0,False,not_significant
Prickle2,0.3081536,1.1150283,0.7579654593467297,1.0,p7,20,1.1150283,-0.0,False,not_significant
Rspo3,0.29942402,1.2824026,0.7646165265965862,1.0,p7,20,1.2824026,-0.0,False,not_significant
Apaf1,0.29942402,1.069374,0.7646165265965862,1.0,p7,20,1.069374,-0.0,False,not_significant
Atp6v0d1,0.29244038,0.96067667,0.7699499359832719,1.0,p7,20,0.96067667,-0.0,False,not_significant
Prox1,0.29244038,0.7997689,0.7699499359832719,1.0,p7,20,0.7997689,-0.0,False,not_significant
Syn2,0.2819649,2.4697266,0.7779704195647712,1.0,p7,20,2.4697266,-0.0,False,not_significant
Syn1,0.280219,2.0344474,0.779309495349765,1.0,p7,20,2.0344474,-0.0,False,not_significant
Cd2,0.280219,2.3854508,0.779309495349765,1.0,p7,20,2.3854508,-0.0,False,not_significant
Crmp1,0.27847308,2.031854,0.780649226421512,1.0,p7,20,2.031854,-0.0,False,not_significant
Fgfr1,0.26974353,0.78721434,0.7873575791003974,1.0,p7,20,0.78721434,-0.0,False,not_significant
Cdk6,0.25577623,1.4992996,0.798123640499187,1.0,p7,20,1.4992996,-0.0,False,not_significant
Slc6a1,0.25403032,0.937398,0.799472147652166,1.0,p7,20,0.937398,-0.0,False,not_significant
Ptpn11,0.25053847,0.36046794,0.8021709527552136,1.0,p7,20,0.36046794,-0.0,False,not_significant
Cdk5,0.23046048,1.38389,0.8177339687950499,1.0,p7,20,1.38389,-0.0,False,not_significant
Gosr1,0.22871457,1.1937112,0.8190907712378604,1.0,p7,20,1.1937112,-0.0,False,not_significant
Epb41l1,0.22173092,0.5606213,0.8245233607634644,1.0,p7,20,0.5606213,-0.0,False,not_significant
Cdh9,0.21038249,27.58137,0.8333691622202571,1.0,p7,20,27.58137,-0.0,False,not_significant
Sema6c,0.21038249,27.293278,0.8333691622202571,1.0,p7,20,27.293278,-0.0,False,not_significant
Neurod6,0.21038249,25.55814,0.8333691622202571,1.0,p7,20,25.55814,-0.0,False,not_significant
Plcg2,0.21038249,26.405872,0.8333691622202571,1.0,p7,20,26.405872,-0.0,False,not_significant
Unc5a,0.21038249,26.518085,0.8333691622202571,1.0,p7,20,26.518085,-0.0,False,not_significant
Vamp4,0.21038249,27.3043,0.8333691622202571,1.0,p7,20,27.3043,-0.0,False,not_significant
Tuba4a,0.21038249,28.821766,0.8333691622202571,1.0,p7,20,28.821766,-0.0,False,not_significant
Best1,0.21038249,27.49807,0.8333691622202571,1.0,p7,20,27.49807,-0.0,False,not_significant
Tgfb1,0.21038249,27.580147,0.8333691622202571,1.0,p7,20,27.580147,-0.0,False,not_significant
Eomes,0.21038249,27.978664,0.8333691622202571,1.0,p7,20,27.978664,-0.0,False,not_significant
Chrna4,0.21038249,27.549713,0.8333691622202571,1.0,p7,20,27.549713,-0.0,False,not_significant
Kcnh7,0.21038249,25.345482,0.8333691622202571,1.0,p7,20,25.345482,-0.0,False,not_significant
Ephb6,0.21038249,27.303759,0.8333691622202571,1.0,p7,20,27.303759,-0.0,False,not_significant
Itpr3,0.21038249,26.645924,0.8333691622202571,1.0,p7,20,26.645924,-0.0,False,not_significant
Pdgfb,0.21038249,27.679195,0.8333691622202571,1.0,p7,20,27.679195,-0.0,False,not_significant
Stx3,0.21038249,26.770025,0.8333691622202571,1.0,p7,20,26.770025,-0.0,False,not_significant
Alg13,0.21038249,28.449333,0.8333691622202571,1.0,p7,20,28.449333,-0.0,False,not_significant
Mast3,0.1981611,0.3801355,0.8429190253816843,1.0,p7,20,0.3801355,-0.0,False,not_significant
Clic6,0.1981611,0.70751137,0.8429190253816843,1.0,p7,20,0.70751137,-0.0,False,not_significant
Gad1,0.18943153,2.461604,0.8497546132389979,1.0,p7,20,2.461604,-0.0,False,not_significant
Efnb2,0.18943153,1.360181,0.8497546132389979,1.0,p7,20,1.360181,-0.0,False,not_significant
Rac1,0.18419379,0.6568989,0.8538614283770343,1.0,p7,20,0.6568989,-0.0,False,not_significant
Tbc1d24,0.18244788,0.741423,0.8552312530217552,1.0,p7,20,0.741423,-0.0,False,not_significant
Rock2,0.18070197,0.8156144,0.8566015140771777,1.0,p7,20,0.8156144,-0.0,False,not_significant
Snap29,0.17721014,0.4218142,0.8593433292596847,1.0,p7,20,0.4218142,-0.0,False,not_significant
Bcl2,0.17197241,0.628699,0.8634592240090325,1.0,p7,20,0.628699,-0.0,False,not_significant
Nr2f1,0.16673467,1.210706,0.8675788277976066,1.0,p7,20,1.210706,-0.0,False,not_significant
Pdlim4,0.16498876,1.4930027,0.8689528343265828,1.0,p7,20,1.4930027,-0.0,False,not_significant
Tafa2,0.16324285,3.1437457,0.8703272367032455,1.0,p7,20,3.1437457,-0.0,False,not_significant
Dab2ip,0.16324285,2.7757535,0.8703272367032455,1.0,p7,20,2.7757535,-0.0,False,not_significant
Atp6v0e,0.16324285,2.8739748,0.8703272367032455,1.0,p7,20,2.8739748,-0.0,False,not_significant
Ap2a1,0.16324285,-0.010139158,0.8703272367032455,1.0,p7,20,0.010139158,-0.0,False,not_significant
Itgb7,0.16324285,4.483133,0.8703272367032455,1.0,p7,20,4.483133,-0.0,False,not_significant
Disc1,0.16324285,2.7889035,0.8703272367032455,1.0,p7,20,2.7889035,-0.0,False,not_significant
Prkaca,0.16324285,-0.040628117,0.8703272367032455,1.0,p7,20,0.040628117,-0.0,False,not_significant
Sema6a,0.16324285,3.0838082,0.8703272367032455,1.0,p7,20,3.0838082,-0.0,False,not_significant
Fgf13,0.16324285,2.7453265,0.8703272367032455,1.0,p7,20,2.7453265,-0.0,False,not_significant
Syt2,0.16324285,3.0002902,0.8703272367032455,1.0,p7,20,3.0002902,-0.0,False,not_significant
Bax,0.16324285,3.242067,0.8703272367032455,1.0,p7,20,3.242067,-0.0,False,not_significant
Grik1,0.16149692,1.6640993,0.8717020308509694,1.0,p7,20,1.6640993,-0.0,False,not_significant
Slc17a7,0.16149692,1.387496,0.8717020308509694,1.0,p7,20,1.387496,-0.0,False,not_significant
Rras,0.16149692,1.8947854,0.8717020308509694,1.0,p7,20,1.8947854,-0.0,False,not_significant
Smarce1,0.16149692,1.6488851,0.8717020308509694,1.0,p7,20,1.6488851,-0.0,False,not_significant
Ptprc,0.16149692,0.9811822,0.8717020308509694,1.0,p7,20,0.9811822,-0.0,False,not_significant
