time_point,cluster,ctrl_cells,mut_cells,total_genes,significant_genes,upregulated,downregulated
p7,0,1117,895,960,3,0,3
p7,1,1240,720,960,8,1,7
p7,10,595,217,960,3,0,3
p7,11,574,340,960,8,0,8
p7,13,197,100,960,4,0,4
p7,16,189,110,960,2,0,2
p7,17,175,133,960,1,0,1
p7,19,214,93,960,0,0,0
p7,2,1365,686,960,21,0,21
p7,20,241,55,960,3,0,3
p7,21,104,68,960,1,0,1
p7,22,169,108,960,2,0,2
p7,3,755,435,960,3,0,3
p7,5,493,308,960,9,0,9
p7,6,639,243,960,7,0,7
p7,7,131,76,960,0,0,0
p7,8,141,60,960,1,0,1
p7,9,709,373,960,9,2,7
p30,0,858,63,960,7,7,0
p30,1,1042,398,960,127,126,1
p30,10,269,273,960,220,218,2
p30,11,127,65,960,88,87,1
p30,12,996,421,960,209,209,0
p30,13,257,794,960,261,258,3
p30,16,244,152,960,205,203,2
p30,2,1045,98,960,42,28,14
p30,20,160,180,960,123,123,0
p30,3,542,428,960,339,339,0
p30,5,359,171,960,225,224,1
p30,6,332,414,960,192,190,2
p30,8,1188,476,960,382,380,2
p0,0,479,2535,960,16,11,5
p0,1,207,599,960,11,3,8
p0,10,75,100,960,1,1,0
p0,11,90,284,960,4,3,1
p0,16,51,69,960,1,1,0
p0,17,97,297,960,9,7,2
p0,19,78,221,960,1,1,0
p0,2,209,686,960,27,11,16
p0,21,50,191,960,1,1,0
p0,22,59,146,960,1,1,0
p0,3,328,534,960,47,1,46
p0,5,367,621,960,58,4,54
p0,6,159,188,960,7,2,5
p0,7,1278,191,960,117,4,113
p0,9,155,462,960,6,2,4
e16,14,907,446,960,98,8,90
e16,18,136,181,960,58,2,56
e16,21,133,82,960,7,0,7
e16,3,353,438,960,41,10,31
e16,4,1835,1132,960,60,18,42
e16,5,123,131,960,6,0,6
e16,7,87,90,960,0,0,0
