names,scores,logfoldchanges,pvals,pvals_adj,time_point,cluster,abs_logfoldchanges,-log10_pvals_adj,significant,regulation
Nfix,13.895841,2.7980235,6.713061539543629e-44,6.444539077961883e-41,p30,3,2.7980235,40.19080813852097,True,upregulated
Shank3,13.106808,2.2809162,3.0100299137031176e-39,1.4448143585774965e-36,p30,3,2.2809162,35.84018795098684,True,upregulated
Gnao1,12.897576,2.8793013,4.644769894316577e-38,1.4863263661813044e-35,p30,3,2.8793013,34.827885818119846,True,upregulated
Sfxn5,12.698616,2.233714,6.018474085446655e-37,1.4444337805071974e-34,p30,3,2.233714,33.840302363421394,True,upregulated
Glg1,12.540971,2.4890347,4.4550388239716934e-36,8.553674542025653e-34,p30,3,2.4890347,33.067847278195565,True,upregulated
Shank1,12.251993,2.4459488,1.6391641623039982e-34,2.622662659686397e-32,p30,3,2.4459488,31.581257566999593,True,upregulated
Dpysl2,12.2178335,2.1956382,2.496501174886938e-34,3.423773039844943e-32,p30,3,2.1956382,31.465495032198703,True,upregulated
Cplx2,11.835261,1.9834713,2.5654303948114907e-32,3.0005399741949375e-30,p30,3,1.9834713,29.522800583043313,True,upregulated
Adcy1,11.827529,2.2097147,2.813006225807754e-32,3.0005399741949375e-30,p30,3,2.2097147,29.522800583043313,True,upregulated
Epb41l1,11.763824,1.9929938,5.995531539632108e-32,5.755710278046824e-30,p30,3,1.9929938,29.239901075022487,True,upregulated
Gnb1,11.673808,2.0629022,1.734803935469748e-31,1.514010707319053e-29,p30,3,2.0629022,28.819871053427004,True,upregulated
Slc38a3,11.250613,2.2705538,2.2998775229665907e-29,1.8399020183732725e-27,p30,3,2.2705538,26.73520530417136,True,upregulated
Ctnnb1,11.214491,1.8403933,3.461724233895601e-29,2.556350203492136e-27,p30,3,1.8403933,26.59237965089473,True,upregulated
Plxna2,10.724014,1.8634607,7.851984432305658e-27,5.384217896438166e-25,p30,3,1.8634607,24.268877372761445,True,upregulated
Atp1b2,10.373641,2.1159828,3.2683037832010994e-25,2.0917144212487036e-23,p30,3,2.1159828,22.679497609356364,True,upregulated
Glul,10.355522,1.4272698,3.950261565567467e-25,2.3701569393404803e-23,p30,3,1.4272698,22.625222896338848,True,upregulated
Camk2a,10.335557,1.7199824,4.865788762870085e-25,2.7477395366795774e-23,p30,3,1.7199824,22.561024437239833,True,upregulated
Pdgfb,10.268737,2.1456366,9.747296834030978e-25,5.198558311483189e-23,p30,3,2.1456366,22.284117080245654,True,upregulated
Ap2b1,9.98299,2.2637966,1.8093004222515587e-23,9.141728449271033e-22,p30,3,2.2637966,21.038971683367702,True,upregulated
Ptprs,9.855005,1.6403674,6.521355506081629e-23,3.130250642919182e-21,p30,3,1.6403674,20.504420886581787,True,upregulated
Rhob,9.6576605,1.4767022,4.561638736759145e-22,2.0853205653756093e-20,p30,3,1.4767022,19.680827173749023,True,upregulated
Apoe,9.532329,1.5085814,1.537937378504179e-21,6.710999469836418e-20,p30,3,1.5085814,19.173212795492624,True,upregulated
Mapk8ip3,9.33083,1.6296717,1.0504557618656432e-20,4.2201645797033095e-19,p30,3,1.6296717,18.374670611914336,True,upregulated
Nlgn2,9.330368,1.482547,1.0550411449258275e-20,4.2201645797033095e-19,p30,3,1.482547,18.374670611914336,True,upregulated
Eef1a2,9.219347,1.882237,2.989150321277553e-20,1.1478337233705804e-18,p30,3,1.882237,17.940121019823767,True,upregulated
Zbtb20,9.145718,1.3410583,5.923517504532326e-20,2.187144924750397e-18,p30,3,1.3410583,17.660122438757483,True,upregulated
Ap2a1,9.1207905,2.4326665,7.457867451967361e-20,2.6516862051439504e-18,p30,3,2.4326665,17.576477870703773,True,upregulated
Gnas,9.04116,1.3504412,1.5501840889849838e-19,5.314916876519944e-18,p30,3,1.3504412,17.27450352330456,True,upregulated
Plxnb1,8.975378,2.3752544,2.82380282867079e-19,9.34776108801365e-18,p30,3,2.3752544,17.029292395925005,True,upregulated
Mapk3,8.953682,1.9537314,3.438192245407823e-19,1.1002215185305034e-17,p30,3,1.9537314,16.958519865214587,True,upregulated
Huwe1,8.9084425,1.2900174,5.17544953698778e-19,1.6027198566155705e-17,p30,3,1.2900174,16.79514238242341,True,upregulated
Atp1a3,8.893555,1.518704,5.918433544628059e-19,1.7755300633884176e-17,p30,3,1.518704,16.75067196979821,True,upregulated
Gnai2,8.839661,1.294696,9.601007979158486e-19,2.793020503027923e-17,p30,3,1.294696,16.553925876214784,True,upregulated
Pou3f3,8.836198,1.6637183,9.903111185043206e-19,2.796172569894552e-17,p30,3,1.6637183,16.55343602897779,True,upregulated
Ablim1,8.82535,1.4899325,1.0911810027969187e-18,2.992953607671548e-17,p30,3,1.4899325,16.52390001489666,True,upregulated
Src,8.762568,1.7156951,1.908504176073017e-18,5.0893444695280457e-17,p30,3,1.7156951,16.29333815314473,True,upregulated
Sdc3,8.697711,1.2634219,3.3864701192525657e-18,8.786517066168819e-17,p30,3,1.2634219,16.056183243094786,True,upregulated
Apba1,8.6422,1.7068343,5.5140735648704485e-18,1.393029111125166e-16,p30,3,1.7068343,15.856039807718952,True,upregulated
Atp1a2,8.526447,1.0765198,1.5091047526346326e-17,3.714719391100634e-16,p30,3,1.0765198,15.430073987152221,True,upregulated
Atp1a1,8.415889,1.9500877,3.899284465424053e-17,9.35828271701773e-16,p30,3,1.9500877,15.028803838756355,True,upregulated
Cplx1,8.410003,2.2452352,4.100014114235253e-17,9.600033047965469e-16,p30,3,2.2452352,15.017727271905814,True,upregulated
Efhd2,8.404347,1.5016515,4.302460372006316e-17,9.834195136014437e-16,p30,3,1.5016515,15.007261178428053,True,upregulated
Fxyd6,8.284095,2.4603155,1.1901118399995673e-16,2.6569938753478714e-15,p30,3,2.4603155,14.57560944668332,True,upregulated
Tanc1,8.276247,1.8399564,1.271184219067373e-16,2.7734928416015414e-15,p30,3,1.8399564,14.55697295069986,True,upregulated
Fbxo31,8.261475,2.4083502,1.438835694434844e-16,3.069516148127667e-15,p30,3,2.4083502,14.512930077538842,True,upregulated
Clu,8.248665,1.1863251,1.601741958550966e-16,3.3427658265411463e-15,p30,3,1.1863251,14.475894046321924,True,upregulated
Spop,8.232392,1.333427,1.8351099283579483e-16,3.748309640901341e-15,p30,3,1.333427,14.426164540041386,True,upregulated
Mbp,8.187384,1.0391817,2.669654929011091e-16,5.339309858022182e-15,p30,3,1.0391817,14.272514874848333,True,upregulated
Sun2,8.169611,2.459476,3.0938449271793775e-16,6.061410469575923e-15,p30,3,2.459476,14.217426305226788,True,upregulated
Prickle2,8.165918,1.5717795,3.1899897456705513e-16,6.124780311687458e-15,p30,3,1.5717795,14.212909484291261,True,upregulated
March6,7.9827685,1.2367067,1.4308702753867886e-15,2.693402871316308e-14,p30,3,1.2367067,13.569698681232538,True,upregulated
Tnfrsf19,7.879249,1.7034972,3.293542403525607e-15,6.080385975739582e-14,p30,3,1.7034972,13.21606885135007,True,upregulated
Srgap3,7.8645926,2.0709558,3.703007870114518e-15,6.70733501001875e-14,p30,3,2.0709558,13.173450001491613,True,upregulated
Bin1,7.771575,1.5024135,7.751612212487992e-15,1.3780643933311984e-13,p30,3,1.5024135,12.860730488513285,True,upregulated
Cfl1,7.756226,1.6587014,8.74940314766935e-15,1.5271685494113777e-13,p30,3,1.6587014,12.816113028405468,True,upregulated
Syp,7.751379,2.1425867,9.089996614779761e-15,1.5582851339622447e-13,p30,3,2.1425867,12.80735307248094,True,upregulated
Arhgef12,7.6879053,1.1482033,1.495632107573535e-14,2.518959339071217e-13,p30,3,1.1482033,12.598778842807375,True,upregulated
Gsn,7.6490135,1.9162139,2.0252685554924792e-14,3.3521686435737587e-13,p30,3,1.9162139,12.474674140658966,True,upregulated
Lrp1,7.6433587,2.0040483,2.1162739946096545e-14,3.443428872585201e-13,p30,3,2.0040483,12.463008883366273,True,upregulated
