names,scores,logfoldchanges,pvals,pvals_adj,time_point,cluster,abs_logfoldchanges,-log10_pvals_adj,significant,regulation
Cacna2d1,2.4383764,1.8472215,0.014753398851022649,1.0,e16,7,1.8472215,-0.0,False,not_significant
Robo2,2.4075668,1.6637888,0.01605922876768657,1.0,e16,7,1.6637888,-0.0,False,not_significant
Atp6v0e2,2.2725904,2.187185,0.023050876218909017,1.0,e16,7,2.187185,-0.0,False,not_significant
Cnr1,2.2124379,1.0094717,0.02693642357909015,1.0,e16,7,1.0094717,-0.0,False,not_significant
Wdr47,1.8588586,1.8948252,0.06304718058668693,1.0,e16,7,1.8948252,-0.0,False,not_significant
Satb2,1.8045746,1.5293225,0.07114126507142146,1.0,e16,7,1.5293225,-0.0,False,not_significant
Nfia,1.5903732,0.9597141,0.1117507251215892,1.0,e16,7,0.9597141,-0.0,False,not_significant
Cadm3,1.5903732,0.8716168,0.1117507251215892,1.0,e16,7,0.8716168,-0.0,False,not_significant
Grik2,1.5258192,0.83515364,0.1270548898390664,1.0,e16,7,0.83515364,-0.0,False,not_significant
Unc13a,1.522885,0.7649234,0.1277874882465815,1.0,e16,7,0.7649234,-0.0,False,not_significant
Ankrd11,1.4935423,0.6769025,0.13529529389041545,1.0,e16,7,0.6769025,-0.0,False,not_significant
Grin2b,1.4451269,0.97379124,0.148422253273659,1.0,e16,7,0.97379124,-0.0,False,not_significant
Kcnq2,1.3673688,0.9622839,0.17150974514419848,1.0,e16,7,0.9622839,-0.0,False,not_significant
Cntn2,1.3615003,0.51979876,0.17335565857469037,1.0,e16,7,0.51979876,-0.0,False,not_significant
Itpr1,1.2998806,1.91404,0.19364189017422884,1.0,e16,7,1.91404,-0.0,False,not_significant
Plxna4,1.2910779,0.81966,0.19667669727604298,1.0,e16,7,0.81966,-0.0,False,not_significant
Rapgef2,1.2690707,1.193982,0.20441581252362018,1.0,e16,7,1.193982,-0.0,False,not_significant
Tubb3,1.2690707,0.57192785,0.20441581252362018,1.0,e16,7,0.57192785,-0.0,False,not_significant
Camk2g,1.2499981,2.228067,0.2113002550030173,1.0,e16,7,2.228067,-0.0,False,not_significant
Sema4g,1.2089183,0.7444399,0.22669422935308003,1.0,e16,7,0.7444399,-0.0,False,not_significant
Nrp1,1.117956,0.61219394,0.26358577999426214,1.0,e16,7,0.61219394,-0.0,False,not_significant
Gsk3b,1.1091532,2.070341,0.26736409335021194,1.0,e16,7,2.070341,-0.0,False,not_significant
Dnajc5,1.1032847,1.5382671,0.26990355956783973,1.0,e16,7,1.5382671,-0.0,False,not_significant
Rhob,1.0900805,1.4845223,0.2756776983598028,1.0,e16,7,1.4845223,-0.0,False,not_significant
Sdc3,1.0710077,0.52488434,0.2841659540298045,1.0,e16,7,0.52488434,-0.0,False,not_significant
Stx5a,1.0666063,1.0937774,0.2861496416995789,1.0,e16,7,1.0937774,-0.0,False,not_significant
Fbxo38,1.0152566,3.3670568,0.30998350634237504,1.0,e16,7,3.3670568,-0.0,False,not_significant
Gphn,1.0064539,1.4803202,0.3141973060402281,1.0,e16,7,1.4803202,-0.0,False,not_significant
Epb41l1,1.0035195,0.5704279,0.3156102387017429,1.0,e16,7,0.5704279,-0.0,False,not_significant
Nfix,0.99911815,0.56242675,0.31773745016838983,1.0,e16,7,0.56242675,-0.0,False,not_significant
Ncam1,0.9683083,0.37464043,0.3328903915992746,1.0,e16,7,0.37464043,-0.0,False,not_significant
Pou3f2,0.953637,0.86376464,0.34026741004992966,1.0,e16,7,0.86376464,-0.0,False,not_significant
Socs7,0.9477685,1.1523788,0.3432473279888504,1.0,e16,7,1.1523788,-0.0,False,not_significant
Asxl3,0.9301629,0.91315454,0.35228675914618246,1.0,e16,7,0.91315454,-0.0,False,not_significant
Ppp3cb,0.8993531,0.9544411,0.368464629953941,1.0,e16,7,0.9544411,-0.0,False,not_significant
Meis2,0.8920174,0.5143232,0.372383607748228,1.0,e16,7,0.5143232,-0.0,False,not_significant
Efna4,0.887616,2.6940644,0.37474734664883047,1.0,e16,7,2.6940644,-0.0,False,not_significant
Hdac4,0.8846817,1.1454102,0.3763283135178219,1.0,e16,7,1.1454102,-0.0,False,not_significant
Pax6,0.8788132,2.1937432,0.37950257230246276,1.0,e16,7,2.1937432,-0.0,False,not_significant
Grk3,0.87441176,0.6526159,0.381894038794903,1.0,e16,7,0.6526159,-0.0,False,not_significant
Stmn1,0.865609,0.7731009,0.38670462547282825,1.0,e16,7,0.7731009,-0.0,False,not_significant
Gabbr2,0.8641419,1.5029407,0.3875099697916321,1.0,e16,7,1.5029407,-0.0,False,not_significant
Coro2b,0.8641419,1.3993391,0.3875099697916321,1.0,e16,7,1.3993391,-0.0,False,not_significant
Shank1,0.8480034,0.62302125,0.39643608802475394,1.0,e16,7,0.62302125,-0.0,False,not_significant
Tbr1,0.8303978,0.6595512,0.4063139237022959,1.0,e16,7,0.6595512,-0.0,False,not_significant
Myt1l,0.8010551,0.8900792,0.42309975008004264,1.0,e16,7,0.8900792,-0.0,False,not_significant
Fxyd6,0.7951866,0.5525695,0.4265049880057755,1.0,e16,7,0.5525695,-0.0,False,not_significant
Bhlhe22,0.777581,1.0517666,0.4368160924429615,1.0,e16,7,1.0517666,-0.0,False,not_significant
Cacnb4,0.7761138,0.6549535,0.4376817840322269,1.0,e16,7,0.6549535,-0.0,False,not_significant
Nras,0.7717124,2.0493908,0.4402847735719032,1.0,e16,7,2.0493908,-0.0,False,not_significant
Pard6b,0.76584387,29.350819,0.44376919931950976,1.0,e16,7,29.350819,-0.0,False,not_significant
Unc13c,0.76584387,28.67165,0.44376919931950976,1.0,e16,7,28.67165,-0.0,False,not_significant
Rbfox2,0.7570411,0.5953715,0.4490252513843016,1.0,e16,7,0.5953715,-0.0,False,not_significant
Elavl4,0.75117254,1.7537998,0.4525488211047861,1.0,e16,7,1.7537998,-0.0,False,not_significant
Ssh1,0.745304,1.5702366,0.456087957959165,1.0,e16,7,1.5702366,-0.0,False,not_significant
Stmn2,0.73356694,0.47150457,0.463212717174488,1.0,e16,7,0.47150457,-0.0,False,not_significant
Mest,0.73356694,1.4328547,0.463212717174488,1.0,e16,7,1.4328547,-0.0,False,not_significant
Ntng2,0.73356694,1.1066025,0.463212717174488,1.0,e16,7,1.1066025,-0.0,False,not_significant
Llgl1,0.7276984,1.0061125,0.4667982283227653,1.0,e16,7,1.0061125,-0.0,False,not_significant
Stxbp1,0.7071585,0.3002724,0.47946796737205455,1.0,e16,7,0.3002724,-0.0,False,not_significant
Syn1,0.69542146,0.75352794,0.4867912172262421,1.0,e16,7,0.75352794,-0.0,False,not_significant
Dlg3,0.6866186,0.91600055,0.49232307013620713,1.0,e16,7,0.91600055,-0.0,False,not_significant
Cacna1a,0.6866186,0.7041117,0.49232307013620713,1.0,e16,7,0.7041117,-0.0,False,not_significant
Igfbp2,0.6836844,0.60760045,0.49417448490804095,1.0,e16,7,0.60760045,-0.0,False,not_significant
Stx16,0.66021025,0.5086323,0.5091189190566435,1.0,e16,7,0.5086323,-0.0,False,not_significant
Gria1,0.6543417,0.30505845,0.51289168004981,1.0,e16,7,0.30505845,-0.0,False,not_significant
Rras2,0.64260465,3.3587446,0.5204806728992797,1.0,e16,7,3.3587446,-0.0,False,not_significant
Camk2b,0.6367361,0.34942484,0.5242967533014249,1.0,e16,7,0.34942484,-0.0,False,not_significant
Sox1,0.6338018,2.7000477,0.5262101557356186,1.0,e16,7,2.7000477,-0.0,False,not_significant
Myc,0.63086754,2.888503,0.5281271199174422,1.0,e16,7,2.888503,-0.0,False,not_significant
Syt1,0.63086754,1.6630224,0.5281271199174422,1.0,e16,7,1.6630224,-0.0,False,not_significant
Prkcz,0.6279333,2.406566,0.5300476359414316,1.0,e16,7,2.406566,-0.0,False,not_significant
Gnaq,0.62499905,0.47539023,0.5319716938225505,1.0,e16,7,0.47539023,-0.0,False,not_significant
Kcnb1,0.62499905,2.0274103,0.5319716938225505,1.0,e16,7,2.0274103,-0.0,False,not_significant
Bmerb1,0.62499905,2.1184554,0.5319716938225505,1.0,e16,7,2.1184554,-0.0,False,not_significant
Cd276,0.6235319,1.30158,0.5329350478174791,1.0,e16,7,1.30158,-0.0,False,not_significant
Abl1,0.6205976,1.7936016,0.5348643995885601,1.0,e16,7,1.7936016,-0.0,False,not_significant
Zbtb20,0.6191305,0.25155723,0.5358303948188423,1.0,e16,7,0.25155723,-0.0,False,not_significant
