names,scores,logfoldchanges,pvals,pvals_adj,time_point,cluster,abs_logfoldchanges,-log10_pvals_adj,significant,regulation
Zbtb20,2.1810286,0.34397745,0.02918129753417493,1.0,p7,11,0.34397745,-0.0,False,not_significant
Grik2,1.9823291,0.7160707,0.04744241652025286,1.0,p7,11,0.7160707,-0.0,False,not_significant
Mki67,1.4846082,0.7091175,0.13764764256301917,1.0,p7,11,0.7091175,-0.0,False,not_significant
Pax6,1.4498714,0.63135123,0.14709437712135173,1.0,p7,11,0.63135123,-0.0,False,not_significant
Pou3f3,1.3592707,0.28042594,0.17406083681888862,1.0,p7,11,0.28042594,-0.0,False,not_significant
Nfib,0.90730375,0.066449486,0.3642461809121452,1.0,p7,11,0.066449486,-0.0,False,not_significant
Mef2c,0.87852925,3.6108434,0.3796565555350331,1.0,p7,11,3.6108434,-0.0,False,not_significant
Socs7,0.6182627,1.1062367,0.5364021772047844,1.0,p7,11,1.1062367,-0.0,False,not_significant
Axin2,0.57937825,0.4563456,0.5623339666632765,1.0,p7,11,0.4563456,-0.0,False,not_significant
Gng3,0.5485299,0.66337395,0.5833280793674314,1.0,p7,11,0.66337395,-0.0,False,not_significant
Adcy1,0.5106824,1.5794841,0.6095734611328807,1.0,p7,11,1.5794841,-0.0,False,not_significant
Mex3a,0.48164868,0.46647453,0.6300555334272111,1.0,p7,11,0.46647453,-0.0,False,not_significant
Snhg11,0.47776026,1.0188671,0.6328208613920306,1.0,p7,11,1.0188671,-0.0,False,not_significant
Snap23,0.4373204,0.97208804,0.6618789902506564,1.0,p7,11,0.97208804,-0.0,False,not_significant
Tead1,0.4370612,0.39255562,0.6620669739191714,1.0,p7,11,0.39255562,-0.0,False,not_significant
Deaf1,0.38923332,0.69791424,0.6971035591397521,1.0,p7,11,0.69791424,-0.0,False,not_significant
Gria1,0.38210452,0.20705414,0.7023838525154886,1.0,p7,11,0.20705414,-0.0,False,not_significant
Chrnb2,0.37225378,1.1568942,0.709703911251456,1.0,p7,11,1.1568942,-0.0,False,not_significant
Top2a,0.36058843,0.30003268,0.7184071313055754,1.0,p7,11,0.30003268,-0.0,False,not_significant
Bax,0.35877383,3.2193696,0.7197642888624639,1.0,p7,11,3.2193696,-0.0,False,not_significant
Kcnip3,0.35358924,0.4755741,0.723646738729937,1.0,p7,11,0.4755741,-0.0,False,not_significant
Lrrc4c,0.34140545,0.25819966,0.7327983748384757,1.0,p7,11,0.25819966,-0.0,False,not_significant
Mfge8,0.3297401,0.27541426,0.7415963414199207,1.0,p7,11,0.27541426,-0.0,False,not_significant
Fadd,0.3297401,0.8971301,0.7415963414199207,1.0,p7,11,0.8971301,-0.0,False,not_significant
Sdc3,0.32300013,0.16858369,0.7466951343347317,1.0,p7,11,0.16858369,-0.0,False,not_significant
Shank3,0.31690824,1.011591,0.7513132252675254,1.0,p7,11,1.011591,-0.0,False,not_significant
Mdh1,0.31340864,1.5105383,0.7539702168922362,1.0,p7,11,1.5105383,-0.0,False,not_significant
Calm1,0.31081635,0.16276084,0.7559402403427745,1.0,p7,11,0.16276084,-0.0,False,not_significant
Grk2,0.30615023,0.24883147,0.7594902761182775,1.0,p7,11,0.24883147,-0.0,False,not_significant
Gabra2,0.29928064,1.1515043,0.764725933155951,1.0,p7,11,1.1515043,-0.0,False,not_significant
Pak6,0.29850295,0.65957963,0.7653193322058748,1.0,p7,11,0.65957963,-0.0,False,not_significant
Fezf2,0.27815342,0.43151778,0.7808945951638318,1.0,p7,11,0.43151778,-0.0,False,not_significant
Raf1,0.2780238,1.5065255,0.7809940903410795,1.0,p7,11,1.5065255,-0.0,False,not_significant
Prex2,0.27789417,0.7279475,0.7810935891038007,1.0,p7,11,0.7279475,-0.0,False,not_significant
Draxin,0.27309844,0.38738155,0.7847775498015568,1.0,p7,11,0.38738155,-0.0,False,not_significant
Nfia,0.27167267,0.12951545,0.7858737159590812,1.0,p7,11,0.12951545,-0.0,False,not_significant
Rbx1,0.2633773,0.9300932,0.7922597673411534,1.0,p7,11,0.9300932,-0.0,False,not_significant
Unc13a,0.25326738,0.0773899,0.8000616117328506,1.0,p7,11,0.0773899,-0.0,False,not_significant
Shank1,0.24860123,0.40494588,0.8036692545794981,1.0,p7,11,0.40494588,-0.0,False,not_significant
Akt2,0.24613856,0.5594413,0.8055749811566726,1.0,p7,11,0.5594413,-0.0,False,not_significant
Kcna2,0.23823205,0.46120355,0.811701122517693,1.0,p7,11,0.46120355,-0.0,False,not_significant
Olig2,0.2351213,0.48661527,0.8141145937532952,1.0,p7,11,0.48661527,-0.0,False,not_significant
Cfl1,0.23136246,0.21325293,0.8170332254747912,1.0,p7,11,0.21325293,-0.0,False,not_significant
Emx2,0.22319673,25.959608,0.8233823987760179,1.0,p7,11,25.959608,-0.0,False,not_significant
Rspo3,0.22319673,26.586893,0.8233823987760179,1.0,p7,11,26.586893,-0.0,False,not_significant
Gabra1,0.2124387,0.63333106,0.8317647987575564,1.0,p7,11,0.63333106,-0.0,False,not_significant
Pik3cb,0.21049447,3.3000753,0.8332817635982581,1.0,p7,11,3.3000753,-0.0,False,not_significant
Cdh5,0.20945756,1.8017708,0.8340910657581833,1.0,p7,11,1.8017708,-0.0,False,not_significant
Kctd7,0.20829102,0.132114,0.83500174077274,1.0,p7,11,0.132114,-0.0,False,not_significant
Eef1a2,0.20297681,0.19256741,0.8391531540148847,1.0,p7,11,0.19256741,-0.0,False,not_significant
Ablim1,0.19727376,1.6971614,0.8436133102622482,1.0,p7,11,1.6971614,-0.0,False,not_significant
Map2k1,0.19597761,1.3088369,0.8446276873587499,1.0,p7,11,1.3088369,-0.0,False,not_significant
Xrcc6,0.18301614,0.58634293,0.8547853609222986,1.0,p7,11,0.58634293,-0.0,False,not_significant
Laptm5,0.18210883,0.10676896,0.8554973206847352,1.0,p7,11,0.10676896,-0.0,False,not_significant
Trpc3,0.18146075,1.1270695,0.8560059354330427,1.0,p7,11,1.1270695,-0.0,False,not_significant
Ptprd,0.1792573,2.8775547,0.8577356717689479,1.0,p7,11,2.8775547,-0.0,False,not_significant
Cacnb2,0.1792573,2.500408,0.8577356717689479,1.0,p7,11,2.500408,-0.0,False,not_significant
Crh,0.17899807,2.020808,0.8579392152450276,1.0,p7,11,2.020808,-0.0,False,not_significant
Pard3,0.17899807,2.2472243,0.8579392152450276,1.0,p7,11,2.2472243,-0.0,False,not_significant
Stx7,0.17757231,0.8310225,0.8590588728371177,1.0,p7,11,0.8310225,-0.0,False,not_significant
Sec22b,0.1661662,1.9698235,0.8680261543349401,1.0,p7,11,1.9698235,-0.0,False,not_significant
Gabra3,0.16512929,1.2032431,0.8688422223639427,1.0,p7,11,1.2032431,-0.0,False,not_significant
Cplx1,0.16059276,0.5212992,0.8724141517739415,1.0,p7,11,0.5212992,-0.0,False,not_significant
Sun1,0.15605626,0.54810625,0.8759886843929147,1.0,p7,11,0.54810625,-0.0,False,not_significant
Bcl6,0.15333433,1.723681,0.8781346236758296,1.0,p7,11,1.723681,-0.0,False,not_significant
Lef1,0.15294549,0.6942584,0.8784412599209594,1.0,p7,11,0.6942584,-0.0,False,not_significant
Fbxw7,0.15242703,0.07507347,0.8788501366083525,1.0,p7,11,0.07507347,-0.0,False,not_significant
Itga6,0.15113088,0.24959554,0.879872469464224,1.0,p7,11,0.24959554,-0.0,False,not_significant
Pla2g4c,0.14879782,26.20882,0.8817131721881121,1.0,p7,11,26.20882,-0.0,False,not_significant
Rara,0.14879782,25.50883,0.8817131721881121,1.0,p7,11,25.50883,-0.0,False,not_significant
Cnr1,0.14879782,0.2550616,0.8817131721881121,1.0,p7,11,0.2550616,-0.0,False,not_significant
Epha1,0.14879782,26.204052,0.8817131721881121,1.0,p7,11,26.204052,-0.0,False,not_significant
Gnb5,0.14879782,26.057678,0.8817131721881121,1.0,p7,11,26.057678,-0.0,False,not_significant
Itga4,0.14879782,25.208776,0.8817131721881121,1.0,p7,11,25.208776,-0.0,False,not_significant
Vsx2,0.14879782,25.913084,0.8817131721881121,1.0,p7,11,25.913084,-0.0,False,not_significant
Cldn6,0.14879782,27.52471,0.8817131721881121,1.0,p7,11,27.52471,-0.0,False,not_significant
Tenm1,0.14879782,25.705925,0.8817131721881121,1.0,p7,11,25.705925,-0.0,False,not_significant
Casp3,0.14465015,0.53275335,0.8849871043850228,1.0,p7,11,0.53275335,-0.0,False,not_significant
Cd276,0.14439091,0.57144654,0.8851917909578662,1.0,p7,11,0.57144654,-0.0,False,not_significant
Cntnap2,0.14231707,0.37697336,0.8868295582282231,1.0,p7,11,0.37697336,-0.0,False,not_significant
Grik1,0.13998401,0.7921565,0.888672623932348,1.0,p7,11,0.7921565,-0.0,False,not_significant
