names,scores,logfoldchanges,pvals,pvals_adj,time_point,cluster,abs_logfoldchanges,-log10_pvals_adj,significant,regulation
Dpysl2,8.734825,2.6667547,2.4403335413801158e-18,2.342720199724911e-15,p30,20,2.6667547,14.630279577801572,True,upregulated
Mbp,8.645288,1.7346779,5.366966282217239e-18,2.576143815464275e-15,p30,20,1.7346779,14.58902989576909,True,upregulated
Plp1,8.402654,2.0005875,4.364987332881696e-17,1.3967959465221427e-14,p30,20,2.0005875,13.854867033951807,True,upregulated
Src,7.817348,2.662216,5.394784098594967e-15,1.2895014544199882e-12,p30,20,2.662216,11.889578163687952,True,upregulated
Atp1b2,7.789713,2.1267781,6.716153408437438e-15,1.2895014544199882e-12,p30,20,2.1267781,11.889578163687952,True,upregulated
Sfxn5,7.6592765,2.2047377,1.8698336235261945e-14,2.9917337976419112e-12,p30,20,2.2047377,11.5240770523044,True,upregulated
Gnao1,6.936349,2.3688905,4.023636356232278e-12,5.518129859975696e-10,p30,20,2.3688905,9.25820808334084,True,upregulated
Glg1,6.8103337,2.0922365,9.737255079738383e-12,1.168470609568606e-09,p30,20,2.0922365,8.93238220690265,True,upregulated
Ablim1,6.558304,2.0479085,5.442320898430146e-11,5.805142291658823e-09,p30,20,2.0479085,8.236187130667028,True,upregulated
Gnb1,6.537854,2.0872507,6.240775109118e-11,5.99114410475328e-09,p30,20,2.0872507,8.222490234215929,True,upregulated
Ctnnb1,6.4333944,1.7239522,1.247853289689967e-10,1.0890355982748804e-08,p30,20,1.7239522,7.96295792384233,True,upregulated
Plxnb1,6.415708,1.584985,1.4016983606243652e-10,1.1213586884994922e-08,p30,20,1.584985,7.950255447601882,True,upregulated
Ptpn11,6.2167373,2.0866063,5.075991640409758e-10,3.748424595994898e-08,p30,20,2.0866063,7.4261512210784275,True,upregulated
Atp6v0e2,5.9171753,2.0312488,3.2751764292842765e-09,2.2458352657949325e-07,p30,20,2.0312488,6.648622102829707,True,upregulated
Spop,5.786739,1.6738126,7.176606163717191e-09,4.5930279447790024e-07,p30,20,1.6738126,6.337900912251051,True,upregulated
Akt2,5.699413,2.6121728,1.2022093790157714e-08,7.213256274094628e-07,p30,20,2.6121728,6.141868637829619,True,upregulated
Shank2,5.389902,3.6337292,7.049602974023653e-08,3.9809522676839455e-06,p30,20,3.6337292,5.400013029651709,True,upregulated
Igf1r,5.377743,1.3504821,7.542542477444563e-08,4.0026161815209445e-06,p30,20,1.3504821,5.397656053222243,True,upregulated
Ptprs,5.3689,1.3639429,7.921844525926869e-08,4.0026161815209445e-06,p30,20,1.3639429,5.397656053222243,True,upregulated
Slc38a3,5.2738357,1.4370705,1.3360143258865837e-07,6.256447385121198e-06,p30,20,1.4370705,5.203672203371741,True,upregulated
Trp73,5.2694144,2.426636,1.368597865495262e-07,6.256447385121198e-06,p30,20,2.426636,5.203672203371741,True,upregulated
Llgl1,5.2340417,4.7974668,1.6584307021702496e-07,7.23678851856109e-06,p30,20,4.7974668,5.1404541186222446,True,upregulated
Sun1,5.1666126,2.9022353,2.3837463609537484e-07,9.763041849688057e-06,p30,20,2.9022353,5.010414849063507,True,upregulated
Slc1a2,5.162191,1.5399427,2.4407604624220145e-07,9.763041849688057e-06,p30,20,1.5399427,5.010414849063507,True,upregulated
Bin1,5.1544533,1.6624904,2.5437200708653505e-07,9.767885072122945e-06,p30,20,1.6624904,5.010199458894916,True,upregulated
Ngef,5.1290293,1.1831732,2.912401949354202e-07,1.0753484120692438e-05,p30,20,1.1831732,4.968450801865833,True,upregulated
Gfap,5.067127,1.1676632,4.038646160220805e-07,1.4089962825380901e-05,p30,20,1.1676632,4.85109015272125,True,upregulated
Mapk8ip3,5.063811,1.3911383,4.1095724907360965e-07,1.4089962825380901e-05,p30,20,1.3911383,4.85109015272125,True,upregulated
Sdc4,4.94885,1.6652611,7.465327853479477e-07,2.4712809446001027e-05,p30,20,1.6652611,4.607077879545776,True,upregulated
Tnfrsf19,4.9201097,1.5370294,8.649573008652802e-07,2.7678633627688968e-05,p30,20,1.5370294,4.5578553528930845,True,upregulated
Pou3f3,4.8510227,1.2334223,1.2282658680510558e-06,3.803662042996818e-05,p30,20,1.2334223,4.419798077271381,True,upregulated
Rhob,4.828362,1.2810235,1.3766071080524204e-06,4.129821324157261e-05,p30,20,1.2810235,4.384068737595695,True,upregulated
Gnai2,4.808465,1.3407899,1.520937572168313e-06,4.424545664489637e-05,p30,20,1.3407899,4.354131318307495,True,upregulated
Mast3,4.771987,1.6394758,1.8241741621409453e-06,5.1506093989861986e-05,p30,20,1.6394758,4.288141383976342,True,upregulated
Smo,4.737167,0.9851813,2.167266375439114e-06,5.944502058347283e-05,p30,20,0.9851813,4.225884518231004,True,upregulated
Cd99l2,4.6830025,2.2070968,2.8270290390825232e-06,7.538744104220062e-05,p30,20,2.2070968,4.122700998166913,True,upregulated
Coro2b,4.6531568,2.2098498,3.2689120325153397e-06,8.48150148976953e-05,p30,20,2.2098498,4.071527257295393,True,upregulated
Shank3,4.629391,1.8392192,3.6674271527107386e-06,9.265079122637656e-05,p30,20,1.8392192,4.033150867507717,True,upregulated
Nlgn2,4.5785427,1.80396,4.682262275927056e-06,0.0001152556867920506,p30,20,1.80396,3.9383376370317897,True,upregulated
Glul,4.5354323,1.3189679,5.748556504994938e-06,0.00013796535611987853,p30,20,1.3189679,3.8602299537062543,True,upregulated
Rgma,4.5028234,1.0313588,6.705661652699944e-06,0.00015701061430712065,p30,20,1.0313588,3.804070987213738,True,upregulated
Sptan1,4.4879007,1.1247693,7.192849428911549e-06,0.0001644079869465497,p30,20,1.1247693,3.784077088240263,True,upregulated
Cx3cl1,4.474083,2.0071993,7.673989192693966e-06,0.00017132627034851643,p30,20,2.0071993,3.7661760392957397,True,upregulated
Ccdc88c,4.443132,3.6944,8.86587059444599e-06,0.00019343717660609433,p30,20,3.6944,3.7134600553653447,True,upregulated
Gnas,4.3657546,1.0208721,1.2668471778809784e-05,0.0002702607312812754,p30,20,1.0208721,3.568217052439547,True,upregulated
Sox2,4.3292766,1.2963098,1.496000325945393e-05,0.00031220876367556025,p30,20,1.2963098,3.505554910490388,True,upregulated
Ap2b1,4.290035,1.5303413,1.786449855903299e-05,0.00036489188546109935,p30,20,1.5303413,3.4378357944557196,True,upregulated
Rapgef2,4.196629,1.2689139,2.7091698946967027e-05,0.0005385986701165817,p30,20,1.2689139,3.26873472326343,True,upregulated
Cplx2,4.193313,1.4984117,2.7490973787200526e-05,0.0005385986701165817,p30,20,1.4984117,3.26873472326343,True,upregulated
Ttc28,4.1153827,1.6171498,3.865375625252269e-05,0.0007421521200484356,p30,20,1.6171498,3.1295070675963794,True,upregulated
Olig1,4.1010127,4.391916,4.113462319875967e-05,0.0007742987896237114,p30,20,4.391916,3.1110914196208213,True,upregulated
Camk2g,4.0523753,1.8335661,5.0700267498180384e-05,0.0009360049384279455,p30,20,1.8335661,3.0287218598875914,True,upregulated
Nfix,4.0098176,0.77065665,6.076568618551816e-05,0.0011006614856244798,p30,20,0.77065665,2.9583462301023924,True,upregulated
Zfp609,3.9843934,0.94249827,6.765269803447105e-05,0.0012027146317239298,p30,20,0.94249827,2.9198374055523817,True,upregulated
Limk2,3.8821445,1.1768721,0.0001035393167799862,0.00180723171106885,p30,20,1.1768721,2.7429861615579294,True,upregulated
Prickle2,3.8738542,1.043765,0.00010712758607473192,0.0018364729041382615,p30,20,1.043765,2.7360154749800247,True,upregulated
Srgap2,3.866669,1.5243502,0.00011033202209498363,0.001858223530020777,p30,20,1.5243502,2.7309020449088632,True,upregulated
Plxna4,3.8567204,1.0693765,0.00011491846561989381,0.001902098741294794,p30,20,1.0693765,2.720766941822167,True,upregulated
Sox4,3.8091884,1.2865688,0.0001394236456121971,0.002250806828596234,p30,20,1.2865688,2.647661775934446,True,upregulated
Atp1a1,3.8069777,0.99637955,0.00014067542678726462,0.002250806828596234,p30,20,0.99637955,2.647661775934446,True,upregulated
Igfbp2,3.7859752,2.058383,0.0001531069410937622,0.002409551859836258,p30,20,2.058383,2.618063722112992,True,upregulated
Fgfr1,3.7787902,1.5642091,0.00015759216047552126,0.0024401366783306515,p30,20,1.5642091,2.6125858470291594,True,upregulated
Vamp2,3.7622092,1.2327695,0.00016841905864666348,0.002566385655568205,p30,20,1.2327695,2.590678080813708,True,upregulated
Rgs3,3.7450757,1.1797987,0.00018033944839749801,0.0027050917259624704,p30,20,1.1797987,2.567818003975546,True,upregulated
Ankrd11,3.707492,0.9364562,0.0002093218483468365,0.0030915226832763545,p30,20,0.9364562,2.509827562626011,True,upregulated
Fxyd6,3.6793046,3.5475004,0.0002338707431846209,0.0034017562645035763,p30,20,3.5475004,2.468296806764963,True,upregulated
Plxnb2,3.658302,1.7389109,0.0002538916019620199,0.0036378498191573,p30,20,1.7389109,2.439155233820513,True,upregulated
Arhgap32,3.6433794,1.3587222,0.0002690818082686548,0.0037988019990868914,p30,20,1.3587222,2.4203533421243892,True,upregulated
Cdh2,3.6234822,1.0641526,0.00029066315315061814,0.004020462194077408,p30,20,1.0641526,2.395724017363531,True,upregulated
Grik2,3.6212714,1.9237163,0.00029315870165147766,0.004020462194077408,p30,20,1.9237163,2.395724017363531,True,upregulated
Stx5a,3.6124284,1.8692482,0.00030334298111461903,0.004101538899577948,p30,20,1.8692482,2.3870531651828775,True,upregulated
Rgs4,3.5980582,0.93948406,0.0003206019008326593,0.004274692011102124,p30,20,0.93948406,2.369095170455646,True,upregulated
Nr2f1,3.5682125,2.1547608,0.0003594248924604946,0.004726683517288697,p30,20,2.1547608,2.32544347561046,True,upregulated
Ap2a1,3.5643437,1.5425024,0.00036476778123573566,0.004732122567382516,p30,20,1.5425024,2.3249440151750203,True,upregulated
Nfatc2,3.5372615,1.0137361,0.0004042991413927118,0.005175029009826711,p30,20,1.0137361,2.2860872113256634,True,upregulated
Jun,3.5228913,0.89499927,0.00042686626364836814,0.005391994909242546,p30,20,0.89499927,2.2682505265040636,True,upregulated
Alpl,3.494151,2.901267,0.0004755717163755819,0.005929205814552709,p30,20,2.901267,2.227003474166224,True,upregulated
Bmpr2,3.472596,1.8954264,0.0005154507356366639,0.006344009053989709,p30,20,1.8954264,2.197636205877249,True,upregulated
Mdm2,3.4609892,1.0441705,0.0005381941929118277,0.006484899774207326,p30,20,1.0441705,2.1880967316608673,True,upregulated
Arhgef12,3.459884,0.96177214,0.0005404083145172772,0.006484899774207326,p30,20,0.96177214,2.1880967316608673,True,upregulated
Ubc,3.4510407,0.32072258,0.0005584292321990915,0.0065645360978774095,p30,20,0.32072258,2.182795959178547,False,not_significant
Gnb2,3.4499354,0.9491576,0.0005607207916936954,0.0065645360978774095,p30,20,0.9491576,2.182795959178547,True,upregulated
Nes,3.4410923,1.3189822,0.0005793710556466602,0.0067011591978408894,p30,20,1.3189822,2.173850064511098,True,upregulated
Itgb8,3.3675835,1.5483493,0.0007583006128760146,0.008666292718583025,p30,20,1.5483493,2.062166646028809,True,upregulated
Cul1,3.3626091,1.3039806,0.0007720957652741523,0.00872014040780219,p30,20,1.3039806,2.059476522195554,True,upregulated
Csf1,3.3581877,1.7481384,0.000784553353038408,0.008757804871126415,p30,20,1.7481384,2.0576047353641624,True,upregulated
Jam2,3.3498971,1.4296819,0.0008084156116609881,0.008920448128672973,p30,20,1.4296819,2.0496133278075876,True,upregulated
Id4,3.3438175,1.2776301,0.0008263407247482918,0.009014626088163185,p30,20,1.2776301,2.0450522823875237,True,upregulated
March6,3.3194988,0.89832103,0.0009017917785559068,0.009727192218131129,p30,20,0.89832103,2.0120125019872863,True,upregulated
Ptprf,3.2874424,1.1694652,0.001011018646533963,0.010784198896362271,p30,20,1.1694652,1.967212110905562,True,upregulated
Grk2,3.271967,0.91547126,0.0010680208165751164,0.011267032790242987,p30,20,0.91547126,1.9481904417616458,True,upregulated
Gabbr1,3.257044,0.9084381,0.0011257895233821743,0.011747368939640079,p30,20,0.9084381,1.9300593915153632,True,upregulated
Efhd2,3.2454374,2.1973507,0.0011727033162146842,0.01210532455447416,p30,20,2.1973507,1.9170235622463987,True,upregulated
Cacna1a,3.2194607,1.2658646,0.0012843197828551463,0.013116457356818515,p30,20,1.2658646,1.8821834483552542,True,upregulated
Sun2,3.2111702,1.6750929,0.0013219560837560492,0.013347259557318612,p30,20,1.6750929,1.8746078939478803,True,upregulated
Pax6,3.2084067,1.2968712,0.0013347259557318612,0.013347259557318612,p30,20,1.2968712,1.8746078939478803,True,upregulated
Scrib,3.197353,0.6898049,0.001386951870682797,0.013726533977891598,p30,20,0.6898049,1.8624391105640228,True,upregulated
Lrp6,3.1542425,0.85966706,0.0016091536368679903,0.015763137667278274,p30,20,0.85966706,1.8023573315193393,True,upregulated
Huwe1,3.1354506,0.7435974,0.0017159026241924098,0.016639055749744582,p30,20,0.7435974,1.7788713231361086,True,upregulated
Atp6v1a,3.0365179,1.1357611,0.0023932787886178975,0.022975476370731815,p30,20,1.1357611,1.6387354752395493,True,upregulated
Gli3,3.0287802,1.2985541,0.002455432867334412,0.023338767847931048,p30,20,1.2985541,1.631922075924312,True,upregulated
Ptprm,3.0210423,0.68006986,0.002519060782928222,0.023708807368736207,p30,20,0.68006986,1.6250902919182255,True,upregulated
Boc,2.9923022,0.6575487,0.002768820689262519,0.025806484094097266,p30,20,0.6575487,1.5882711602195438,True,upregulated
Rtn4,2.9757214,0.8874403,0.0029230042420017874,0.026981577618478036,p30,20,0.8874403,1.5689326606326577,True,upregulated
Lrrc4b,2.9690888,0.8568716,0.0029868419384627633,0.02730826915165955,p30,20,0.8568716,1.563705825371243,True,upregulated
Ptk2,2.9337163,2.3378232,0.0033493023412800808,0.03033330422291394,p30,20,2.3378232,1.518080279184302,True,upregulated
Nlgn3,2.912161,1.7311785,0.00358937490501804,0.03220373746558241,p30,20,1.7311785,1.4920937225126905,True,upregulated
