names,scores,logfoldchanges,pvals,pvals_adj,time_point,cluster,abs_logfoldchanges,-log10_pvals_adj,significant,regulation
Chd7,1.2560533,0.9271857,0.20909661514179512,1.0,p7,8,0.9271857,-0.0,False,not_significant
Gria1,1.1394577,0.026709987,0.2545122963178922,1.0,p7,8,0.026709987,-0.0,False,not_significant
Lrrc4c,1.131508,0.900773,0.25784133495208506,1.0,p7,8,0.900773,-0.0,False,not_significant
Bmerb1,1.0281619,1.8921844,0.3038737039252618,1.0,p7,8,1.8921844,-0.0,False,not_significant
Cd24a,1.0082875,2.9877155,0.31331642341342625,1.0,p7,8,2.9877155,-0.0,False,not_significant
Ptk2,0.92481565,0.75279486,0.3550617937707934,1.0,p7,8,0.75279486,-0.0,False,not_significant
Prkcg,0.9009666,2.7635229,0.36760609785835796,1.0,p7,8,2.7635229,-0.0,False,not_significant
Nras,0.7976204,1.7312088,0.4250908096971283,1.0,p7,8,1.7312088,-0.0,False,not_significant
Rhob,0.7896707,1.9543815,0.42972011059919224,1.0,p7,8,1.9543815,-0.0,False,not_significant
Snhg11,0.781721,1.9691541,0.43437856388256724,1.0,p7,8,1.9691541,-0.0,False,not_significant
Gnb1,0.7618467,0.40776104,0.44615148861143017,1.0,p7,8,0.40776104,-0.0,False,not_significant
Frrs1l,0.7618467,0.60820615,0.44615148861143017,1.0,p7,8,0.60820615,-0.0,False,not_significant
Axin2,0.74727225,0.6298366,0.45489922912345104,1.0,p7,8,0.6298366,-0.0,False,not_significant
Gabbr1,0.74462235,0.30562758,0.4565000432788039,1.0,p7,8,0.30562758,-0.0,False,not_significant
Ankrd11,0.73667264,0.33534738,0.461321436357197,1.0,p7,8,0.33534738,-0.0,False,not_significant
Gabra4,0.71017367,0.8345434,0.47759646249662735,1.0,p7,8,0.8345434,-0.0,False,not_significant
Unc13b,0.69692415,0.42592254,0.48585027218643617,1.0,p7,8,0.42592254,-0.0,False,not_significant
Tead1,0.6876495,1.403939,0.49167354105929506,1.0,p7,8,1.403939,-0.0,False,not_significant
Gfap,0.6174271,0.9376193,0.536953060800339,1.0,p7,8,0.9376193,-0.0,False,not_significant
Gnao1,0.5988778,0.37624148,0.5492543934479628,1.0,p7,8,0.37624148,-0.0,False,not_significant
