names,scores,logfoldchanges,pvals,pvals_adj,time_point,cluster,abs_logfoldchanges,-log10_pvals_adj,significant,regulation
Atp1a3,11.486133,1.3596861,1.5489165579293703e-30,1.4869598956121954e-27,p30,2,1.3596861,26.827700744557532,True,upregulated
Cplx2,9.829758,2.540966,8.382029547179921e-23,4.0233741826463624e-20,p30,2,2.540966,19.3954095752086,True,upregulated
Syp,7.7232437,1.9459335,1.134059667825197e-14,3.62899093704063e-12,p30,2,1.9459335,11.440214116395245,True,upregulated
Eef1a2,7.288307,1.9825681,3.138734841066763e-13,7.532963618560232e-11,p30,2,1.9825681,10.12303413004474,True,upregulated
Camk2a,6.970346,1.778737,3.1616256642863697e-12,6.07032127542983e-10,p30,2,1.778737,9.216788323017992,True,upregulated
Slc17a7,6.224489,2.0391958,4.83128027711974e-10,7.730048443391585e-08,p30,2,2.0391958,7.111817784395812,True,upregulated
Cadm3,6.137758,2.8661494,8.369436807259511e-10,1.1478084764241615e-07,p30,2,2.8661494,6.940130572365985,True,upregulated
Camk2b,5.830198,1.538271,5.536172714500362e-09,6.643407257400435e-07,p30,2,1.538271,6.177609123409671,True,upregulated
Stxbp1,5.722984,0.7073213,1.0466923543042188e-08,1.00482466013205e-06,p30,2,0.7073213,5.997909715139668,True,upregulated
Nsf,5.625371,1.1732271,1.851095509846453e-08,1.6155015358659955e-06,p30,2,1.1732271,5.791692624760042,True,upregulated
Ptprs,4.736776,1.0363742,2.171453279791811e-06,0.00016035347296924142,p30,2,1.0363742,3.794921629592455,True,upregulated
Mbp,4.714533,1.7469784,2.422660341310731e-06,0.00016612528054702153,p30,2,1.7469784,3.7795642726260636,True,upregulated
Epb41l1,4.6516447,1.5466851,3.2929827878114834e-06,0.00021075089841993494,p30,2,1.5466851,3.676230565324864,True,upregulated
Kcnq2,4.6178803,2.1108496,3.876799627150056e-06,0.00023260797762900335,p30,2,2.1108496,3.633375394591054,True,upregulated
Syn1,4.485223,1.4469678,7.283773309515836e-06,0.0004113189633608943,p30,2,1.4469678,3.385821267409999,True,upregulated
Dnm1,4.2442317,0.30814552,2.1934369797092152e-05,0.0011698330558449147,p30,2,0.30814552,2.931876110987561,False,not_significant
Cplx1,4.199906,2.3684444,2.6702597267413125e-05,0.0013491838619324528,p30,2,2.3684444,2.869928862202374,True,upregulated
Atp6v0e2,4.0042005,2.273263,6.222759015732477e-05,0.002986924327551589,p30,2,2.273263,2.524775779921172,True,upregulated
Glg1,3.5483012,2.1640503,0.0003877245986294633,0.01488862458737139,p30,2,2.1640503,1.8271454205624638,True,upregulated
Gnao1,3.5102162,1.1867155,0.00044774243616599253,0.015919731063679735,p30,2,1.1867155,1.7980642731904612,True,upregulated
Shank1,3.4887733,1.5049958,0.00048524223782964534,0.01663687672558784,p30,2,1.5049958,1.7789282013720085,True,upregulated
Dpysl2,3.3050694,1.7544937,0.000949528295639425,0.029404747219801543,p30,2,1.7544937,1.531582549692217,True,upregulated
Mast3,3.277226,1.3546299,0.001048324434969357,0.030914168975319446,p30,2,1.3546299,1.509842423571833,True,upregulated
Sema7a,3.206817,1.6877767,0.001342124398924363,0.03578998397131635,p30,2,1.6877767,1.4462384961104267,True,upregulated
Nfasc,3.161531,1.5584668,0.0015694216203951874,0.04072012852917243,p30,2,1.5584668,1.3901908598603385,True,upregulated
Vamp2,3.1287267,1.6336577,0.001755655546984972,0.043529311033328466,p30,2,1.6336577,1.3612182066489784,True,upregulated
Adcy1,3.0954423,1.4605899,0.0019651959264055203,0.043529311033328466,p30,2,1.4605899,1.3612182066489784,True,upregulated
Ndrg4,3.093362,2.4329708,0.001979025383802002,0.043529311033328466,p30,2,2.4329708,1.3612182066489784,True,upregulated
Calm1,3.0916018,0.4913609,0.001990796945140342,0.043529311033328466,p30,2,0.4913609,1.3612182066489784,False,not_significant
Unc13a,3.0909617,0.9735633,0.001995093422360888,0.043529311033328466,p30,2,0.9735633,1.3612182066489784,True,upregulated
Prickle2,2.3625472,0.82796454,0.01814983677742557,0.29039738843880913,p30,2,0.82796454,0.5370072935907946,False,not_significant
Nr4a3,2.3436646,1.7117425,0.019095333981507392,0.2956696874555983,p30,2,1.7117425,0.5291931977788191,False,not_significant
Sparcl1,2.2658944,1.1366227,0.023457843401575383,0.34645430254634413,p30,2,1.1366227,0.4603540408812068,False,not_significant
Src,2.2217288,1.1784958,0.026301641666984968,0.3659358840623996,p30,2,1.1784958,0.43659500104588955,False,not_significant
Atp6v1a,2.2111673,1.5611485,0.02702424782128323,0.3706182558347414,p30,2,1.5611485,0.4310731921055735,False,not_significant
Mapk8ip3,2.184924,0.62534475,0.028894421160325815,0.3852589488043442,p30,2,0.62534475,0.4142472646894676,False,not_significant
Bin1,2.0396252,0.39928618,0.041387680882675824,0.5297623152982506,p30,2,0.39928618,0.2759189385267379,False,not_significant
Plxna1,1.9661756,0.831617,0.04927833620445655,0.6065025994394652,p30,2,0.831617,0.21716733342923591,False,not_significant
Lrrc4,1.9576944,2.2311172,0.05026587761709269,0.6108258545874555,p30,2,2.2311172,0.21408258872919775,False,not_significant
Atp1a2,1.9199295,1.5174081,0.05486680061618718,0.6552295886960492,p30,2,1.5174081,0.18360649904178744,False,not_significant
Gabbr1,1.915129,0.29942808,0.055476065567670436,0.6552295886960492,p30,2,0.29942808,0.18360649904178744,False,not_significant
Sfxn5,1.8744836,1.7625867,0.0608637964422004,0.6836029029555384,p30,2,1.7625867,0.16519610169311671,False,not_significant
Cntnap1,1.8666426,0.94586873,0.06195151308034566,0.6836029029555384,p30,2,0.94586873,0.16519610169311671,False,not_significant
Bhlhe22,1.8607218,2.5096905,0.06278346799463759,0.6849105599415011,p30,2,2.5096905,0.1643661377921923,False,not_significant
Rhob,1.800234,1.3370155,0.07182370073945425,0.740510178232183,p30,2,1.3370155,0.13046896777114023,False,not_significant
Nfix,1.7759109,1.3129109,0.07574761775744096,0.7574761775744095,p30,2,1.3129109,0.12063102105756027,False,not_significant
Frrs1l,1.7280647,0.3691565,0.08397664354120858,0.8143189676723257,p30,2,0.3691565,0.08920544920631861,False,not_significant
Gnb1,1.7059817,1.1804812,0.08801148157082686,0.8447368841223907,p30,2,1.1804812,0.07327854261017376,False,not_significant
Fgfr1,1.700381,2.6741292,0.08905928324842892,0.8447368841223907,p30,2,2.6741292,0.07327854261017376,False,not_significant
Cx3cl1,1.6571754,0.80926335,0.0974840215928987,0.9058169699372427,p30,2,0.80926335,0.04295954733040038,False,not_significant
Tubb3,1.6440537,1.7163126,0.10016511477544643,0.9058169699372427,p30,2,1.7163126,0.04295954733040038,False,not_significant
Ap2a1,1.6402131,1.1721057,0.10096084977425518,0.9058169699372427,p30,2,1.1721057,0.04295954733040038,False,not_significant
Gnas,1.5910867,1.2221575,0.11159004381345777,0.965103081629905,p30,2,1.2221575,0.015426297648778786,False,not_significant
Lrrc4b,1.5405202,0.9941589,0.1234335971840357,1.0,p30,2,0.9941589,-0.0,False,not_significant
Spop,1.5336393,1.3465185,0.12511840726884632,1.0,p30,2,1.3465185,-0.0,False,not_significant
Htra1,1.4875534,1.9318538,0.13686872670078631,1.0,p30,2,1.9318538,-0.0,False,not_significant
Shank2,1.4113834,1.340521,0.15813158344447276,1.0,p30,2,1.340521,-0.0,False,not_significant
Tuba3a,1.361457,3.2702613,0.17336932929058302,1.0,p30,2,3.2702613,-0.0,False,not_significant
Glul,1.3328133,1.4286307,0.18259310389843608,1.0,p30,2,1.4286307,-0.0,False,not_significant
Arhgef12,1.324012,1.0682875,0.18549903171400606,1.0,p30,2,1.0682875,-0.0,False,not_significant
Gnai2,1.2705652,1.6520015,0.20388339632928776,1.0,p30,2,1.6520015,-0.0,False,not_significant
Ctnnb1,1.2606438,1.1504681,0.20743719347750644,1.0,p30,2,1.1504681,-0.0,False,not_significant
Nrp2,1.2395211,1.4614716,0.21515257895756545,1.0,p30,2,1.4614716,-0.0,False,not_significant
Atp1b2,1.2190385,1.6742498,0.2228296030501492,1.0,p30,2,1.6742498,-0.0,False,not_significant
Slc1a2,1.1955154,0.7044077,0.23188572989049272,1.0,p30,2,0.7044077,-0.0,False,not_significant
Slc38a1,1.1886345,1.3622574,0.23458353031602852,1.0,p30,2,1.3622574,-0.0,False,not_significant
Ablim1,1.1881545,1.6972526,0.23477257511945282,1.0,p30,2,1.6972526,-0.0,False,not_significant
Fat3,1.1819136,1.1447754,0.23723997928010943,1.0,p30,2,1.1447754,-0.0,False,not_significant
Unc5a,1.1515096,0.895533,0.24952262221816135,1.0,p30,2,0.895533,-0.0,False,not_significant
Pik3ca,1.1183853,1.7195822,0.2634024451819076,1.0,p30,2,1.7195822,-0.0,False,not_significant
Itgb2l,1.0967826,2.9903321,0.2727364600721617,1.0,p30,2,2.9903321,-0.0,False,not_significant
Efna1,1.0950223,1.5733079,0.27350685761163973,1.0,p30,2,1.5733079,-0.0,False,not_significant
Mfge8,1.0596577,3.3661559,0.2893003419608968,1.0,p30,2,3.3661559,-0.0,False,not_significant
Atp6v0a1,1.0502166,0.58294684,0.29361858610666913,1.0,p30,2,0.58294684,-0.0,False,not_significant
Ap2b1,1.046536,0.9033055,0.2953136239129879,1.0,p30,2,0.9033055,-0.0,False,not_significant
Kcna2,1.0375749,1.1732424,0.2994680295658576,1.0,p30,2,1.1732424,-0.0,False,not_significant
Grk3,1.0295738,1.4476142,0.3032101125271762,1.0,p30,2,1.4476142,-0.0,False,not_significant
Numb,1.0206126,2.4865239,0.30743799367235536,1.0,p30,2,2.4865239,-0.0,False,not_significant
Pdpk1,1.0188525,1.1725055,0.30827303439879117,1.0,p30,2,1.1725055,-0.0,False,not_significant
Axin2,1.0097313,1.2670591,0.31262407299332373,1.0,p30,2,1.2670591,-0.0,False,not_significant
Dicer1,1.0020503,1.4341248,0.3163193300323375,1.0,p30,2,1.4341248,-0.0,False,not_significant
Bcl11b,0.99052876,0.7831321,0.32191574869366446,1.0,p30,2,0.7831321,-0.0,False,not_significant
Cd99l2,0.9874883,1.2972873,0.323403293805561,1.0,p30,2,1.2972873,-0.0,False,not_significant
Slc6a11,0.97612685,1.5769877,0.32900159816012664,1.0,p30,2,1.5769877,-0.0,False,not_significant
Socs7,0.94700307,0.76760113,0.34363720792185926,1.0,p30,2,0.76760113,-0.0,False,not_significant
Plxnb1,0.94220245,4.4140625,0.34608899516063285,1.0,p30,2,4.4140625,-0.0,False,not_significant
Nectin1,0.9294008,1.3050323,0.35268141583521995,1.0,p30,2,1.3050323,-0.0,False,not_significant
Nrp1,0.8874754,0.7112157,0.3748230337861377,1.0,p30,2,0.7112157,-0.0,False,not_significant
Cntn2,0.87211335,1.429241,0.3831465441574057,1.0,p30,2,1.429241,-0.0,False,not_significant
Plxna2,0.8641123,1.0280275,0.38752619747034367,1.0,p30,2,1.0280275,-0.0,False,not_significant
Clu,0.854191,1.6729498,0.39299915790303963,1.0,p30,2,1.6729498,-0.0,False,not_significant
Gabrg2,0.8525908,2.5744977,0.39388625946675593,1.0,p30,2,2.5744977,-0.0,False,not_significant
Pdgfb,0.84298956,1.7946862,0.3992342802396277,1.0,p30,2,1.7946862,-0.0,False,not_significant
Stx1a,0.8183464,1.0367236,0.41315944042636443,1.0,p30,2,1.0367236,-0.0,False,not_significant
Cdkl5,0.78650224,0.6743404,0.4315733174929689,1.0,p30,2,0.6743404,-0.0,False,not_significant
Coro2b,0.7708202,0.7391366,0.44081352158092657,1.0,p30,2,0.7391366,-0.0,False,not_significant
Slc6a1,0.76649964,1.8382002,0.4433790762159755,1.0,p30,2,1.8382002,-0.0,False,not_significant
Sdc3,0.761699,1.0087559,0.44623967299428036,1.0,p30,2,1.0087559,-0.0,False,not_significant
Igfbp2,0.7556182,3.1994727,0.44987813559682455,1.0,p30,2,3.1994727,-0.0,False,not_significant
Igf1r,0.7392961,0.86462706,0.4597272247956091,1.0,p30,2,0.86462706,-0.0,False,not_significant
Nr4a1,0.73737586,1.20886,0.4608938250418615,1.0,p30,2,1.20886,-0.0,False,not_significant
Sema6c,0.73257524,1.1407727,0.4638175532681138,1.0,p30,2,1.1407727,-0.0,False,not_significant
March6,0.7271345,0.5965585,0.4671435621560872,1.0,p30,2,0.5965585,-0.0,False,not_significant
Pde2a,0.72649443,3.177321,0.46753572499621954,1.0,p30,2,3.177321,-0.0,False,not_significant
Kcnh1,0.72521424,0.90069306,0.46832059781471624,1.0,p30,2,0.90069306,-0.0,False,not_significant
Fezf2,0.72505426,2.161159,0.4684187581880698,1.0,p30,2,2.161159,-0.0,False,not_significant
Nlgn2,0.72281396,0.35122344,0.4697941987789861,1.0,p30,2,0.35122344,-0.0,False,not_significant
Nptx2,0.72281396,1.096789,0.4697941987789861,1.0,p30,2,1.096789,-0.0,False,not_significant
Llgl1,0.71673316,3.8096375,0.4735387643166391,1.0,p30,2,3.8096375,-0.0,False,not_significant
Akt2,0.71449286,1.7287383,0.4749224675416607,1.0,p30,2,1.7287383,-0.0,False,not_significant
Cacna1c,0.71257263,0.8442386,0.4761102632612877,1.0,p30,2,0.8442386,-0.0,False,not_significant
