time_point,total_clusters,ctrl_cells,mut_cells,total_cells,analyzed_clusters,total_genes_analyzed,significant_genes,upregulated_genes,downregulated_genes,pct_clusters_analyzed,avg_ctrl_cells_per_cluster,avg_mut_cells_per_cluster
e16,23,3745,3019,6764,9,6720.0,270.0,38.0,232.0,39.130434782608695,162.82608695652175,131.2608695652174
p0,24,4445,7511,11956,15,14400.0,307.0,53.0,254.0,62.5,185.20833333333334,312.9583333333333
p30,24,7910,4078,11988,15,12480.0,2420.0,2392.0,28.0,62.5,329.5833333333333,169.91666666666666
p7,24,9333,5073,14406,19,17280.0,85.0,3.0,82.0,79.16666666666666,388.875,211.375
