13,8,3,12,6,1,10,20,5,16,2,11,0.1,22,17,7,4,21,23,18,9,19,0.0,14,0.4
Dnm1,Dsp,Cldn5,Plp1,Slc1a2,Slc1a2,Gpr17,Foxj1,Snhg11,Csf1r,Atp1a3,Ccnd2,Syp,Emx2,Neurog2,Bhlhe22,Ptprs,Trp73,Pdlim4,Clic6,Neurod1,Fgfr1,Cplx2,Ccdc80,Nrp1
Syp,Camk2b,Apcdd1,Mag,Atp1a2,Atp1a2,Olig2,Vim,Atp1a3,Cx3cr1,Dnm1,Pou3f3,Atp1a3,Slc1a2,Atp1a3,Camk2a,Sox11,Cacna2d2,Gfap,Igfbp2,Nfia,Sparcl1,Tnf,Mex3a,Dnm1
Slc17a7,Plxna4,Cdh5,Cldn11,Htra1,Sparcl1,Sox10,Sox9,Gad1,Tmem119,Stxbp1,Sox11,Dnm1,Atp1a2,Camk2a,Adcy1,Tubb3,Reln,Sparcl1,Tead1,Ncam1,Gjb6,Lhx5,Pou3f3,Atp1a3
Nsf,Epha7,Sparcl1,Mbp,Glul,Apoe,Olig1,Ccdc153,Stxbp1,C1qb,Syp,Ptprs,Nsf,Glul,Camk2b,Cplx2,Draxin,Snhg11,Atp1a2,Foxj1,Grik2,Adgrg1,Rab3a,Pou3f2,Fbxo38
Frrs1l,Gria1,Igf1r,Gsn,Ntsr2,Gfap,Vcan,Slc38a1,Cplx1,Laptm5,Slc17a7,Pou3f2,Stxbp1,Camk2a,Ptprs,Tubb3,Foxg1,Msi2,Ntsr2,Cldn2,Neurod2,Gnao1,Dnm2,Sall1,Gng2
Gria1,Grin1,Vim,Nfasc,Sparcl1,Htra1,Cspg4,Clu,Slc32a1,C1qa,Nsf,Meis2,Slc17a7,Clu,Slc17a7,Eef1a2,Sox4,Robo2,Sfxn5,Kl,Syn1,Rapgef2,Cadm3,Syne2,Cacna2d1
Stxbp1,Tiam1,Ptprb,Mog,Atp1b2,Camk2a,Nlgn2,Idh2,Grik1,Vsir,Epha6,Sox4,Frrs1l,Sfxn5,Cplx1,Sparcl1,Cnr1,Ntng2,Clu,Axin2,Camk2b,Slc38a3,Grin2a,Meis2,Ptk2
Prkca,Adcy1,Ptprm,Sox10,Apoe,Clu,Itpr2,Atp1a1,Syt1,Hpgds,Gria1,Sox1,Eef1a2,Sox9,Syp,Slc1a2,Plxna2,Ndnf,Apoe,Idh2,Crmp1,Gfap,Deaf1,Boc,Cx3cl1
Snhg11,Grin2a,Pecam1,Olig1,Clu,Shank1,Pdgfra,Ubc,Gad2,P2ry12,Frrs1l,Nfib,Gria1,Apoe,Calm1,Calm1,Sema4g,Diablo,Fgfr3,Bmp7,Stxbp1,Atp1a3,Cdh4,Lrp6,Igf1r
Epha6,Fam163b,Gnai2,Cntn2,Slc6a11,Mbp,Sox4,Sema6d,Eef1a2,Sall1,Camk2b,Draxin,Gabbr1,Shank1,Eef1a2,Shank1,Neurod1,Gfap,Htra1,Bmp4,Nsf,Cdk5r2,Hras,Id4,Prkca
Grin2a,Gria2,Sema7a,Bin1,Aldoc,Glul,Mpzl1,Fzd3,Cacna1b,P2ry13,Grin2a,Lmnb1,Ubc,Sparcl1,Nsf,Glul,Lrrc4b,Cdh4,Mbp,Atp1a1,Tanc1,Mest,Unc13c,Foxg1,Gria2
Atp1a3,Ntrk3,Lef1,Sema4d,Sfxn5,Ntsr2,Mbp,Apoe,Syp,Pld4,Ptprs,Foxg1,Prkca,Epb41l1,Cadm3,Apba1,Gria2,Srgap3,Sox9,Syne2,Nrp2,Grik1,Slc17a7,Chd6,Eef1a2
Neurod6,Unc13a,Atp1a2,Efnb3,Camk2a,Atp1b2,Ptprj,Sox2,Limk1,Srgap2,Syn1,Chd7,Rasgrp1,Cplx2,Dnm1,Dlgap1,Nlgn2,Cacna2d1,Atp1b2,Igf1r,Prox1,Atp1a2,Grin1,Ccnd2,Slc17a7
Grin1,C1ql3,Ctnnb1,Olig2,Gnao1,Aldoc,Plp1,Flna,Erbb4,Itgam,Eef1a2,Mex3a,Calm1,Slc6a11,Gria1,Dnm1,Neo1,Kit,Slc1a2,Sox9,Cx3cl1,Rasgrp1,Vamp1,Plxnb1,Nlgn2
Rasgrp1,Prox1,Glul,Unc5b,Shank1,Sfxn5,Nlgn3,Id4,Ndrg4,Ptgs1,Prkca,Fxyd6,Grin2a,Gnao1,Ppp3cb,Atp1a2,Ptk2,Shank1,Glul,Six3,Eef1a2,Coro2b,Cdh5,Fxyd6,Nfib
Epha4,Nsf,Pdgfb,Lpar1,Pou3f3,Slc6a11,Cntn1,Aqp4,Slc6a1,C1qc,Grin1,Pax6,Cntnap1,Aqp4,Cxcr4,Dnajc27,Grik2,Dync1i1,Id4,Ntn4,Zfp609,Sox2,Grin2c,Ptprs,Syp
Neurod2,Camkk1,Ccdc141,Jam3,Aqp4,Aqp4,Erbb4,Ablim1,Dnm1,Rhob,Gria2,Dlx2,Epha4,Gfap,Grk2,Kcnq2,Flna,Camk2a,Aldh1l1,Clu,Unc5a,Fgfr3,Cdc37,Draxin,Grin2a
Syt1,Zbtb20,Syne2,Rgs3,Gfap,Aldh1l1,Ncam1,Trp73,Kcnc1,Tgfbr1,Cadm3,Insm1,Camk2b,Shank3,Shank2,Gnas,Nfib,Nhlh2,Aqp4,Huwe1,Ptpn11,Pld4,Bcl11b,Pax6,Ptprs
Camk2b,Gabbr2,Slc38a3,Cers2,Cxcl14,Agt,Kank1,Rgs4,Rasgrf2,Itgb2,Nr4a3,Syne2,Neurod6,Stx1b,Sptan1,Cdkl5,Chd7,Unc5b,Slc4a4,Smo,Syp,Aldh1l1,Gad1,Chd7,Pax3
Cacna1a,Ptprj,Bmpr2,Ephb1,Grin2c,Id4,C1ql1,Zbtb20,Rab3a,Grk2,Epha4,Stmn1,Syt1,Cnr1,Prkcb,Epb41l1,Stmn1,Gng7,Fbxo2,Zfp609,Cadm3,Arhgef2,Lamb1,Slc38a2,Rac3
Cadm3,Kcnd2,Gnas,Rhob,Hopx,Gnao1,Cdh20,Slc38a3,Gabra1,Efhd2,Rasgrp1,Dlx1,Cdh9,Sdc4,Camkk1,Cntnap1,Ttc28,Epb41l1,Aldoc,Msi2,Atp1a3,Omg,Stx1b,Cdh2,Gabrr1
Gria2,Tanc1,Apoe,Sox2,Fgfr3,Plxnb1,Tcf7l2,Ngef,Epb41l1,Bin1,Epha7,Ccdc88a,Neurod2,Dlgap1,Mdga1,Cacnb4,Pou3f3,Adcy1,Nfix,Pdgfra,Gria1,Nr4a1,Sema4f,Sox1,Tuba4a
Rab3a,Dlgap1,Shank3,Erbb4,Sox9,Pou3f3,Sdc3,Gnai2,Cacnb4,Itga9,Unc13a,Mbp,Unc13a,Gnai2,Rbfox3,Dlg4,Astn1,Nfib,Rgma,Gsn,Nlgn3,Mpped1,Nsf,Clu,Vtcn1
Unc13a,Stxbp6,Ablim1,Scrib,Gjb6,Cxcl14,Itga9,Plxnb1,Kcnc2,Plcg2,Grin2b,Mki67,Ppp3r1,Gng7,Neurod2,Sun2,Mex3a,Sema4g,Slc6a11,Itpr1,Sema4g,Atp6v1h,Cdkl5,Dab1,Snap23
Syn1,Grik2,Cxcl12,Cdk19,Slc6a1,Cplx2,S100b,Smo,Gabrb2,Glul,Snhg11,Nfia,Tuba3a,Llgl1,Tafa2,Atp1a3,Plxna4,Kcnh7,Prex2,Gnas,Robo1,Slc1a2,Gria1,Sox4,Gria1
Grin2b,Epha4,Plxna2,Mast3,Mfge8,Calm1,Srgap1,Rgs3,Tubb3,Gnai2,Cplx2,Top2a,Cplx2,Cxcl14,Astn1,Gfap,Zfp609,Cd274,Plp1,Spop,Fbxo38,Pou3f3,Syn2,Tead1,Cacng5
Epha7,Neurod2,Cobll1,Dlg1,Id4,Fgfr3,Ptprs,Nfia,Gabbr1,Numb,Mapk8ip3,Tead1,Atp6v0e,Fgfr3,Gabra2,Apoe,Igf1r,Bin1,Fxyd1,Rgs3,Slc17a7,Itga8,Cnr1,Sox2,Cd274
Ptprs,Grin2b,Gfap,Ptpn11,Grm3,Sdc4,Ntn1,Cadm1,Grin1,Trem2,Neurod6,Sp8,Etv1,Adcy1,Slit3,Gnal,Prox1,Ablim1,Grk3,Folr1,Sptan1,Dlx1,Map2k1,Mdm2,Hcn1
Gabra5,Slit3,Cd34,Acsl1,Plxnb1,Dlg4,Fxyd6,Atp1b2,Apba1,Ssh2,Calm1,Zbtb20,Gabrg2,Cplx1,Cacna1a,Pou3f3,Lrp8,Bmp7,Agt,Apoe,Fam163b,Cldn2,Rbp1,Lrp8,Itga6
Srgap3,Rasgrf2,Itpr3,Vamp3,Cplx2,Gjb6,Sox2,S100b,Sema6c,Pik3cd,Ubc,Igf1r,Grin1,Slc4a4,Cers1,Cd99l2,Nfia,Nfe2l2,Plxnb1,Sun2,Stx1a,Etv4,Gngt1,Cdk6,Vldlr
