8,2,1,12,0,3,5,6,10,13,16,20,11,9,17,19,22,21,18,7,23,15,4
Dsp,Epha6,Atp1a2,Plp1,Dnm1,Cdh5,Atp1a3,Hopx,Olig2,Npy2r,Laptm5,Ccdc153,Ccnd2,Neurod1,Neurog2,Fgfr1,Emx2,Snhg11,Clic6,Bhlhe22,Pdlim4,Ptpn11,Mex3a
Ptprj,Gria1,Sparcl1,Mbp,Atp1a3,Sparcl1,Snhg11,Atp1a2,Gpr17,Dnm1,C1qb,Sox9,Nfib,Zbtb20,Cxcr4,Atp1a2,Nfib,Ndnf,Prlr,Cplx2,Aqp4,Crip2,Fgfr1
Gria2,Snhg11,Slc1a2,Cldn11,Stxbp1,Cldn5,Stxbp1,Sparcl1,Sox10,Gria1,Csf1r,Foxj1,Sox11,Nfib,Stxbp1,Sparcl1,Nfia,Trp73,Cldn2,Atp1a3,Atp1a2,Mdga1,Sox11
Gria1,Grin2a,Htra1,Mag,Prkca,Ptprm,Gad1,Slc1a2,Vcan,Stxbp1,P2ry12,Vim,Ptprs,Sox11,Gria2,Glul,Ptprs,Reln,Atp1a1,Slc1a2,Slc1a2,Ptprb,Fzd3
Epha7,Dnm1,Glul,Gsn,Ubc,Igf1r,Rab3a,Glul,Pdgfra,Prkca,Tmem119,Slc38a1,Pou3f3,Gria2,Gria1,Id4,Foxg1,Cdh4,Clu,Calm1,Sparcl1,Cul5,Foxg1
Grin2a,Prkca,Gfap,Mog,Gria1,Lef1,Cacnb4,Htra1,Nlgn2,Nsf,Hpgds,Clu,Mbp,Epha4,Grin1,Sox11,Ddx3x,Camk2a,Kl,Camk2a,Htra1,Src,Kcnip3
Grin1,Neurod6,Aqp4,Sox10,Nsf,Atp1a2,Dnm1,Dio2,Mpzl1,Gria2,Sall1,Idh2,Chd7,Prox1,Nsf,Nrp1,Slc1a2,Msi2,Idh2,Gng7,Gfap,Vim,Arhgef2
Camk2b,Atp1a3,Apoe,Bin1,Ppp3cb,Apcdd1,Cplx1,Gfap,Mbp,Atp1a3,Cx3cr1,Aqp4,Cenpf,Bhlhe22,Plxna4,Ntsr2,Htra1,Bin1,Sox9,Slc1a3,Slc6a11,Lrp6,Ptprs
Zbtb20,Gria2,Clu,Nfasc,Syt1,Ptprb,Gabra1,Atp1b2,Olig1,Grin2a,Pld4,Apoe,Top2a,Ptprs,Srgap3,Aqp4,Huwe1,Gfap,Syne2,Wdr47,Glul,Igf1r,Gphn
Plxna4,Frrs1l,Atp1b2,Rhob,Calm1,Sema7a,Eef1a2,Clu,Sdc3,Grin1,Itgam,Atp1a1,Draxin,Nfia,Syp,Nfia,Atp1a2,Diablo,Gnas,Atp1b2,Atp1b2,Gfap,Igf1r
Cplx2,Rasgrp1,Ntsr2,Sema4d,Neurod6,Vim,Ubc,Aqp4,Ptprz1,Epha4,C1qa,Ubc,Syne2,Stxbp1,Zbtb20,Neo1,Epb41l1,Srgap3,Bmp7,Stx1b,Arhgef12,Arhgef12,Nfib
Nfib,Grin1,Slc6a11,Jam3,Syp,Syne2,Syt1,Aldoc,Chd7,Camk2b,Vsir,Zbtb20,Lmnb1,Plxna4,Dnm1,Gfap,Ncam1,Nfib,Cdh3,Prex2,Ntsr2,Tigit,Arhgef12
Epha4,Stxbp1,Aldoc,Cers2,Rasgrp1,Pecam1,Stx1b,Apoe,Cntn1,Syt1,Glul,Flna,Nfia,Plxna2,Grin2a,Calm1,Zbtb20,Glul,Igfbp2,Apoe,Sox9,Wnt3a,Ttc28
Dnm1,Epha4,Sox9,Olig2,Frrs1l,Ccdc141,Ptprm,Slc6a11,Kcnip3,Zbtb20,Tgfbr1,Sema6d,Mki67,Cdh2,Atp1a3,Sema6d,Pou3f3,Robo2,Huwe1,Mapk3,Clu,Ntng1,Epha4
Grik2,Epha7,Id4,Olig1,Grin2a,Glul,Erbb4,Ntsr2,Cspg4,Syp,P2ry13,Fzd3,Meis2,Sox4,Epha7,Nfib,Gria2,Slc1a2,Rgs3,Ntm,Apoe,Gabrg1,Slc25a18
Prox1,Nsf,Gjb6,Rgs3,Syn1,Cd34,Limk1,Camk2a,Itpr2,Snhg11,Grk2,Id4,Zbtb20,Nfix,Unc13a,Slc1a2,Atp1b2,Nhlh2,Arhgef12,Cd34,Pou3f3,Cldn10,Nf1
Nsf,Ppp3cb,Sfxn5,Erbb4,Snhg11,Gnai2,Cux2,Pou3f3,C1ql1,Srgap3,Gfap,Rgs4,Pou3f2,Syne2,Ptprj,Idh2,Cdh2,Plcb1,Tead1,Dsp,Plxnb1,Cldn3,Neurod1
Neurod2,Syt1,Mbp,Sox2,Gabra5,Cobll1,Gabbr1,Id4,Erbb4,Epha7,Ptgs1,S100b,Sox4,Nlgn2,Adcy1,Slc6a11,Sparcl1,Cacna2d1,Dsp,Apba1,Sfxn5,Agt,Sox4
Stxbp6,Gabra5,Pou3f3,Gfap,Grin1,Bmpr2,Cnr1,Sox9,S100b,Rab3a,Srgap2,Sox2,Mfge8,Gria1,Dsp,Htra1,Camk2a,Epb41l1,Msi2,Htra1,Grm3,Epha3,Mapk8ip3
Stxbp1,Syp,Camk2a,Grm3,Rab3a,Trim25,Grik1,Sfxn5,Plp1,Eef1a2,Slc1a2,Nfia,Pax6,Nrp1,Nfib,Clu,Ntsr2,Cd274,Slc38a3,Cldn5,Gnao1,Nes,Mdga1
Adcy1,Zbtb20,Slc1a3,Lpar1,Gria2,Gfap,Gnas,Gjb6,Nlgn3,Ppp3cb,Bin1,Cadm1,Nlgn2,Flna,Calm1,Sema4c,Cadm1,Stxbp1,Kcnh1,Glg1,Gjb6,Mki67,Huwe1
Tiam1,Ptprs,Grm3,Efnb3,Crmp1,Slc1a2,Gabrb2,Gnao1,Sox2,Gabra5,Mbp,Srgap3,Cdh2,Foxg1,Cadm1,Apoe,Ccdc88a,Gng7,Lrp6,Gnal,Slc1a3,Alpl,Zbtb20
Nrcam,Trpc4,Prex2,Pak1,Prkcg,Flna,Kcnc1,Slc1a3,Srgap1,Frrs1l,Chd7,Gnai2,Msi2,Sema5a,Grik2,Igfbpl1,Nlgn2,Cacna2d2,Atp1a2,Mdga1,Mbp,Tgfbr1,Lamb1
Epb41l1,Mapk8ip3,Msi2,Ubc,Stx1b,Apoe,Syp,Grm3,Tcf7l2,Neurod2,C1qc,Lrp8,Sox1,Igfbpl1,Atp6v1c1,Ryk,Grik2,Clstn2,Chd6,Nectin3,Fbxo31,Sdc4,Stmn2
Fam163b,Dlgap1,Gnao1,Dpysl2,Slc17a7,Ctnnb1,Cntnap1,Cplx2,Jam2,Dlgap1,Apoe,Gsn,Egfr,Sptan1,Pak3,Sox9,Sox9,Adcy1,Lamb1,Dio2,Hopx,Creb1,Idh2
C1ql3,Sptan1,Idh2,Stmn1,Rasd1,Gnas,Hcn1,Prex2,Ankrd11,Slc17a7,Camk2a,Axin2,Stmn1,Sema6d,Plcb1,Sfxn5,Cplx2,Fat3,Apoe,Cacna2d1,Id4,Fezf2,Neo1
Frrs1l,Grin2b,Pax6,Ptpn11,Cx3cl1,Mpzl1,Nsf,Msi2,Ptprm,Epha6,Ptprc,Ptprm,Gfap,Ncam1,Astn1,Parp1,Gfap,Dync1i1,Mfge8,Cplx1,Sox2,Ap2m1,Tead1
Cntnap1,Prkcg,Ptprz1,Rtn4,Fxyd7,Itpr3,Chd6,Ptprm,Ncam1,Neurod6,Efhd2,Syne2,Mex3a,Camk2b,Syt1,Neurod1,Id4,Cplx2,March6,Meis2,Pou3f2,Rhoa,Ppp3cb
Sptan1,Neurod2,Fgfr3,Gnai1,Cck,Axin2,Kcna2,Ptprz1,Ptprs,Sptan1,Gnai2,Slc38a3,Tead1,Draxin,Ppp3cb,Prox1,Sox11,Slc17a6,Flna,Slc6a1,Gphn,Atp6v1d,Cdh2
Ntrk3,Rab3a,Slc4a4,Chd7,Mapk8ip3,Prom1,Nlgn2,Pax6,Ptprj,Syn1,Rhob,Msi2,Sall3,Pou3f3,Cntnap1,Agt,Sfxn5,Grk2,Chd2,Huwe1,Pax6,Pld4,Crmp1
