1,2,3,9,11,5,6,0.0,10,0.1,17,0.5,16,22,13,0.4,19,7,21,0.7,0.3,8,0.8,20,0.6,0.2,23,12,0.9,0.10,15,4,18
Atp1a2,Gria1,Cdh5,Neurod1,Nfib,Atp1a3,Hopx,Ubc,Pdgfra,Prkca,Neurog2,Gria1,Laptm5,Emx2,Npy2r,Nrp1,Fgfr1,Bhlhe22,Reln,Bcl6,Nfib,Gria1,Prox1,Slc38a1,Nfib,Nrp1,Pdlim4,Plp1,Insm1,Dcc,Ptprm,Neurod1,Dsp
Sparcl1,Epha6,Cldn5,Zbtb20,Chd7,Snhg11,Dio2,Atp1a3,Olig2,Ubc,Cxcr4,Atp1a3,Csf1r,Zbtb20,Gria1,Epha4,Nfib,Stxbp1,Ndnf,Grin2a,Ubc,Dsp,Zbtb20,Foxj1,Zbtb20,Foxg1,Atp1a2,Ubc,Cdh2,Stxbp1,Gnai1,Nfib,Grm3
Fabp7,Grin2a,Sparcl1,Nfib,Mki67,Stxbp1,Atp1a2,Stxbp1,Sox10,Atp1a3,Zbtb20,Hcn1,C1qb,Nfib,Dnm1,Gria1,Gria2,Atp1a3,Nhlh2,Gria1,Zbtb20,Plxna4,Nfib,Ccdc153,Nfia,Zbtb20,Cdh2,Gpr17,Itgb1,Tubb3,Myc,Sox4,Tet2
Slc1a2,Atp1a3,Apcdd1,Prox1,Ccnd2,Grik1,Gfap,Calm1,Cntn1,Neurod6,Grik2,Trpc4,Hpgds,Prox1,Atp1a3,Zbtb20,Epha4,Crmp1,Gfap,Cck,Cstb,Prox1,Sox11,Vim,Ptprs,Sox11,Gfap,Gfap,Unc13a,Pak3,Mdga1,Ptprs,Zbtb20
Gfap,Gria2,Vim,Sox11,Pou3f3,Dnm1,Grm3,Six3,Gpr17,Stxbp1,Gria1,Epha7,P2ry12,Epha4,Grin2a,Nrp2,Zbtb20,Ubc,Rgs4,Atp1a3,Mbp,Ptprj,Gria2,Sox9,Grik2,Gria2,Nfib,Sox10,Sox4,Sptan1,Gabra4,Nfia,Cldn2
Grm3,Snhg11,Ptprm,Gria2,Top2a,Erbb4,Slc1a2,Tubb3,Cspg4,Nsf,Sox11,Grin2a,Cx3cr1,Neurod1,Crmp1,Stxbp1,Grik2,Neurod6,Cacna2d1,Neurod2,Atp6v1a,Dnm1,Epha4,Clu,Nfix,Klhl24,Ccdc80,Itpr2,C1qb,Ubc,Ptpn11,Dcc,Rnd3
Htra1,Neurod6,Atp1a2,Epha4,Ptprs,Gad1,Fabp7,Syn1,Nlgn2,Crmp1,Ptprs,Cntn4,Sall1,Sema6d,Epha6,Robo1,Sox11,Ppp3cb,Msi2,Grin2b,Cntn4,Epha4,Nfia,Atp1a1,Chd7,Nfix,Cplx2,Cldn11,Ncam1,Slitrk5,Eef1a2,Zbtb20,Gabra3
Ptprz1,Dnm1,Lef1,Plxna4,Meis2,Cux2,Aqp4,Gng4,Sdc3,Dnm1,Epha4,Rasgrp1,Pld4,Sox11,Neurod6,Dnm1,Nfia,Nrp1,Bin1,Grik2,Klhl24,Grin1,Ptprs,Idh2,Epha4,Nfia,Apoe,Shank1,Neo1,Stx1b,Sdc4,Btg1,Cntn6
Aqp4,Crmp1,Gnai2,Ptprs,Cenpf,Gria1,Htra1,Hmgb2,Olig1,Ppp3cb,Plxna4,Grin2b,Mrc1,Ptprs,Snhg11,Crmp1,Neurod1,Cfl1,Cxcl12,Trpc4,Gabrb3,Epha7,Grik2,Id4,Sox11,Cdh2,Sox4,Fabp7,Nfia,Vamp2,Itga8,Nfix,Ntn1
Slc6a11,Nr4a3,Trim25,Nfia,Syne2,Stmn2,Sparcl1,Efemp1,Erbb4,Gria1,Nfib,Snhg11,Ptprj,Chd7,Gria2,Gria2,Prox1,Bin1,Snhg11,Epha7,C1ql3,Cadm1,Gria1,Rgs4,Igfbpl1,Hcn1,Fabp7,Gsn,Pou3f2,Apcdd1,Pard6g,Vcan,Itga4
Glul,Epha7,Igf1r,Grik2,Pax6,Nxph1,Sox9,Atp6v1b1,Ptprz1,Gabra5,Sox4,Ppp3cb,Bin1,Huwe1,Stxbp1,Neurod6,Cdh2,Neurod2,Trp73,Gria2,Camk4,Camk2b,Plxna2,Sox2,Neo1,Gria1,Srgap3,Mbp,Fbxo45,Cfl1,Cd70,Epha4,Cspg4
