1,2,3,4,5,6,7,8,9,10,11,12,13,14,0.0,0.1,15,16,17,0.2,18,0.3,19,20,21,0.4,22,0.5,0.6,0.7,0.8,23,0.9,0.10
Atp1a2,Gria1,Cdh5,Ptprs,Atp1a3,Hopx,Neurod2,Dsp,Neurod1,Olig2,Nfib,Plp1,Dnm1,Ptprs,Ubc,Prkca,Mdga1,Laptm5,Neurog2,Nrp1,Clic6,Zbtb20,Fgfr1,Foxj1,Reln,Nrp1,Emx2,Gria1,Nfib,Bcl6,Prox1,Pdlim4,Insm1,Dcc
Slc1a2,Epha6,Sparcl1,Cntn2,Erbb4,Slc1a2,Cadm1,Gria1,Zbtb20,Sox10,Top2a,Mbp,Atp1a3,Pax6,Atp1a3,Atp1a3,Pou3f3,Csf1r,Cxcr4,Gria2,Cdh3,Nfib,Zbtb20,Ccdc153,Nhlh2,Nrp2,Nfib,Hcn1,Igfbpl1,Cck,Zbtb20,Atp1a2,Nrp1,Gnai1
Sparcl1,Grin2a,Apcdd1,Sox11,Gria1,Atp1a2,Tubb3,Grin2a,Nfib,Pdgfra,Chd7,Mag,Gria1,Vim,Stxbp1,Dnm1,Gng10,C1qb,Grik2,Neurod2,Igfbp2,Epha3,Sox11,Slc38a1,Trp73,Epha4,Slc1a2,Gria2,Zbtb20,Gria1,Nfib,Gfap,Neurod2,Ubc
Gfap,Atp1a3,Cldn5,Ttc28,Snhg11,Sparcl1,Satb2,Ptprj,Prox1,Gpr17,Mki67,Cldn11,Nsf,Draxin,Calm1,Ubc,Cd70,Hpgds,Zbtb20,Sox11,Syne2,Cplx3,Nfib,Vim,Bin1,Gria1,Zbtb20,Grin2a,Sox11,Grin2a,Epha4,Slc1a2,Gria2,Grik2
Htra1,Gria2,Vim,Draxin,Grik1,Dio2,Nrp1,Grin1,Sox11,Cntn1,Cenpf,Gsn,Npy2r,Ccdc80,Gng4,Stxbp1,Prex2,P2ry12,Gria1,Foxg1,Bmp7,Gnb3,Epha4,Sox9,Cdh4,Zbtb20,Nfia,Atp1a3,Ptprs,Ubc,Sox11,Sparcl1,Zbtb20,Casp3
Aqp4,Dnm1,Ptprm,Nfasc,Stxbp1,Htra1,Neurod6,Epha7,Epha4,Olig1,Ccnd2,Mog,Grin2a,Plxnb1,Cldn16,Nsf,Cdk6,Cx3cr1,Gria2,Zbtb20,Clu,Pax3,Gria2,Idh2,Ndnf,Nectin3,Fabp7,Trpc4,Grik2,Atp1a3,Gria1,Aqp4,Meis2,Chl1
Glul,Snhg11,Atp1a2,Tubb3,Gad1,Gfap,Gria2,Dnm1,Gria2,Cspg4,Draxin,Sox10,Prkca,Syne2,Slc6a3,Gria1,Creb1,Pld4,Nfib,Grik2,Itpr1,Gabrr2,Neurod1,Clu,Cacna2d1,Gria2,Chd7,Grik2,Epha4,Hcn1,Gria2,Sox9,Grik2,Cd6
Apoe,Neurod6,Gnai2,Cnr1,Cux2,Glul,Ncam1,Camk2b,Nfia,Nlgn2,Meis2,Bin1,Syp,Chd7,Sst,Calm1,Plcb1,Tmem119,Epha4,Neurod6,Cldn2,Stx19,Prox1,Atp1a1,Cacna2d2,Grik2,Slc6a11,Cntn4,Draxin,Gria2,Sema5a,Fabp7,Sox11,Nectin3
Fabp7,Prkca,Pecam1,Plxna2,Dnm1,Aqp4,Crmp1,Gria2,Gria1,Vcan,Pou3f3,Nfasc,Grin1,Mex3a,Gal,Neurod6,Ptk2,Sall1,Sox11,Neo1,Tead1,Atp6v1f,Nrp1,Aqp4,Robo2,Robo1,Grm3,Epha7,Nfia,Calm1,Plxna4,Apoe,Epha4,Ccna2
Sox9,Grin1,Lef1,Mex3a,Nxph1,Apoe,Sox4,Nsf,Plxna4,Chd7,Pax6,Gfap,Snhg11,Sox9,Cd4,Frrs1l,Chl1,C1qa,Neurod1,Meis2,Dsp,Cd28,Nfia,Ubc,Snhg11,Atp1a3,Neurod1,Grin2b,Meis2,Grik2,Nfia,Glul,Nfib,Cnr1
