names,scores,logfoldchanges,pvals,pvals_adj,group,analysis_type
Gli3,3.7217183,1.5175313,0.00019787170585209177,0.00048212395334519824,1,combined
Cdh20,3.6166706,1.3100734,0.0002984167919135653,0.0007162003005925567,1,combined
Etv4,3.5467582,1.9995168,0.00039000248489941676,0.000929038177427891,1,combined
Agt,3.5140762,2.2937884,0.00044128607605867074,0.001048600576773079,1,combined
Cxcl14,3.1417084,1.2666684,0.0016796526411819086,0.0036983177420519086,1,combined
Vcam1,2.8195496,1.4565839,0.0048091092898670295,0.009781239233627857,1,combined
Ptch1,2.7380373,1.1293353,0.006180706542074863,0.012413134477807255,1,combined
Adcy2,2.6593966,0.60619783,0.00782807586769258,0.015462865911491515,1,combined
Vim,2.4800403,0.50079465,0.013136753597727625,0.02522256690763704,1,combined
Gnai2,2.4664166,0.49777293,0.013647252190921883,0.026150423359850315,1,combined
Olig1,2.332627,0.7471456,0.01966772170306224,0.03673348800571936,1,combined
Tnfrsf19,2.1739707,0.7764239,0.029707335294610424,0.053506645183538475,1,combined
Dlg4,2.04741,1.2351161,0.04061784772812387,0.07141599600549252,1,combined
Sdc4,1.9038391,1.127291,0.056931141410409045,0.09742227407128821,1,combined
Bmpr1b,1.8846774,1.6789109,0.05947340130946369,0.10123132137781053,1,combined
Bcl2,1.8506596,1.1459057,0.06421853430718197,0.10815753146472752,1,combined
Etv5,1.7562709,0.9394896,0.07904215891346877,0.13060322298955254,1,combined
S100b,1.6811475,0.79660416,0.0927342732558337,0.15088966495864464,1,combined
Nfia,1.5892533,0.30410945,0.1120032205457578,0.1783135849484701,1,combined
Gabrb1,1.5880252,0.9680238,0.11228062914511672,0.1784592781114438,1,combined
Olig2,1.5871824,0.35423076,0.11247134567281024,0.1784669286709055,1,combined
Itgb8,1.556399,1.0384451,0.11961323707513638,0.18762860717668453,1,combined
Ptprm,1.4073051,0.10552178,0.15933693667691007,0.2408873373383207,1,combined
Fbxo2,1.3501866,1.619465,0.17695612951132056,0.2633765648540585,1,combined
Grin3a,1.334345,0.9357385,0.1820908245667232,0.26946604909224947,1,combined
Shank1,1.3002428,0.7224951,0.1935177550972278,0.2827656695484607,1,combined
Nr2e1,1.2865844,1.2541168,0.1982391980891215,0.28747678272742694,1,combined
Cplx2,1.2103049,0.34954914,0.22616195032730546,0.3192874592856077,1,combined
Plp1,1.1873765,-0.17244491,0.2350791272899052,0.32993561724898973,1,combined
Slc6a1,1.1161512,0.8627105,0.2643574320236082,0.3656817503496597,1,combined
Itpr2,1.1003672,0.4559631,0.2711721607286639,0.3734939373020335,1,combined
Tcf7l2,0.88285625,0.3237566,0.3773139367796223,0.4921486131908117,1,combined
Grin2c,0.78813887,0.8996793,0.43061549977339997,0.5453705538027229,1,combined
Pdgfrb,0.7611959,0.38136253,0.4465400744000161,0.5610974756858841,1,combined
Fxyd1,0.723796,0.74975264,0.4691909624939117,0.5819422790622161,1,combined
Omg,0.65680677,0.43562743,0.5113051767637901,0.6197638506227758,1,combined
Meis2,0.6054706,0.40430728,0.5448663664992283,0.6522389117707212,1,combined
Ntm,0.6054315,0.42328644,0.5448923218009645,0.6522389117707212,1,combined
Id3,0.58306885,1.079264,0.5598469347846676,0.6651646749916843,1,combined
Alpl,0.43232518,0.49421546,0.6655050948137983,0.7446210851063477,1,combined
Igsf1,0.37639192,0.9788661,0.7066255477323857,0.7689485494951565,1,combined
Gng12,0.26502904,0.62010646,0.7909870815426159,0.8372079363626364,1,combined
Cd9,0.25542372,0.58926934,0.7983958568095675,0.8417087065781634,1,combined
Prkcb,0.25496972,0.5266462,0.7987464913465697,0.8417087065781634,1,combined
Nr2f1,0.24989632,0.7439151,0.8026675300105532,0.8439877643046343,1,combined
Pou3f4,0.15444827,0.88717306,0.8772562923978894,0.8968754427071073,1,combined
Cd8b1,0.14428908,1.1798764,0.885272200054379,0.9027311914367095,1,combined
Cldn10,0.14123327,0.6868638,0.887685671579431,0.9027311914367095,1,combined
Ptprc,0.08279867,0.34550673,0.9340116271627118,0.9436494177248409,1,combined
Fgf13,0.081803836,0.34870163,0.9348027044336705,0.9436494177248409,1,combined
Gria1,60.524445,2.533397,0.0,0.0,2,combined
Epha6,56.45801,6.174424,0.0,0.0,2,combined
Grin2a,49.596394,3.480899,0.0,0.0,2,combined
Atp1a3,43.770374,1.5315411,0.0,0.0,2,combined
Gria2,41.47045,1.4964249,0.0,0.0,2,combined
Dnm1,39.9296,1.704482,0.0,0.0,2,combined
Snhg11,37.542686,2.4820023,1.8544547168654134e-308,2.54325218312971e-306,2,combined
Neurod6,36.74337,2.6710217,1.4836807609091422e-295,1.7804169130909707e-293,2,combined
Prkca,33.433987,1.9912121,4.399040574032777e-245,4.692309945634962e-243,2,combined
Grin1,32.15294,1.7719356,8.035433673706994e-227,7.714016326758714e-225,2,combined
Nr4a3,31.279894,4.415012,8.759476252347696e-215,7.644633820230717e-213,2,combined
Stxbp1,31.024529,1.0414966,2.517202261939948e-211,2.0137618095519583e-209,2,combined
