cluster,sample,cell_count,percentage,total_cells_in_sample
1,e16_R1_mut,15,0.4968532626697582,3019
1,e16_R2_ctrl,7,0.1869158878504673,3745
1,p0_R5p_mut,599,7.974970043935562,7511
1,p0_R6_ctrl,207,4.656917885264342,4445
1,p7_R1_mut,720,14.19278533412182,5073
1,p7_R2_ctrl,1240,13.286188792456874,9333
1,p30_R3_mut,398,9.759686120647377,4078
1,p30_R4p_ctrl,1042,13.173198482932996,7910
10,e16_R1_mut,13,0.4306061609804571,3019
10,e16_R2_ctrl,6,0.16021361815754337,3745
10,p0_R5p_mut,100,1.3313806417254694,7511
10,p0_R6_ctrl,75,1.687289088863892,4445
10,p7_R1_mut,217,4.277547802089494,5073
10,p7_R2_ctrl,595,6.375227686703097,9333
10,p30_R3_mut,273,6.694458067680236,4078
10,p30_R4p_ctrl,269,3.4007585335018966,7910
11,e16_R1_mut,25,0.8280887711162637,3019
11,e16_R2_ctrl,15,0.4005340453938585,3745
11,p0_R5p_mut,284,3.7811210225003324,7511
11,p0_R6_ctrl,90,2.0247469066366706,4445
11,p7_R1_mut,340,6.702148630001971,5073
11,p7_R2_ctrl,574,6.150219650701811,9333
11,p30_R3_mut,65,1.5939185875429134,4078
11,p30_R4p_ctrl,127,1.6055625790139065,7910
12,e16_R1_mut,2,0.06624710168930109,3019
12,e16_R2_ctrl,0,0.0,3745
12,p0_R5p_mut,15,0.1997070962588204,7511
12,p0_R6_ctrl,8,0.17997750281214847,4445
12,p7_R1_mut,14,0.27597082594125766,5073
12,p7_R2_ctrl,23,0.24643737276331296,9333
12,p30_R3_mut,421,10.32368808239333,4078
12,p30_R4p_ctrl,996,12.591656131479139,7910
13,e16_R1_mut,10,0.33123550844650546,3019
13,e16_R2_ctrl,8,0.2136181575433912,3745
13,p0_R5p_mut,43,0.5724936759419518,7511
13,p0_R6_ctrl,13,0.2924634420697413,4445
13,p7_R1_mut,100,1.9712201852946976,5073
13,p7_R2_ctrl,197,2.1107896710596807,9333
13,p30_R3_mut,794,19.470328592447277,4078
13,p30_R4p_ctrl,257,3.2490518331226292,7910
14,e16_R1_mut,446,14.773103676714145,3019
14,e16_R2_ctrl,907,24.218958611481973,3745
14,p0_R5p_mut,0,0.0,7511
14,p0_R6_ctrl,4,0.08998875140607424,4445
14,p7_R1_mut,1,0.019712201852946976,5073
14,p7_R2_ctrl,2,0.021429336762027216,9333
14,p30_R3_mut,4,0.0980872976949485,4078
14,p30_R4p_ctrl,0,0.0,7910
15,e16_R1_mut,193,6.392845313017556,3019
15,e16_R2_ctrl,0,0.0,3745
15,p0_R5p_mut,11,0.1464518705898016,7511
