,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19
Cluster_0,1.0,0.7446271355783408,0.5636939556322,0.3822281682823478,0.6111646632838227,0.769853758853485,0.413176177483436,0.6180040746713221,0.1517734599649885,0.35985485567739905,0.3686704691308395,0.39561017440851487,0.37273434187247106,0.6175322353719657,0.06618434313178691,0.3635065000753858,0.32463823151726884,0.08899204437388537,0.05918282492661732,-0.056264288137946476
Cluster_1,0.7446271355783408,1.0,0.6418560742597246,0.46968722799404805,0.5892785641687273,0.6780929923949773,0.4084129996583163,0.6783366469930406,0.1877724311584265,0.40940240147102613,0.31687244670353265,0.3714922465560905,0.3532125073030094,0.7066816319466747,0.09337059332654675,0.46596074120062414,0.3913399603282317,0.08837185616404312,0.06200426891712348,-0.07522780695561719
Cluster_2,0.5636939556322001,0.6418560742597246,0.9999999999999999,0.7489920880092992,0.7030472300444512,0.6313591904456707,0.34509191267872347,0.6702407636055532,0.16734350896527142,0.6989823352269678,0.4401055867195454,0.2648993931746487,0.4009979701773073,0.8122329376103591,0.05847312513424995,0.5813060858066892,0.35128947757902806,0.09054174254818415,0.038562994507758123,-0.06232778014545187
Cluster_3,0.38222816828234774,0.4696872279940481,0.7489920880092991,1.0,0.4474246186858903,0.5028664285304326,0.2486774393773371,0.5249530775091065,0.15630466118977837,0.56448421848678,0.2863687386795059,0.18388799841442943,0.31120402515793505,0.6922731626282526,0.05629292818350086,0.575453116545445,0.2903657526553568,0.07431005018238006,0.03297597030826881,-0.07406681367621068
Cluster_4,0.6111646632838227,0.5892785641687274,0.7030472300444512,0.4474246186858903,1.0,0.5350591481279743,0.43984475474179235,0.5586485676039173,0.1879567835996145,0.4977343328081698,0.32078787668902964,0.40921516690620485,0.42351839640886874,0.6503018521330601,0.0878837530129714,0.4129457952888738,0.32781904547333507,0.10392342623084361,0.062168794995562146,-0.07100729698046856
Cluster_5,0.7698537588534851,0.6780929923949774,0.6313591904456708,0.5028664285304326,0.5350591481279742,1.0,0.2744066471132221,0.744274599650998,0.1456948616931077,0.43723704287838755,0.40988445861649814,0.24374713955983307,0.32179170094384063,0.6976747398814465,0.04073781296040198,0.39881057832728845,0.28506972210913056,0.06645090823550975,0.01803427818965819,-0.05174560551365272
Cluster_6,0.413176177483436,0.4084129996583163,0.3450919126787234,0.2486774393773371,0.4398447547417924,0.2744066471132221,0.9999999999999999,0.31554393429341543,0.29956053040324016,0.23735158775008494,0.12085954589009115,0.6241277448179176,0.46789652981696295,0.46786087909249824,0.2902410377650934,0.30449910607058295,0.32874634598872815,0.1324903552252548,0.19754645976530463,-0.09816061091818634
Cluster_7,0.6180040746713221,0.6783366469930407,0.6702407636055532,0.5249530775091065,0.5586485676039173,0.744274599650998,0.31554393429341543,1.0,0.1726551196690532,0.5255424471295626,0.39459791853099707,0.27318250219588985,0.36511727215501355,0.7167871207835643,0.07018510005683437,0.4617477849758624,0.3114126826418484,0.06718646389881984,0.02639481269968318,-0.06328013949746031
Cluster_8,0.1517734599649885,0.1877724311584265,0.16734350896527142,0.15630466118977837,0.18795678359961449,0.1456948616931077,0.29956053040324016,0.1726551196690532,1.0,0.1219476726410515,0.06237690867920025,0.2479178036932293,0.16919585896046796,0.2771596225286368,0.46767732886124747,0.15711341125040315,0.17556829734684642,0.11658357711274615,0.1794263859686974,-0.0620977595852786
Cluster_9,0.359854855677399,0.4094024014710261,0.698982335226968,0.56448421848678,0.4977343328081698,0.43723704287838755,0.23735158775008494,0.5255424471295624,0.1219476726410515,0.9999999999999998,0.22221125101860598,0.17355949534588183,0.28859916596861646,0.5891332011007658,0.032173312726025555,0.39717983910187127,0.25216414136412774,0.05120734406356852,0.029329134361932407,-0.08928036067726132
