0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pou3f3,Zbtb20,Gria1,Tcf7l2,Erbb4,Satb2,Fabp7,Grik3,Sparcl1,Grm3,Stxbp1,Top2a,Olig2,Ubc,Atp1a2,Gabbr1,Reln,Laptm5,Clic6,Tubb3
Meis2,Nrp1,Snhg11,Snhg11,Gria1,Gria2,Ptprz1,Vcan,Cdh5,Atp1a3,Tubb3,Mki67,Chd7,Cldn1,Sparcl1,Tcf7l2,Chd7,C1qb,Syne2,Creb1
Pou3f2,Nfib,Dnm1,Srgap1,Sox1,Cacna2d1,Zbtb20,Cadm1,Cldn5,Six3,Robo1,Cenpf,Pdgfra,Cplx3,Cdh5,Msi2,Nhlh2,Hpgds,Cdh3,Gng10
Gria2,Epha4,Atp1a3,Atp1a3,Sox2,Trpc4,Atp1a2,Nfib,Apcdd1,Snhg11,Cdk6,Chd7,Sox10,Slitrk4,Ubc,Chd7,Nfib,Csf1r,Dsp,Cadm3
Satb2,Gria1,Cadm1,Id4,Zbtb20,Mef2c,Sox9,Grm3,Ubc,Erbb4,Neo1,Nfib,Ptprz1,Cldn19,Bmp7,Nrp2,Ccnd2,Apoe,Ubc,Syt2
Plxna4,Grik2,Stxbp1,Stxbp1,Dlx1,Neurod6,Pax6,Nrcam,Ptprm,Unc13c,Stmn1,Zbtb20,Cntn1,Slc17a8,Glul,Syt6,Bin1,Pld4,Sox9,Llgl1
Foxg1,Gria2,Epb41l1,Stmn2,Nxph1,Foxg1,Slc1a2,Fezf2,Vim,Grik2,Epha3,Pax6,Erbb4,Cd274,Vim,Gria1,Ndnf,Ptprj,Tead1,Glg1
Neurod2,Neurod2,Grin1,Sdc3,Lhx6,Plxna4,Slc6a11,Dync1i1,Trim25,Dnm1,Vcan,Ccnd2,Cspg4,Fos,Col3a1,Syt9,Rgs4,P2ry12,Kit,Pax2
Cux2,Neurod6,Gabbr1,Cntn4,Ptprm,Nectin3,Chd7,Gria2,Igf1r,Sema3e,Epb41l1,Cenpe,Nlgn2,Gal,Axin2,Snhg11,Msi2,Cx3cr1,Clu,Atp6v1e1
Nfib,Nfia,Cdh4,Ntm,Sox11,Mpped1,Sparcl1,Neurod2,Ccdc141,Gad1,Lhx1,Syne2,Pou3f3,Lmna,Cxcl12,Neurod1,Ptprs,Mrc1,Cldn2,Wnt5b
