0.0,0.1,2,5,0.2,1,3,9,17,11,19,18,21,7,6,0.3,22,10,0.4,16,20,0.5,23,13,12,15,8
Gria1,Ubc,Nr4a3,Erbb4,Zbtb20,Fabp7,Sparcl1,Neurod1,Neurog2,Cenpf,Fgfr1,Clic6,Reln,Bhlhe22,Hopx,Draxin,Emx2,Olig2,Insm1,Laptm5,Foxj1,Cck,Pdlim4,Npy2r,Ubc,Slc1a6,Dsp
Gria2,Gria2,Gria2,Atp1a3,Nfib,Atp1a2,Cdh5,Zbtb20,Cxcr4,Top2a,Epha4,Syne2,Nhlh2,Neurod2,Dio2,Nfib,Nfib,Chd7,Neurod2,C1qb,Sox9,Bcl6,Chd7,Atp1a3,Gsn,Nr2e1,Gria1
Nrp1,Atp1a3,Nrp1,Gria1,Ptprs,Sox9,Apcdd1,Nfib,Grik2,Mki67,Zbtb20,Cdh3,Bin1,Gria2,Sox9,Zbtb20,Grik2,Pdgfra,Gria2,Mrc1,Idh2,Atp1a3,Zbtb20,Gria1,Ptprm,Syne2,Nlgn2
Atp1a3,Camk2a,Gria1,Cux2,Sox11,Ptprz1,Ubc,Chd7,Zbtb20,Draxin,Nfib,Dsp,Cacna2d1,Nrp1,Slc1a2,Prox1,Nfia,Cntn1,Nrp1,Apoe,Vim,Neurod2,Nfib,Prkca,Ptprj,Tnfrsf19,Cdh2
Grin2a,Cx3cr1,Slit3,Cadm1,Epha4,Ccdc80,Cldn5,Ptprs,Ptprs,Chd7,Pax6,Sox9,Snhg11,Atp1a3,Fabp7,Sox11,Chd7,Ptprz1,Zbtb20,Csf1r,Top2a,Nrp1,Nfia,Gria2,Apoe,Sema4f,Atp1a3
Neurod6,Gnb3,Epha6,Snhg11,Grik2,Gfap,Atp1a2,Epha4,Nfib,Nfib,Grik2,Kit,Rgs4,Ncam1,Chd7,Ptprs,Pax6,Cspg4,Epha4,Ptprj,Axin2,Gria1,Grik2,Ubc,Chd7,Chd2,Ankrd11
Robo1,Pard3,Atp1a3,Trpc4,Pou3f3,Pou3f3,Ptprm,Sox11,Gria2,Pax6,Ptprs,Tead1,Ndnf,Neurod6,Pax6,Chd7,Zbtb20,Sox10,Sox11,Ubc,Clu,Stxbp1,Meis2,Gabra5,Sqstm1,Ptk2,Cacna1a
Nrp2,Cldn16,Neurod6,Grik1,Foxg1,Slc1a2,Vim,Nfia,Epha4,Cenpe,Gria2,Ubc,Robo2,Foxg1,Ptprz1,Grik2,Ptprs,Erbb4,Meis2,Pld4,Meis2,Crmp1,Draxin,Robo1,Atp1a2,Gpr183,Sema4f
Neurod2,Gabra3,Neurod2,Dnm1,Gria2,Pax6,Trim25,Grik2,Gria1,Ccnd2,Sox11,Clu,Cdh4,Cadm1,Ccnd2,Igfbpl1,Slc1a2,Grik3,Grik2,Grk2,Fabp7,Gria2,Pou3f3,Gabbr1,Mag,Wnt3a,Cadm1
Nectin3,Drd1,Nectin3,Sox1,Igfbpl1,Id4,Lamb1,Neo1,Sox11,Pou3f3,Meis2,Cldn2,Msi2,Hcn1,Grm3,Nfia,Ccnd2,Sall3,Pou3f3,Hpgds,Id4,Gabra5,Ccdc88a,Stxbp1,Plp1,Itgb2l,Atp6v1h
