EntityID,geometry,dataset,group
ROI hippocampus 1,"POLYGON ((10206 6426.89, 10212 6530.06, 10187.8 6645.37, 10121 6809.22, 10066.4 6973.08, 10066.4 7094.45, 10108.9 7215.83, 10163.5 7349.34, 10193.8 7452.51, 10266.7 7482.85, 10363.8 7452.51, 10454.8 7379.69, 10539.7 7258.31, 10618.6 7070.18, 10642.9 6924.53, 10624.7 6748.54, 10576.2 6572.54, 10527.6 6354.07, 10199.9 6414.75, 10206 6426.89))",202503071102_SESSA-p30-E165_VMSC10702_region_1,ROI hippocampus
ROI hippocampus 2,"POLYGON ((10509.4 6414.75, 10527.6 6530.06, 10570.1 6657.5, 10642.9 6821.36, 10770.4 6973.08, 10916 7130.87, 11025.2 7203.69, 11098.1 7252.24, 11225.5 7282.59, 11304.4 7246.17, 11328.7 7191.55, 11346.9 7094.45, 11346.9 6930.6, 11328.7 6833.5, 11286.2 6742.47, 11225.5 6675.71, 11085.9 6590.75, 10982.8 6530.06, 10922.1 6457.24, 10867.5 6408.69, 10843.2 6372.27, 10509.4 6414.75))",202503071102_SESSA-p30-E165_VMSC10702_region_1,ROI hippocampus 2
