EntityID,geometry,dataset,group
Hippocampus #1,"POLYGON ((2446.44 4497.19, 2409.78 4381.58, 2381.01 4264.58, 2364.31 4169.86, 2364.33 4031.51, 2388.02 3888.97, 2461.86 3753.88, 2504.59 3673.1, 2579.34 3635.51, 2668.95 3635.98, 2731.16 3665.7, 2791.5 3777.14, 2859.27 3838.43, 2929.83 3915.51, 2943.75 3994.44, 2952.56 4090.55, 2917.73 4169.94, 2870.83 4227.04, 2822.53 4276.24, 2831.34 4372.35, 2446.44 4497.19))",202503071102_SESSA-p30-E165_VMSC10702_region_3,ROI hippocampus
ROI hippocampus 2,"POLYGON ((2139.98 4672.6, 2013.24 4671.23, 1903.68 4649.86, 1815 4608.53, 1773.23 4510.09, 1733.79 4378.7, 1685.99 4199.94, 1719.43 4112.66, 1796.97 4090.85, 1921.39 4150.3, 1996.12 4251.06, 2093.14 4339.75, 2183.21 4388.97, 2254.7 4425.2, 2348.48 4449.35, 2408.37 4512.04, 2429.72 4540.83, 2149.27 4704.22, 2137.2 4681.93, 2139.98 4672.6))",202503071102_SESSA-p30-E165_VMSC10702_region_3,ROI hippocampus 2
