0,1,2,3,4,5,6,8,9,10,11,12,14,18,20
Tcf7l2,Stxbp1,Atp1a2,Atp1a3,Plp1,Cldn5,Plp1,Gad1,Dnm1,Olig2,Dsp,Atp1a2,Laptm5,Nfib,Sox9
Snhg11,Dnm1,Sparcl1,Calm1,Mbp,Sparcl1,Mag,Atp1a3,Prkca,Gpr17,Ptprj,Sparcl1,C1qb,Sox11,Ccdc153
Rgs4,Atp1a3,Slc1a2,Sparcl1,Cldn11,Cdh5,Cldn11,Snhg11,Gria1,Sox10,Gria2,Cdh5,Csf1r,Zbtb20,Vim
Lef1,Syt1,Htra1,Ubc,Gsn,Igf1r,Gsn,Stxbp1,Snhg11,Vcan,Gria1,Flna,P2ry12,Ptprs,Slc38a1
Atp1a3,Snhg11,Glul,Dnm1,Mag,Ptprm,Mog,Rab3a,Atp1a3,Pdgfra,Epha7,Vim,Tmem119,Nfia,Foxj1
Rgs16,Calm1,Aqp4,Camk2a,Mog,Lef1,Mbp,Erbb4,Grin2a,Nlgn2,Grin2a,Syne2,Hpgds,Pou3f3,Clu
Ptprm,Eef1a2,Gfap,Stxbp1,Sox10,Sema7a,Bin1,Cacnb4,Neurod6,Mbp,Grin1,Ptprm,Sall1,Ccnd2,Idh2
Stxbp1,Stx1b,Atp1b2,Gap43,Gfap,Apcdd1,Sox10,Dnm1,Stxbp1,Mpzl1,Camk2b,Pdgfrb,Cx3cr1,Chd7,Aqp4
Cplx1,Prkca,Clu,Calb2,Sema4d,Ptprb,Nfasc,Gabra1,Gria2,Olig1,Zbtb20,Ptprb,Pld4,Cdh2,Apoe
Kcnc2,Epb41l1,Apoe,Cldn3,Nfasc,Slc1a2,Rhob,Cplx1,Epha6,Plp1,Plxna4,Rgs4,Itgam,Syne2,Ubc
