,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_14,Cluster_18,Cluster_20
Cluster_0,1.0,0.595081286847953,0.29822570447549007,0.6270532050528276,0.24277883417136747,0.267360696632382,0.22495262983758363,0.5606710639636426,0.517898166656774,0.26527069959372235,0.40573363850059263,0.1952993359396776,0.10140415656339671,0.17583237420704304,0.09684511659162477
Cluster_1,0.595081286847953,1.0,0.36539649962006315,0.7604062307262711,0.2054397020796742,0.2668411478060502,0.19042380723103322,0.6750054888713556,0.7900457672068169,0.2760489241883078,0.6032102767883858,0.1608841597575477,0.14381583952877527,0.25029576726330344,0.062632824842229
Cluster_2,0.29822570447549007,0.36539649962006315,0.9999999999999998,0.596213826606835,0.3877492670303018,0.492309087095495,0.27853864935450523,0.32284098119104016,0.24306458163220357,0.3791885133721889,0.255228723900921,0.46886542107735063,0.2780390854435558,0.3331259007022866,0.36307227714297136
Cluster_3,0.6270532050528276,0.7604062307262711,0.5962138266068349,1.0,0.37233346657793115,0.45043179463233624,0.2957193891997059,0.6766903879147552,0.6239986910364502,0.37558451413291116,0.5234235853091963,0.33659831002337043,0.2692017846953898,0.2771371338574352,0.18070190239503925
Cluster_4,0.24277883417136747,0.20543970207967424,0.3877492670303018,0.37233346657793115,0.9999999999999999,0.2848278970839574,0.9321845997227932,0.21579621996130288,0.13486578240415106,0.47688835434730625,0.12899412709145058,0.28053316720544796,0.20331440957871627,0.20990177379778946,0.20893416312340643
Cluster_5,0.267360696632382,0.2668411478060502,0.49230908709549503,0.4504317946323363,0.28482789708395734,0.9999999999999998,0.21355569055314982,0.2119963769834024,0.17729238706923225,0.266416305762584,0.19321455638592155,0.6639352629676467,0.22805225196967044,0.19123756111287007,0.24346634817268786
Cluster_6,0.22495262983758366,0.19042380723103322,0.2785386493545053,0.2957193891997059,0.9321845997227932,0.21355569055314982,1.0,0.20486100517499786,0.14361571139723261,0.46357258216175445,0.13741866565218405,0.21060196556211808,0.16460702545558586,0.16572357964416,0.1735734436548743
Cluster_8,0.5606710639636427,0.6750054888713556,0.3228409811910401,0.6766903879147552,0.21579621996130288,0.2119963769834024,0.20486100517499786,0.9999999999999998,0.5704739244948621,0.27639831812808047,0.4605537254197967,0.1320668396403696,0.11416393960879088,0.2228714947413015,0.07132205213711267
Cluster_9,0.517898166656774,0.7900457672068169,0.24306458163220357,0.6239986910364502,0.1348657824041511,0.17729238706923225,0.14361571139723261,0.5704739244948621,0.9999999999999999,0.21899532895357327,0.7167041613888119,0.10980396786105938,0.08626233755074993,0.27466807589456627,0.05583900530402174
Cluster_10,0.26527069959372235,0.2760489241883078,0.3791885133721889,0.37558451413291116,0.47688835434730625,0.266416305762584,0.46357258216175445,0.2763983181280804,0.21899532895357324,0.9999999999999999,0.2288629875543066,0.24852861647344301,0.1426798772786342,0.272544002290921,0.14879174539271514
Cluster_11,0.40573363850059263,0.6032102767883858,0.255228723900921,0.5234235853091963,0.12899412709145058,0.19321455638592158,0.13741866565218408,0.4605537254197967,0.7167041613888119,0.2288629875543066,1.0,0.12006079868281345,0.09057504155912113,0.3640180035240238,0.07703451997175605
Cluster_12,0.1952993359396776,0.16088415975754766,0.4688654210773506,0.3365983100233705,0.28053316720544796,0.6639352629676467,0.21060196556211808,0.13206683964036958,0.10980396786105938,0.248528616473443,0.12006079868281347,1.0,0.2148330880359183,0.206313469231648,0.3269802355508761
Cluster_14,0.10140415656339673,0.14381583952877527,0.2780390854435559,0.2692017846953898,0.20331440957871627,0.2280522519696704,0.16460702545558586,0.11416393960879087,0.08626233755074993,0.14267987727863418,0.09057504155912113,0.21483308803591827,1.0,0.0834413552062213,0.09393422924128268
Cluster_18,0.17583237420704306,0.25029576726330344,0.33312590070228654,0.2771371338574352,0.20990177379778946,0.19123756111287007,0.16572357964416,0.22287149474130152,0.2746680758945663,0.272544002290921,0.36401800352402375,0.206313469231648,0.0834413552062213,1.0,0.21485858496038066
Cluster_20,0.09684511659162477,0.062632824842229,0.3630722771429714,0.18070190239503925,0.20893416312340646,0.24346634817268784,0.17357344365487426,0.07132205213711268,0.05583900530402174,0.14879174539271514,0.07703451997175603,0.3269802355508761,0.09393422924128268,0.21485858496038066,1.0
