7,15,5,3,2,1,0.0,6,0.1,9,17,11,0.2,19,10,22,16,21,0.3,13,23,18,12,4,20,14,8
Gria2,Plcb1,Gria1,Sparcl1,Nr4a3,Mfge8,Best1,Dio2,Zbtb20,Neurod1,Cxcr4,Draxin,Grik2,Fgfr1,Olig2,Emx2,C1qb,Ndnf,Igfbpl1,Npy2r,Pdlim4,Cdh3,Grik3,Neurog2,Foxj1,Boc,Dsp
Neurod2,Mdga1,Erbb4,Apcdd1,Epha6,Atp1a2,Drd1,Sparcl1,Sox11,Zbtb20,Neurog2,Top2a,Hcn1,Nfix,Pdgfra,Zbtb20,Csf1r,Trp73,Draxin,Gng2,Cdh2,Robo1,Ptpn11,Nrp1,Ccdc80,Pax6,Slc38a1
Cadm1,Cd70,Atp1a3,Cdh5,Slit3,Vim,Ndrg4,Zbtb20,Pou3f3,Nfib,Vcan,Mki67,Atp1a3,Zbtb20,Chd7,Nfib,Laptm5,Nhlh2,Nfib,Ankrd11,Mfge8,Cldn2,Plp1,Cntn2,Meis2,Zfp609,Cacna1b
Atp1a3,Prex2,Nxph1,Ubc,Atp1a3,Slc1a2,Hoxa9,Hopx,Gria2,Nfia,Gnao1,Chd7,Epha7,Ptprs,Sox10,Slc1a2,Apoe,Cdh4,Sox11,Mpped1,Ccnd2,Pou3f3,Gria1,Mex3a,Vim,Zbtb20,Ddx3x
Nrp1,Gng10,Ptprm,Vim,Crmp1,Slc6a11,Cxcl14,Ptprz1,Ptprs,Nfix,Pax6,Egfr,Trpc4,Neurod1,Kcnip3,Vim,C1qa,Bin1,Zbtb20,Lrrc4b,Tnfrsf19,Plxnb1,Myc,Meis2,Cadm1,Gnao1,Grik3
Neurod6,Creb1,Lhx6,Cldn5,Robo1,Sparcl1,Calb2,Mfge8,Satb2,Chd7,Mdga1,Cenpf,Crmp1,Huwe1,Olig1,Neurod1,Pld4,Reln,Ptprs,Camk2b,Zbtb20,Homer2,Crkl,Plxna2,Mfge8,Gli3,Gnao1
Ptprs,Cdk6,Cux2,Atp1a2,Grik2,Sox9,Sema4a,Htra1,Nrp1,Gria1,Ptk2,Olig2,Robo1,Nfib,Cntn1,Chd7,Mrc1,Snhg11,Kcnq3,Zfp609,Ccdc80,Mfng,Acsl1,Zbtb20,Huwe1,Htra1,Stxbp1
Satb2,Pou3f3,Grik3,Lamb1,Srgap3,Ptprz1,Cd28,Fabp7,Epha4,Sema6d,Stmn2,Ubc,Grin2a,Nfia,Cspg4,Draxin,Hpgds,Cxcl12,Pou3f3,Gria2,Gnai2,Gng10,Eef1a2,Fubp1,Ankrd11,Ccdc80,Atp1a3
Ncam1,Chl1,Epb41l1,Col3a1,Neo1,Olig2,Omg,Sox9,Nfix,Draxin,Mfng,Syne2,Ncam1,Camk2b,Sall3,Srgap3,Ubc,Ccnd2,Lrp8,Dnajc5,Sox9,Gng3,Tbr1,Sox4,Ccdc153,Fabp7,Gria1
Tubb3,Ptk2,Ncam1,Ptprm,Slitrk1,Fabp7,Folr1,Slc6a11,Nfib,Prox1,Igfbpl1,Sox2,Cck,Foxg1,Kcnd2,Cdh2,Ptprj,Rgs4,Dcc,Huwe1,Sparcl1,Tbr1,Rgma,Epha4,Cdh2,Sox2,Pla2g4c
Stxbp1,Robo1,Dnm1,Mpzl1,Dnm1,Pax6,Calb1,Slc1a2,Meis2,Epha4,Limk1,Nfia,Ubc,Ncam1,Ptprz1,Igfbpl1,C1qc,Robo2,Pou3f2,Cadm1,Vim,Cntn2,Stmn1,Neurod2,Jam3,Draxin,Gls2
Gabbr1,Cldn5,Slc32a1,Gnai2,Nrp1,Ccdc80,Grm1,Atp1a2,Sox4,Plxna4,Slc6a11,Nfib,Bcl6,Dpysl2,Sox2,Ccnd2,Gnai2,Cacna2d2,Gria2,Srgap1,Atp1a2,Rtn4,Mog,Nfib,Sema5b,Cdh4,En1
Slitrk1,Ddx5,Grik1,Axin2,Tubb3,Gfap,Cdh9,Nfib,Neurod2,Ptprs,Chd7,Pax6,Fezf2,Plxna4,Sdc3,Nfix,Cx3cr1,Slc2a13,Mex3a,Epb41l1,Cd274,Cd8b1,Gng8,Lrp8,Pak4,Epha4,Dlx1
Sox4,Cd86,Gad1,Lef1,Epha7,Ccnd2,Gzmb,Olig2,Plxna2,Grik2,Cacnb4,Cenpe,Rgma,Ryk,Sox9,Nfia,Col3a1,Diablo,Plxna4,Mef2c,Gli3,Stx19,Pax2,Ptprs,Smo,Chd7,Drd1
Crmp1,Lhx1,Gng2,Bmp7,Fezf2,Htra1,Kcnh1,Ccnd2,Insm1,Srgap3,Gria1,Ccnd2,Bcl11b,Sema6d,Cdh20,Slc38a1,Grk2,Cd274,Ubc,Ptprs,Sox4,Hpcal1,Pard6a,Nr4a3,Sox1,Ccnd2,Pik3cb
Nfib,Cdkn2c,Epha7,Gnas,Camk2b,Meis2,Gabrg2,Vim,Pou3f2,Plcb1,Ddx5,Fabp7,Nlgn2,Sox11,Erbb4,Prox1,Chd2,Chd7,Neo1,Cux2,Sall3,Cldn10,Ptprc,Gria2,Syn1,Chd6,Ncam2
Sox11,Mfng,Sox2,Pdgfra,Grin2a,Egfr,Il33,Nfia,Neurod6,Fxyd6,Cdk6,Vcan,Nr4a2,Draxin,Bmp7,Ptch1,Vim,Cacna2d1,Cacna2d1,Nfix,March6,Ptk2,Thrsp,Kcnd2,Sox9,Atp1a2,Snap29
Nlgn2,Lockd,Slc6a1,Cxcl12,Gnao1,Msi2,Tuba3a,Ccdc80,Foxg1,Limk1,Elavl2,Atp1b2,Neo1,Pou3f3,Egfr,Neo1,Atp1a2,Msi2,Clstn2,Atp1a3,Dio2,Bmp4,Junb,Neurod6,Set,Lrrc4b,C1qa
Foxg1,Itgb2l,Mpped1,Trim25,Bin1,Glul,Cplx3,Pax6,Plxna4,Slc1a2,Fzd3,Gnai2,Gabra2,Slc17a6,Nlgn3,Slc6a11,Cxcl12,Kit,Nfix,March6,Chd6,Gls2,Grm2,Insm1,Spop,Vim,Elavl4
Mpped1,Nrn1,Dlx2,Igf1r,Grin2b,Nfia,Nrp2,Sox2,Ntng2,Eomes,Cdkn2c,Plxnb1,Rasgrp1,Meis2,Chd6,Mfge8,P2ry13,Nfasc,Cnr1,Calm1,Slc6a11,Clic6,Omg,Cnr1,Fabp7,Sox4,Nr2f1
