8,2,1,12,3,0.1,5,6,10,13,16,0.0,20,11,9,17,19,0.5,22,21,18,0.7,0.4,7,23,0.3,0.8,0.2,0.6,0.10,15,4
Cplx2,Rasgrp1,Ntsr2,Sema4d,Vim,Gria1,Ubc,Aqp4,Ptprz1,Epha4,C1qa,Unc5d,Ubc,Syne2,Stxbp1,Zbtb20,Neo1,Hcn1,Epb41l1,Srgap3,Bmp7,Snhg11,Foxg1,Stx1b,Arhgef12,Cldn3,Dpysl2,Atp6v1e1,Sox4,Vhl,Arhgef12,Nfib
Nfib,Grin1,Slc6a11,Jam3,Syne2,Frrs1l,Syt1,Aldoc,Chd7,Camk2b,Vsir,Efna4,Zbtb20,Lmnb1,Plxna4,Dnm1,Gfap,Ppp3cb,Ncam1,Nfib,Cdh3,Grin1,Epha4,Prex2,Ntsr2,Dab2ip,Frrs1l,Gfap,Ddx5,Pik3cb,Tigit,Arhgef12
Epha4,Stxbp1,Aldoc,Cers2,Pecam1,Grin2a,Stx1b,Apoe,Cntn1,Syt1,Glul,Calb2,Flna,Nfia,Plxna2,Grin2a,Calm1,Bcl11b,Zbtb20,Glul,Igfbp2,Adcy2,Cacna2d1,Apoe,Sox9,Pparg,Plxna4,Plcb1,Pou3f3,Ccdc88c,Wnt3a,Ttc28
Dnm1,Epha4,Sox9,Olig2,Ccdc141,Calm1,Ptprm,Slc6a11,Kcnip3,Zbtb20,Tgfbr1,Stx11,Sema6d,Mki67,Cdh2,Atp1a3,Sema6d,Gria3,Pou3f3,Robo2,Huwe1,Dlgap1,Slitrk5,Mapk3,Clu,Sox11,L1cam,Calm1,Cdkl5,Mdk,Ntng1,Epha4
Grik2,Epha7,Id4,Olig1,Glul,Rasgrp1,Erbb4,Ntsr2,Cspg4,Syp,P2ry13,Cacng5,Fzd3,Meis2,Sox4,Epha7,Nfib,Nr4a2,Gria2,Slc1a2,Rgs3,Frrs1l,Itpr1,Ntm,Apoe,Ssh3,Gabra4,Mrc1,Pik3ca,Rgs10,Gabrg1,Slc25a18
Prox1,Nsf,Gjb6,Rgs3,Cd34,Gabra5,Limk1,Camk2a,Itpr2,Snhg11,Grk2,Tuba1a,Id4,Zbtb20,Nfix,Unc13a,Slc1a2,Gabbr1,Atp1b2,Nhlh2,Arhgef12,Nr4a1,Srsf11,Cd34,Pou3f3,Cd24a,Flna,Fadd,Syp,Slc32a1,Cldn10,Nf1
Nsf,Ppp3cb,Sfxn5,Erbb4,Gnai2,Syn1,Cux2,Pou3f3,C1ql1,Srgap3,Gfap,Pax2,Rgs4,Pou3f2,Syne2,Ptprj,Idh2,Cx3cl1,Cdh2,Plcb1,Tead1,Sema3e,Lamb1,Dsp,Plxnb1,Ephb2,Slc1a6,L1cam,Tead1,Gap43,Cldn3,Neurod1
Neurod2,Syt1,Mbp,Sox2,Cobll1,Snhg11,Gabbr1,Id4,Erbb4,Epha7,Ptgs1,Pomc,S100b,Sox4,Nlgn2,Adcy1,Slc6a11,Cntn4,Sparcl1,Cacna2d1,Dsp,Trpc4,Snhg11,Apba1,Sfxn5,Cacng5,Tuba4a,Ttc28,Ptch1,Eef1a2,Agt,Sox4
Stxbp6,Gabra5,Pou3f3,Gfap,Bmpr2,Mapk8ip3,Cnr1,Sox9,S100b,Rab3a,Srgap2,Cldn3,Sox2,Mfge8,Gria1,Dsp,Htra1,Myt1l,Camk2a,Epb41l1,Msi2,Prkca,Robo1,Htra1,Grm3,Tbr1,Grik2,Sun1,Stxbp1,Cd274,Epha3,Mapk8ip3
Stxbp1,Syp,Camk2a,Grm3,Trim25,Grin1,Grik1,Sfxn5,Plp1,Eef1a2,Slc1a2,Slitrk2,Nfia,Pax6,Nrp1,Nfib,Clu,Grin1,Ntsr2,Cd274,Slc38a3,Cx3cl1,Scrib,Cldn5,Gnao1,Plxnb2,Fxyd6,Gng10,Limk1,Rhoa,Nes,Mdga1
