4,14,3,18,21,5,7,16,2,9,0,11,6,17,13,1,19,22,10,23
Gria2,Pax6,Sparcl1,Clic6,Trp73,Erbb4,Neurod2,Apoe,Nr4a3,Neurod1,Cntn2,Top2a,Hopx,Neurog2,Npy2r,Nfia,Fgfr1,Emx2,Olig2,Pdlim4
Neurod2,Vim,Cdh5,Igfbp2,Cacna2d2,Gria1,Gria2,Csf1r,Slit3,Plxna4,Epha4,Mki67,Dio2,Cdh2,Gria1,Jun,Nlgn2,Foxg1,Olig1,Ttc28
Neurod6,Sox9,Lamb1,Cdh3,Bin1,Lhx6,Sox11,Laptm5,Gria2,Sox11,Tubb3,Vim,Zbtb20,Cul1,Nxph1,Ptch1,Bin1,Igf1r,Gpr17,Zfp609
Cntn2,Ccdc80,Apcdd1,Foxj1,Reln,Grik3,Neurod6,C1qa,Crmp1,Cnr1,Gria2,Cenpf,Limk1,Nfia,Syt1,Ccdc80,Nfia,Scrib,Cntn1,Sema6d
Sox11,Htra1,Col3a1,Bmp7,Nhlh2,Cux2,Cntn2,C1qb,Camk2b,Zbtb20,Ubc,Pou3f3,Ephb1,Mpzl1,Erbb4,Ptprs,Zbtb20,Plxnb1,Cspg4,Epha4
Tubb3,Pou3f3,Atp1a2,Itpr1,Lhx5,Atp1a3,Foxg1,Cx3cr1,Stxbp1,Ptprs,Ssh2,Lmnb1,Nfia,Gabbr1,Atp1a3,Ubc,Atp1a3,Mdh2,Kcnd2,Huwe1
Nfasc,Rgma,Pdgfra,Mest,Cdh4,Slc32a1,Robo1,Pld4,Robo1,Nfasc,Dsp,Syne2,Draxin,Cxcr4,Ncam1,Flna,Prox1,Ncam1,Mki67,Draxin
Cnr1,Sox2,Cldn5,Clu,Nfasc,Nxph1,Crmp1,Mrc1,Epha6,Epha4,Cplx3,Cenpe,Sema4g,Prox1,Grik3,Nr4a2,Gria2,Epha4,Sox2,Sox11
Crmp1,Gli3,Gnai2,Sox9,Ccnd2,Epb41l1,Sox4,Hpgds,Nrp1,Slc1a2,Gng13,Pax6,Fabp7,Depdc5,Slc32a1,Vamp3,Epha4,Pou3f3,Sox10,Flna
Atp1a3,Mki67,Ubc,Gnas,Lhx1,Ncam1,Atp1a3,Ptprj,Atp1a3,Nfia,Slc18a3,Zfp609,Mki67,Mex3a,Lhx6,Crkl,Kcnh7,Rtn4,Nr4a1,Hras
Plxna2,Sall1,Slc38a3,Atp1a1,Cacna2d1,Gad1,Tubb3,C1qc,Grik3,Prox1,Insm1,Sox9,Insm1,Socs7,Crmp1,Ntrk3,Nrp1,Nfia,Pdgfra,Igfbpl1
Unc13a,Chd7,Mpzl1,Cntn1,Nectin1,Dlx2,Nfib,Itga9,Syp,Nfib,Efna2,Cdh2,Grik2,Pax6,Ptprm,Stx18,Nlgn3,Gria2,Sox9,Unc13b
Nrp1,Boc,Mest,Six3,Vcan,Mpped1,Kcnq3,Bin1,Lrp1,Nfix,Pou3f2,Sun2,Epb41l3,Mfge8,Cux2,Mfge8,Ubc,Grik2,Top2a,Arid1b
Bhlhe22,Id4,Gnas,Ptprm,Slc2a13,Cacna1b,Sptan1,Plcg2,Adcy1,Cplx2,Cd9,Ubc,Lrrc4c,Epha4,Arx,Cntnap1,Lrp8,Ttc28,Grin1,Zmiz1
Nr4a3,Mfge8,Vim,Kit,Robo2,Slc6a1,Cdk5r2,Vsir,Slc17a7,Sema6d,Fgf12,Chd7,Nfib,Grik2,Prickle2,Axin2,Chd6,Lhfpl4,Nes,Dab2ip
Mpped1,Cenpf,Ptprm,Pdgfra,Arhgap32,Sp9,Nfasc,Tmem119,Neurod6,Stxbp1,Mpz,Nr2e1,Cep44,Cdh4,Sox1,Camk2g,Gng2,Ptprs,Erbb4,Nrp1
Robo1,Plxnb1,Cldn11,Trp73,Sema6a,Gad2,Gabrb2,Grk2,Dnm1,Meis2,Pard6a,Gli3,Atp6v1h,Cers2,Chrnb2,Nipbl,Nfasc,Gnao1,Lrrc4b,Sema4d
Stxbp1,Top2a,Pdgfrb,Smo,Ndnf,Arx,Pou3f3,Pik3cd,Neurod2,Coro2b,Slc1a6,Sox1,Vcan,Mapk8,Gad2,Efna5,Creb1,Plxna3,Fxyd6,Pou3f3
Ttc28,Draxin,Cxcl12,Glul,Rspo3,Ptprm,Stxbp1,Ptprc,Grin1,Atp1a3,Nfib,Ptprs,Atp6v1a,Eomes,Nlgn2,Rhoa,Cacnb1,Trpc1,Gng3,Cacna2d1
Sema7a,Tnfrsf19,Pecam1,Plxnb1,Snhg11,Trpc4,Slitrk1,Ptgs1,Ndrg4,Dock7,Epha5,Id4,Fbxw7,Sox4,Slc6a1,Pld4,Slit3,Mdh1,Ptprz1,Meis2
Neurod1,Sema5b,Bmp7,Msi2,Kit,Grik1,Plxna2,Idh2,Tubb3,Sox4,Alg13,Rgma,Mast3,Hes5,Stxbp1,Kras,Ptpn11,Gls,Nlgn3,Ankrd11
Kcnq3,Syne2,Wnt4,Ubc,Fat3,Crmp1,Cldn14,Rhob,Gnai1,Cacna2d1,Bmerb1,Olig2,Camkk1,Vcan,Grik1,Bcl6,Syn1,Fgf13,Itgb1,Lamb1
Gria1,Jun,Cd34,Ptch1,Cadm3,Syt1,Syt6,Huwe1,Bcl11b,Neurod6,Hras,Sall1,Mcm2,Pdcd1lg2,Ccdc88a,Srgap2,Ephb3,Atp6v1a,Cdkn2c,Syn1
