13,8,3,12,6,1,10,20,5,16,2,11,0.0,22,17,7,21,4,23,0.1,18,19,9,14
Dnm1,Dsp,Cldn5,Plp1,Slc1a2,Slc1a2,Gpr17,Foxj1,Snhg11,Csf1r,Atp1a3,Ccnd2,Syp,Emx2,Neurog2,Bhlhe22,Trp73,Ptprs,Pdlim4,Cplx2,Clic6,Fgfr1,Neurod1,Ccdc80
Syp,Camk2b,Apcdd1,Mag,Atp1a2,Atp1a2,Olig2,Vim,Atp1a3,Cx3cr1,Dnm1,Pou3f3,Dnm1,Slc1a2,Atp1a3,Camk2a,Cacna2d2,Sox11,Gfap,Atp1a3,Igfbp2,Sparcl1,Nfia,Mex3a
Slc17a7,Plxna4,Cdh5,Cldn11,Htra1,Sparcl1,Sox10,Sox9,Gad1,Tmem119,Stxbp1,Sox11,Atp1a3,Atp1a2,Camk2a,Adcy1,Reln,Tubb3,Sparcl1,Slc17a7,Tead1,Gjb6,Ncam1,Pou3f3
Nsf,Epha7,Sparcl1,Mbp,Glul,Apoe,Olig1,Ccdc153,Stxbp1,C1qb,Syp,Ptprs,Nsf,Glul,Camk2b,Cplx2,Snhg11,Draxin,Atp1a2,Dnm1,Foxj1,Adgrg1,Grik2,Pou3f2
Frrs1l,Gria1,Igf1r,Gsn,Ntsr2,Gfap,Vcan,Slc38a1,Cplx1,Laptm5,Slc17a7,Pou3f2,Stxbp1,Camk2a,Ptprs,Tubb3,Msi2,Foxg1,Ntsr2,Tnf,Cldn2,Gnao1,Neurod2,Sall1
Gria1,Grin1,Vim,Nfasc,Sparcl1,Htra1,Cspg4,Clu,Slc32a1,C1qa,Nsf,Meis2,Slc17a7,Clu,Slc17a7,Eef1a2,Robo2,Sox4,Sfxn5,Slc6a12,Kl,Rapgef2,Syn1,Syne2
Stxbp1,Tiam1,Ptprb,Mog,Atp1b2,Camk2a,Nlgn2,Idh2,Grik1,Vsir,Epha6,Sox4,Frrs1l,Sfxn5,Cplx1,Sparcl1,Ntng2,Cnr1,Clu,Lhx5,Axin2,Slc38a3,Camk2b,Meis2
Prkca,Adcy1,Ptprm,Sox10,Apoe,Clu,Itpr2,Atp1a1,Syt1,Hpgds,Gria1,Sox1,Eef1a2,Sox9,Syp,Slc1a2,Ndnf,Plxna2,Apoe,Oprm1,Idh2,Gfap,Crmp1,Boc
Snhg11,Grin2a,Pecam1,Olig1,Clu,Shank1,Pdgfra,Ubc,Gad2,P2ry12,Frrs1l,Nfib,Gabbr1,Apoe,Calm1,Calm1,Diablo,Sema4g,Fgfr3,Rac3,Bmp7,Atp1a3,Stxbp1,Lrp6
Epha6,Fam163b,Gnai2,Cntn2,Slc6a11,Mbp,Sox4,Sema6d,Eef1a2,Sall1,Camk2b,Draxin,Gria1,Shank1,Eef1a2,Shank1,Gfap,Neurod1,Htra1,Ephb2,Bmp4,Cdk5r2,Nsf,Id4
Grin2a,Gria2,Sema7a,Bin1,Aldoc,Glul,Mpzl1,Fzd3,Cacna1b,P2ry13,Grin2a,Lmnb1,Prkca,Sparcl1,Nsf,Glul,Cdh4,Lrrc4b,Mbp,Gabrr1,Atp1a1,Mest,Tanc1,Foxg1
Atp1a3,Ntrk3,Lef1,Sema4d,Sfxn5,Ntsr2,Mbp,Apoe,Syp,Pld4,Ptprs,Foxg1,Ubc,Epb41l1,Cadm3,Apba1,Srgap3,Gria2,Sox9,Insm1,Syne2,Grik1,Nrp2,Chd6
Neurod6,Unc13a,Atp1a2,Efnb3,Camk2a,Atp1b2,Ptprj,Sox2,Limk1,Srgap2,Syn1,Chd7,Calm1,Cplx2,Dnm1,Dlgap1,Cacna2d1,Nlgn2,Atp1b2,Tuba4a,Igf1r,Atp1a2,Prox1,Ccnd2
Grin1,C1ql3,Ctnnb1,Olig2,Gnao1,Aldoc,Plp1,Flna,Erbb4,Itgam,Eef1a2,Mex3a,Epha4,Slc6a11,Gria1,Dnm1,Kit,Neo1,Slc1a2,Sema3g,Sox9,Rasgrp1,Cx3cl1,Plxnb1
Rasgrp1,Prox1,Glul,Unc5b,Shank1,Sfxn5,Nlgn3,Id4,Ndrg4,Ptgs1,Prkca,Fxyd6,Rasgrp1,Gnao1,Ppp3cb,Atp1a2,Shank1,Ptk2,Glul,Dlx2,Six3,Coro2b,Eef1a2,Fxyd6
Epha4,Nsf,Pdgfb,Lpar1,Pou3f3,Slc6a11,Cntn1,Aqp4,Slc6a1,C1qc,Grin1,Pax6,Grin2a,Aqp4,Cxcr4,Dnajc27,Dync1i1,Grik2,Id4,Dnm2,Ntn4,Sox2,Zfp609,Ptprs
Neurod2,Camkk1,Ccdc141,Jam3,Aqp4,Aqp4,Erbb4,Ablim1,Dnm1,Rhob,Gria2,Dlx2,Camk2b,Gfap,Grk2,Kcnq2,Camk2a,Flna,Aldh1l1,Emx1,Clu,Fgfr3,Unc5a,Draxin
Syt1,Zbtb20,Syne2,Rgs3,Gfap,Aldh1l1,Ncam1,Trp73,Kcnc1,Tgfbr1,Cadm3,Insm1,Neurod6,Shank3,Shank2,Gnas,Nhlh2,Nfib,Aqp4,Lhx2,Huwe1,Pld4,Ptpn11,Pax6
Camk2b,Gabbr2,Slc38a3,Cers2,Cxcl14,Agt,Kank1,Rgs4,Rasgrf2,Itgb2,Nr4a3,Syne2,Cntnap1,Stx1b,Sptan1,Cdkl5,Unc5b,Chd7,Slc4a4,Trpc3,Smo,Aldh1l1,Syp,Chd7
Cacna1a,Ptprj,Bmpr2,Ephb1,Grin2c,Id4,C1ql1,Zbtb20,Rab3a,Grk2,Epha4,Stmn1,Neurod2,Cnr1,Prkcb,Epb41l1,Gng7,Stmn1,Fbxo2,Gad1,Zfp609,Arhgef2,Cadm3,Slc38a2
Cadm3,Kcnd2,Gnas,Rhob,Hopx,Gnao1,Cdh20,Slc38a3,Gabra1,Efhd2,Rasgrp1,Dlx1,Syt1,Sdc4,Camkk1,Cntnap1,Epb41l1,Ttc28,Aldoc,Deaf1,Msi2,Omg,Atp1a3,Cdh2
Gria2,Tanc1,Apoe,Sox2,Fgfr3,Plxnb1,Tcf7l2,Ngef,Epb41l1,Bin1,Epha7,Ccdc88a,Grin1,Dlgap1,Mdga1,Cacnb4,Adcy1,Pou3f3,Nfix,Grin2a,Pdgfra,Nr4a1,Gria1,Sox1
Rab3a,Dlgap1,Shank3,Erbb4,Sox9,Pou3f3,Sdc3,Gnai2,Cacnb4,Itga9,Unc13a,Mbp,Cdh9,Gnai2,Rbfox3,Dlg4,Nfib,Astn1,Rgma,Syp,Gsn,Mpped1,Nlgn3,Clu
Unc13a,Stxbp6,Ablim1,Scrib,Gjb6,Cxcl14,Itga9,Plxnb1,Kcnc2,Plcg2,Grin2b,Mki67,Unc13a,Gng7,Neurod2,Sun2,Sema4g,Mex3a,Slc6a11,Chrna1,Itpr1,Atp6v1h,Sema4g,Dab1
Syn1,Grik2,Cxcl12,Cdk19,Slc6a1,Cplx2,S100b,Smo,Gabrb2,Glul,Snhg11,Nfia,Fbxw11,Llgl1,Tafa2,Atp1a3,Kcnh7,Plxna4,Prex2,Cdh4,Gnas,Slc1a2,Robo1,Sox4
Grin2b,Epha4,Plxna2,Mast3,Mfge8,Calm1,Srgap1,Rgs3,Tubb3,Gnai2,Cplx2,Top2a,Syn1,Cxcl14,Astn1,Gfap,Cd274,Zfp609,Plp1,Hras,Spop,Pou3f3,Fbxo38,Tead1
Epha7,Neurod2,Cobll1,Dlg1,Id4,Fgfr3,Ptprs,Nfia,Gabbr1,Numb,Mapk8ip3,Tead1,Ppp3r1,Fgfr3,Gabra2,Apoe,Bin1,Igf1r,Fxyd1,Unc13c,Rgs3,Itga8,Slc17a7,Sox2
Ptprs,Grin2b,Gfap,Ptpn11,Grm3,Sdc4,Ntn1,Cadm1,Grin1,Trem2,Neurod6,Sp8,Cdkl5,Adcy1,Slit3,Gnal,Ablim1,Prox1,Grk3,Dcc,Folr1,Dlx1,Sptan1,Mdm2
Gabra5,Slit3,Cd34,Acsl1,Plxnb1,Dlg4,Fxyd6,Atp1b2,Apba1,Ssh2,Calm1,Zbtb20,Mapk8ip3,Cplx1,Cacna1a,Pou3f3,Bmp7,Lrp8,Agt,Slc1a6,Apoe,Cldn2,Fam163b,Lrp8
Srgap3,Rasgrf2,Itpr3,Vamp3,Cplx2,Gjb6,Sox2,S100b,Sema6c,Pik3cd,Ubc,Igf1r,Atp6v0e,Slc4a4,Cers1,Cd99l2,Nfe2l2,Nfia,Plxnb1,Rbp1,Sun2,Etv4,Stx1a,Cdk6
