min_dist,spread,gamma,param_string,runtime,x_range,y_range,total_spread,cluster_separation,neighborhood_preservation
0.01,0.5,1.0,min_dist_0.01_spread_0.5_gamma_1.0,42.90759873390198,11.3094845,11.2553215,22.564806,2.7423109892581192,0.12380000000000045
0.01,0.5,2.0,min_dist_0.01_spread_0.5_gamma_2.0,38.13311004638672,14.655376,18.624044,33.27942,3.8911319581632458,0.12886666666666702
0.01,0.5,5.0,min_dist_0.01_spread_0.5_gamma_5.0,38.12148475646973,22.833036,27.894829,50.727867,5.857861404834288,0.1328666666666669
0.01,0.5,10.0,min_dist_0.01_spread_0.5_gamma_10.0,38.117679595947266,31.7061,35.39282,67.09892,7.938615238190562,0.12986666666666713
0.01,1.0,1.0,min_dist_0.01_spread_1.0_gamma_1.0,38.04857802391052,18.254889,19.529953,37.784843,4.8596162944185926,0.13993333333333338
0.01,1.0,2.0,min_dist_0.01_spread_1.0_gamma_2.0,38.092997789382935,23.700699,30.67595,54.376648,6.982903673348958,0.14400000000000004
0.01,1.0,5.0,min_dist_0.01_spread_1.0_gamma_5.0,37.966246604919434,37.80208,40.14919,77.95126,10.304192128380645,0.14793333333333347
0.01,1.0,10.0,min_dist_0.01_spread_1.0_gamma_10.0,38.0503363609314,45.784843,52.54346,98.32831,13.151761703378513,0.14513333333333317
0.01,1.5,1.0,min_dist_0.01_spread_1.5_gamma_1.0,38.95869326591492,24.806385,25.669773,50.47616,6.814888269461137,0.15213333333333331
0.01,1.5,2.0,min_dist_0.01_spread_1.5_gamma_2.0,38.22278928756714,33.26278,36.549953,69.81273,9.327194283160509,0.14979999999999985
0.01,1.5,5.0,min_dist_0.01_spread_1.5_gamma_5.0,38.3226854801178,46.936073,53.285423,100.2215,13.264806262607099,0.14819999999999986
0.01,1.5,10.0,min_dist_0.01_spread_1.5_gamma_10.0,38.04462957382202,57.094246,70.384796,127.47904,16.749129214503427,0.15086666666666676
0.01,2.0,1.0,min_dist_0.01_spread_2.0_gamma_1.0,38.16412138938904,30.270252,32.29412,62.564373,8.406831486653818,0.15219999999999967
0.01,2.0,2.0,min_dist_0.01_spread_2.0_gamma_2.0,37.830809116363525,40.68692,42.663467,83.35039,11.457529765773543,0.15293333333333317
0.01,2.0,5.0,min_dist_0.01_spread_2.0_gamma_5.0,37.78209328651428,53.609703,63.891594,117.5013,15.30665676494619,0.15146666666666633
0.01,2.0,10.0,min_dist_0.01_spread_2.0_gamma_10.0,42.03105020523071,68.55893,82.89578,151.45471,17.998616144765798,0.15519999999999987
0.1,0.5,1.0,min_dist_0.1_spread_0.5_gamma_1.0,37.66528010368347,10.239613,10.70606,20.945673,2.478563802675775,0.1274666666666669
0.1,0.5,2.0,min_dist_0.1_spread_0.5_gamma_2.0,38.26489043235779,13.844067,14.112909,27.956976,3.493752103590418,0.13320000000000018
0.1,0.5,5.0,min_dist_0.1_spread_0.5_gamma_5.0,39.8723783493042,18.794182,24.126333,42.920517,5.265134831794005,0.13286666666666694
0.1,0.5,10.0,min_dist_0.1_spread_0.5_gamma_10.0,38.06249737739563,28.36934,29.938562,58.307903,7.409733826655667,0.13620000000000024
0.1,1.0,1.0,min_dist_0.1_spread_1.0_gamma_1.0,37.68631863594055,17.876472,19.012634,36.889107,4.7569142705385214,0.13959999999999995
0.1,1.0,2.0,min_dist_0.1_spread_1.0_gamma_2.0,37.68299341201782,24.631783,26.483328,51.115112,6.5598677718823275,0.14466666666666686
0.1,1.0,5.0,min_dist_0.1_spread_1.0_gamma_5.0,38.57201409339905,35.123394,39.960876,75.084274,9.83557440354529,0.1529999999999998
0.1,1.0,10.0,min_dist_0.1_spread_1.0_gamma_10.0,37.95178031921387,44.68203,53.123497,97.80553,12.786175466908098,0.15113333333333315
0.1,1.5,1.0,min_dist_0.1_spread_1.5_gamma_1.0,38.19195485115051,25.368961,26.314493,51.683456,6.71722902300749,0.13866666666666685
0.1,1.5,2.0,min_dist_0.1_spread_1.5_gamma_2.0,38.32499670982361,33.57692,35.577637,69.15456,9.06290192947377,0.14746666666666652
0.1,1.5,5.0,min_dist_0.1_spread_1.5_gamma_5.0,38.457144260406494,45.78672,53.13939,98.92611,12.912454962928049,0.15380000000000013
0.1,1.5,10.0,min_dist_0.1_spread_1.5_gamma_10.0,38.18384385108948,58.26101,66.85692,125.11793,15.877939952034279,0.15686666666666668
0.1,2.0,1.0,min_dist_0.1_spread_2.0_gamma_1.0,38.47804021835327,31.261173,31.54852,62.809692,8.504889749331962,0.14173333333333332
0.1,2.0,2.0,min_dist_0.1_spread_2.0_gamma_2.0,37.88534688949585,40.861355,40.14957,81.010925,11.436098505430367,0.14753333333333346
0.1,2.0,5.0,min_dist_0.1_spread_2.0_gamma_5.0,38.304155111312866,53.29039,60.03502,113.32541,15.413024373241152,0.15673333333333314
0.1,2.0,10.0,min_dist_0.1_spread_2.0_gamma_10.0,37.845398902893066,70.15596,78.66089,148.81685,18.68634967106486,0.15213333333333337
0.3,0.5,1.0,min_dist_0.3_spread_0.5_gamma_1.0,37.86703395843506,11.035851,11.593023,22.628874,2.6044760660325537,0.12193333333333364
0.3,0.5,2.0,min_dist_0.3_spread_0.5_gamma_2.0,37.79827666282654,14.229936,15.016977,29.246914,3.3401289055054586,0.12633333333333374
0.3,0.5,5.0,min_dist_0.3_spread_0.5_gamma_5.0,37.749794721603394,18.867004,20.07163,38.938637,4.531177583165997,0.12960000000000033
0.3,0.5,10.0,min_dist_0.3_spread_0.5_gamma_10.0,39.33595299720764,22.700686,24.169771,46.870457,5.815705029993533,0.12720000000000012
0.3,1.0,1.0,min_dist_0.3_spread_1.0_gamma_1.0,38.8719801902771,19.529764,19.98388,39.51364,4.732347146854112,0.1293333333333335
0.3,1.0,2.0,min_dist_0.3_spread_1.0_gamma_2.0,37.707865715026855,25.77429,26.129564,51.903854,6.228358375511305,0.1324666666666668
0.3,1.0,5.0,min_dist_0.3_spread_1.0_gamma_5.0,38.25402545928955,34.628036,38.12274,72.75078,9.19860036851651,0.14199999999999996
0.3,1.0,10.0,min_dist_0.3_spread_1.0_gamma_10.0,39.318437337875366,41.923237,46.08436,88.0076,11.909770975838349,0.14653333333333335
