4,14,3,18,21,5,7,16,2,9,11,6,17,0.6,13,19,22,1,23,10,0.2,0.9
Gria2,Pax6,Sparcl1,Clic6,Trp73,Erbb4,Neurod2,Apoe,Nr4a3,Neurod1,Top2a,Hopx,Neurog2,Epha4,Npy2r,Fgfr1,Emx2,Nfia,Pdlim4,Olig2,Gria2,Insm1
Neurod2,Vim,Cdh5,Igfbp2,Cacna2d2,Gria1,Gria2,Csf1r,Slit3,Plxna4,Mki67,Dio2,Cdh2,Flna,Gria1,Nlgn2,Foxg1,Jun,Ttc28,Olig1,Cntn2,Tubb3
Neurod6,Sox9,Lamb1,Cdh3,Bin1,Lhx6,Sox11,Laptm5,Gria2,Sox11,Vim,Zbtb20,Cul1,Cntn2,Nxph1,Bin1,Igf1r,Ptch1,Zfp609,Gpr17,Nrp1,Cacna1c
Cntn2,Ccdc80,Apcdd1,Foxj1,Reln,Grik3,Neurod6,C1qa,Crmp1,Cnr1,Cenpf,Limk1,Nfia,Dsp,Syt1,Nfia,Scrib,Ccdc80,Sema6d,Cntn1,Tubb3,Cadm3
Sox11,Htra1,Col3a1,Bmp7,Nhlh2,Cux2,Cntn2,C1qb,Camk2b,Zbtb20,Pou3f3,Ephb1,Mpzl1,Boc,Erbb4,Zbtb20,Plxnb1,Ptprs,Epha4,Cspg4,Ssh2,Nipbl
Tubb3,Pou3f3,Atp1a2,Itpr1,Lhx5,Atp1a3,Foxg1,Cx3cr1,Stxbp1,Ptprs,Lmnb1,Nfia,Gabbr1,Ubc,Atp1a3,Atp1a3,Mdh2,Ubc,Huwe1,Kcnd2,Grik2,Gabbr1
Nfasc,Rgma,Pdgfra,Mest,Cdh4,Slc32a1,Robo1,Pld4,Robo1,Nfasc,Syne2,Draxin,Cxcr4,Nfib,Ncam1,Prox1,Ncam1,Flna,Draxin,Mki67,Nlgn2,Fgf12
Cnr1,Sox2,Cldn5,Clu,Nfasc,Nxph1,Crmp1,Mrc1,Epha6,Epha4,Cenpe,Sema4g,Prox1,Ntrk3,Grik3,Gria2,Epha4,Nr4a2,Sox11,Sox2,Tbr1,Mpz
Crmp1,Gli3,Gnai2,Sox9,Ccnd2,Epb41l1,Sox4,Hpgds,Nrp1,Slc1a2,Pax6,Fabp7,Depdc5,Epha5,Slc32a1,Epha4,Pou3f3,Vamp3,Flna,Sox10,Sox4,Ubc
Atp1a3,Mki67,Ubc,Gnas,Lhx1,Ncam1,Atp1a3,Ptprj,Atp1a3,Nfia,Zfp609,Mki67,Mex3a,Gria2,Lhx6,Kcnh7,Rtn4,Crkl,Hras,Nr4a1,Stmn2,Dlx2
