0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Cadm1,Snhg11,Atp1a3,Sox1,Meis2,Mpped1,Neurod2,Vim,Cldn5,Tubb3,Nrp2,Olig2,Col3a1,Mpped1,Tcf7l2,Clic6,Nfib,Pou3f3,Nkx2-1,Csf1r,Trp73,Pou3f2
Gria1,Atp1a3,Mog,Epha4,Robo2,Neurod2,Pou3f3,Sox9,Sparcl1,Gng10,Btg1,Olig1,Atp1a2,Cux2,Pou3f2,Igfbp2,Nfix,Mki67,Atp1a3,Laptm5,Reln,Bin1
Snhg11,Dnm1,Slc6a2,Sox11,Bcl11b,Satb2,Pou3f2,Rgma,Apcdd1,Pou3f3,Gria2,Slc6a11,Vim,Neurod2,Rspo3,Foxj1,Cntn2,Pax6,Lhx6,C1qb,Cacna2d2,Cadm3
Gad2,Stxbp1,Tac2,Zbtb20,Syt6,Neurod6,Neurod6,Ptch1,Cdh5,Gnao1,Cacna2d1,Pdgfra,Pdgfra,Tbr1,Slc1a2,Bmp7,Zbtb20,Vim,Camk2d,Apoe,Bin1,Tcf7l2
Atp1a3,Cacna1b,Spi1,Dlx2,Robo1,Gria2,Satb2,Mfge8,Pecam1,Llgl1,Tbr1,Ptprz1,Cdh5,Gria1,Nfib,Cdh3,Dcc,Sall1,Cdh4,Cx3cr1,Ccnd2,Cadm1
Efnb3,Syp,Itgb7,Pou3f3,Ephb1,Dync1i1,Plxna4,Sox2,Sema6d,Cadm3,Mdga1,Sall3,Bmp7,Epb41l1,Gbx2,Clu,Neurod6,Gli3,Ntn1,C1qa,Nfasc,Stxbp1
Fxyd6,Grin1,Cldn16,Sox4,Ngef,Cnr1,Meis2,Atp1a2,Vim,Cdk6,Rasgrp1,Kcnd2,Igfbp2,Grin2b,Slc17a6,Itpr1,Nfia,Epha4,Robo2,Pld4,Nhlh2,Stmn1
Plxna1,Eef1a2,Cldn7,Sox2,Srgap1,Cntn2,Cntn2,Fabp7,Ptprm,Pax2,Mest,Cspg4,Gnas,Erbb4,Ncam1,Sox9,Neurod2,Top2a,Gabrb2,Hpgds,Lhx5,Mex3a
Gad1,Grik1,Pdcd1lg2,Plxna2,Epha4,Foxg1,Gria2,Slc6a11,Gnai2,Creb1,Efnb3,Sox9,Lamb1,Dlgap1,Tubb3,Ccnd2,Igfbpl1,Nfib,Adcy2,Mrc1,Ndnf,Efnb3
Slc32a1,Epb41l1,Cdh15,Sp9,Gnal,Tbr1,Sox11,Plxnb1,Pdgfb,Lhx1,Eomes,Ptch1,Sparcl1,Epha7,Sox4,Idh2,Fgfr1,Cenpf,Slitrk1,C1qc,Msi2,Plxna4
