cluster1,cluster2,distance,sample_count
12.0,16.0,0.07958658586138945,2.0
0.0,2.0,0.09713850024929283,2.0
6.0,24.0,0.1094389576952045,3.0
11.0,14.0,0.12179546479773973,2.0
9.0,10.0,0.12617764286736244,2.0
1.0,27.0,0.12902348180142648,3.0
5.0,8.0,0.14657698437887667,2.0
4.0,13.0,0.22296063741737437,2.0
18.0,19.0,0.22492414285684836,2.0
15.0,23.0,0.257508860229999,3.0
26.0,28.0,0.26794750151015045,5.0
3.0,30.0,0.2697516411195638,3.0
21.0,32.0,0.2885618429259404,4.0
7.0,35.0,0.3413761011663948,5.0
20.0,31.0,0.3558048243434171,3.0
17.0,22.0,0.3980892263654169,2.0
25.0,29.0,0.4391350805418136,5.0
33.0,34.0,0.4554206813912725,8.0
36.0,40.0,0.6831877207770022,13.0
39.0,41.0,0.7891120491098639,18.0
37.0,38.0,0.9397321546901716,5.0
42.0,43.0,1.413706935949047,23.0
