2,1,3,9,6,10,11,5,0.0,20,0.1,19,13,16,17,22,18,8,0.5,7,0.7,21,0.4,0.8,23,0.6,0.3,0.2,12,0.9,0.10,4,15,14
Gria1,Sparcl1,Cdh5,Neurod1,Hopx,Olig2,Nfib,Atp1a3,Ubc,Ccdc153,Ubc,Fgfr1,Npy2r,Laptm5,Neurog2,Emx2,Clic6,Gria1,Gria1,Bhlhe22,Bcl6,Reln,Nrp1,Prox1,Pdlim4,Nfib,Zbtb20,Gria2,Mbp,Insm1,Dcc,Nfib,Psen2,Neurog2
Epha6,Slc1a2,Apcdd1,Zbtb20,Sparcl1,Pdgfra,Chd7,Snhg11,Atp1a3,Slc38a1,Atp1a3,Zbtb20,Gria1,Csf1r,Cxcr4,Nfib,Cdh3,Dsp,Atp1a3,Stxbp1,Gria1,Ndnf,Ubc,Zbtb20,Atp1a2,Zbtb20,Pax3,Nrp1,Tcf7l2,Stxbp1,Stxbp1,Ptprs,Dlgap1,Jam3
Grin2a,Atp1a2,Cldn5,Nfib,Dio2,Sox10,Ccnd2,Dnm1,Calm1,Foxj1,Prkca,Sox11,Dnm1,C1qb,Epha4,Slc1a2,Cldn2,Ptprj,Grin2a,Frrs1l,Cck,Snhg11,Epha4,Epha4,Sparcl1,Igfbpl1,Cldn8,Zbtb20,Plp1,Fbxo45,Nectin3,Epha4,Igf1r,Gabra4
Atp1a3,Fabp7,Sparcl1,Prox1,Slc1a2,Gpr17,Ptprs,Stxbp1,Stxbp1,Vim,Stxbp1,Gria2,Atp1a3,P2ry12,Crmp1,Fabp7,Atp1a1,Grin1,Gria2,Crmp1,Grin2a,Nhlh2,Gria1,Nfib,Gfap,Ptprs,Drd1,Sox11,Ptprj,Tead1,Epb41l1,Vcan,Ptprz1,Sall1
Neurod6,Aqp4,Ptprm,Epha4,Atp1a2,Cntn1,Meis2,Grik1,Stmn2,Sox9,Crmp1,Prox1,Grin2a,Hpgds,Zbtb20,Nfia,Syne2,Prox1,Hcn1,Atp1a3,Hcn1,Cacna2d1,Zbtb20,Gria2,Msi2,Epha4,Nfib,Sox4,Nfasc,Nfib,Atp1a3,Neurod1,Evx1,Ptprs
Epha7,Htra1,Vim,Sox11,Grm3,Nlgn2,Top2a,Erbb4,Gap43,Idh2,Calm1,Epha4,Neurod6,Pld4,Gria2,Grm3,Igfbp2,Plxna4,Grik2,Neurod2,Atp1a3,Trp73,Stxbp1,Plxna4,Vim,Sox11,Gosr1,Mex3a,Gpr17,Unc13a,Ubc,Sox11,Cplx3,Sox11
Nr4a3,Grm3,Atp1a2,Gria2,Fabp7,Chd7,Mki67,Gria1,Sst,Atp1a1,Neurod6,Neurod1,Snhg11,Cx3cr1,Nfib,Gabbr1,Clu,Epha7,Ubc,Gria1,Kcnd2,Gfap,Crmp1,Sox11,Ptprz1,Plcb1,Lpar1,Neurod2,Mag,Epha4,Chd6,Dcc,Adcy4,Olig2
Crmp1,Gfap,Lef1,Plxna4,Aqp4,Erbb4,Cenpf,Gad1,Pak3,Fzd3,Dnm1,Nfib,Stxbp1,Sall1,Ptprs,Atp1a2,Itpr1,Nsf,Grin1,Sptan1,Ppp3cb,Bin1,Grik2,Plxna2,Slc1a2,Nfix,Itgal,Nfix,Sox10,Sox11,Cnr1,Mdga1,Unc5c,Ccnd2
Gria2,Apoe,Lamb1,Ptprs,Gabbr1,Cspg4,Sox4,Syt1,Tuba1a,Sox2,Stmn2,Plxna2,Prkca,Ptprj,Gnao1,Zbtb20,Dsp,Epha4,Trpc4,Stmn2,Grik2,Rgs4,Nrp2,Gria1,Gnao1,Chd7,Cycs,Foxg1,Mpzl1,Epha7,Arhgef9,Igfbpl1,Cd86,Syne2
Dnm1,Glul,Pecam1,Plxna2,Htra1,Kcnip3,Sox11,Cacnb4,Trem2,Id4,Rab3a,Nfia,Ppp3cb,P2ry13,Cplx2,Ptprs,Bmp7,Camk2b,Cntn4,Nrp1,Calm1,Robo2,Atp1a3,Sema5a,Aqp4,Pou3f2,Mcm2,Lrp8,Grik3,Ptprs,Sdc3,Nfix,Gal,Cdh2
Grik2,Ptprz1,Mpzl1,Nfia,Ptprz1,Sdc3,Syne2,Cadm1,Evx1,Msi2,Frrs1l,Plxna4,Epha6,C1qa,Neurod1,Htra1,Idh2,Dnm1,Stmn2,Gria2,Stxbp1,Cxcl12,Robo1,Stxbp1,Pax6,Vcan,Pard3,Nfib,Cldn11,Dyrk1a,Stmn2,Draxin,Cldn3,Ptprj
Snhg11,Sox9,Gnai2,Gria1,Gfap,Olig1,Draxin,Cux2,Mboat7,Rgs4,Nsf,Nrp1,Stmn2,Mrc1,Stxbp1,Gnao1,Gnas,Gabra5,Ppp3cb,Ubc,Neurod2,Cdh4,Dnm1,Nfia,Apoe,Mdga1,Il1r1,Trak2,Itpr2,Mex3a,Cplx2,Nfia,Sdc4,Pou3f3
