11,9,2,1,8,5,6,14,17,12,19,4,3,18,0,20,16,10,15,7,13
Cadm1,Pou3f3,Sox2,Gad2,Lrp8,Nxph1,Grik3,Gfap,March6,Slc1a2,Clu,Dync1i1,Cntn4,Apcdd1,Kcnj3,Atp1a3,Itgb1,Gnb1,Sptan1,Igf1r,Cadm1
Robo1,Mki67,Atp1b2,Atp6v1f,Ccdc141,C1ql1,Cacnb4,Itgam,Gsn,Stxbp1,Idh2,Dnm1,Nlgn2,Arhgef12,Grin2a,Dnm1,Mpzl1,Gnas,Unc13a,Snhg11,Bin1
Nsf,Mex3a,Pax6,Pvalb,Itgb1,Grik3,Stx1b,Gnai2,Apoe,Eef1a2,Cd274,Pak3,Cntn1,Rgs3,Calm1,Pdlim4,Neo1,Srgap1,Nrxn3,Tnf,Gnai1
Grin2b,Top2a,Hes5,Hmgb2,Lamb1,Pou3f3,Stmn2,Efhd2,Flna,Ubc,Cxcl12,Flna,Grin1,Cldn5,Gng4,Slitrk5,Chd6,Cd99l2,Chl1,Grin3b,Rgs4
Neurod2,Igfbpl1,Slc1a3,Cd80,Sema6d,Sox2,Trpc4,Ptprc,Wnt4,Crmp1,Nhlh2,Cadm1,Gria1,Trpc3,Sqstm1,Gnb2,Cux2,Gng4,Kcnj3,Gng5,Ubc
Nectin3,Cenpf,Gnao1,Shh,Arhgef12,Bmp7,Grin1,C1qc,Gjb6,Gng2,Cacna2d1,Atp6v0a1,Rapgef2,Pten,Stxbp1,Trpc3,Rac1,Stx1b,Unc13c,Srgap2,Syp
Sptan1,Ccnd2,Kcnip3,Pak7,Kcnj2,Sall3,Syt1,Gpr183,Ubc,Fabp7,Sox2,Rab3a,Syp,Ntn1,Rgs4,Itgb8,Olig1,Lef1,Cux2,Pard3,Robo1
Grik2,Pax6,Tnfrsf19,Chrm2,Cobll1,Atp1a2,Cadm1,Ptgs1,Tet2,Prkca,Chd7,Gnb1,Gabrb2,Sdc2,Gng2,Gng10,Bmp4,Chrna4,Gfap,Pak3,Epb41l1
Ppp3cb,Cdh2,Ccnd2,Thrsp,Atp1a2,Vcan,Gng2,Cd86,Igfbp2,Vamp2,Snhg11,Gng4,Astn1,Idh2,Srgap3,Plxna4,Gng4,Tnfrsf19,Gng4,P2ry13,Stxbp1
Srgap3,Lmnb1,Nfib,Pde2a,Sptan1,Gria2,Epb41l1,Fabp7,Gnas,Ppp3cb,Robo2,Frrs1l,Syn1,Ubc,Sptan1,Sdc2,Atp6v0a2,Map2,Gng3,Dab2ip,Gria2
Kcnd2,Foxg1,Sfxn5,Bcl2l11,Itga4,Ntn1,Tubb3,Glul,Pdgfrb,Dpysl2,Fat3,Neurod2,Srgap1,Vim,Gnao1,Casp3,Cers1,Ndrg4,Pdgfra,Rgs10,Plxnc1
Gnai1,Neo1,Nfia,Pard3,Flna,Itpr2,Pak3,Aif1,Sall1,Kcnq3,Kcnh7,Bin1,Unc13a,Cdh5,Sema7a,Syp,Ptk2,Nrn1,Slc1a7,Drd1,Cul1
Trpc4,Igf1r,Rgma,Itgav,Ctnnb1,Astn1,Rab3a,Atp1a2,Syne2,Syt1,Nfia,Adcy2,Eef1a2,Trpc6,Nrcam,Nrxn3,Gnal,Sqstm1,Alg13,Rgs16,Crmp1
Frrs1l,Lrp8,Ptprm,Cycs,Rhob,Omg,Srgap1,Camk2a,Vcan,Gng3,Ablim1,Unc13b,Ppp3cb,Acsl1,Gls,Nlgn2,Huwe1,Slc35f1,Ngfr,Synpr,Grin3a
