11,9,2,1,8,5,6,14,17,12,19,4,3,18,0,20,16,10,15,7,13
Gria1,Nfib,Sparcl1,Ubc,Cldn5,Pdgfra,Snhg11,Laptm5,Atp1a2,Calm1,Slc38a1,Atp1a3,Snhg11,Atp1a2,Trpc4,Cldn2,Plp1,Atp1a3,Dnm1,Gria1,Tcf7l2
Grin2a,Zbtb20,Atp1a2,Atp1a3,Cdh5,Olig2,Atp1a3,Csf1r,Sparcl1,Map2,Rgs4,Stxbp1,Atp1a3,Pdgfrb,Gria2,Ubc,Mbp,Ubc,Ubc,Astn1,Atp1a3
Atp1a3,Sox11,Slc1a2,Stxbp1,Apcdd1,Sox10,Grik1,C1qb,Bmp7,Cplx2,Foxj1,Nrcam,Stxbp1,Sema6d,Atp1a3,Dsp,Nfasc,Tcf7l2,Epb41l1,Bcl11b,Snhg11
Neurod6,Ptprs,Fabp7,Calm1,Sparcl1,Cntn1,Erbb4,Hpgds,Cdh5,Camk2a,Ccdc153,Srgap1,Dnm1,Cobll1,Dnm1,Atp1a1,Sox10,Rab3a,Stmn2,Gnal,Cntnap1
Dnm1,Nfia,Grm3,Crmp1,Ptprm,Gpr17,Gria1,P2ry12,Vim,Atp1a3,Msi2,Grik3,Cadm1,Rgs4,Snhg11,Stx1b,Ptprj,Epb41l1,Stxbp1,Plxna2,Cntn4
Gria2,Prox1,Gfap,Rab3a,Vim,Sdc3,Dnm1,Cx3cr1,Cxcl12,Stmn2,Vim,Snhg11,Nsf,Lamb1,Ppp3cb,Foxj1,Gpr17,Calm1,Pax2,Cers1,Srgap1
Epha6,Chd7,Htra1,Stmn2,Lef1,Nlgn2,Stxbp1,Sall1,Col3a1,Mapk8ip3,Id4,Nr4a2,Limk1,Sparcl1,Tubb3,S100b,Gfap,Crmp1,Elavl2,Gabrb3,Pak3
Crmp1,Neurod1,Ptprz1,Gng4,Pecam1,Cspg4,Gad1,Pld4,Axin2,Epb41l1,Gfap,Gria2,Stmn2,Unc5b,Gnai1,Slc38a1,Itpr2,Stmn2,Plcb1,Mast3,Ptprj
Nrp1,Epha4,Aqp4,Six3,Gnai2,Kcnip3,Cux2,Grk2,Pdgfra,Sptan1,Ndnf,Cntn1,Cntnap1,Itgb1,Ncam1,Axin2,Tcf7l2,Syt1,Vamp2,Prkca,Kcnd2
Stxbp1,Sox4,Slc6a11,Tafa2,Igf1r,Olig1,Nxph1,Mrc1,Apcdd1,Ctnnb1,Reln,Tubb3,Stx1b,Efhd2,Bin1,Clic6,Mag,Limk1,Cd8a,Plxna1,Grik2
