time_point,total_genes,significant_genes,upregulated,downregulated,pct_significant
p7,960,34,0,34,3.5416666666666665
p30,960,583,583,0,60.729166666666664
p0,960,197,19,178,20.520833333333332
e16,960,154,24,130,16.041666666666668
