names,scores,logfoldchanges,pvals,pvals_adj,time_point,abs_logfoldchanges,-log10_pvals_adj,significant,regulation
Gnao1,41.89261,2.0575335,0.0,0.0,p30,2.0575335,300.0,True,upregulated
Shank1,40.47947,2.4362288,0.0,0.0,p30,2.4362288,300.0,True,upregulated
Camk2a,37.64937,1.8661422,3.3505208292579e-310,1.0721666653625313e-307,p30,1.8661422,299.9999999534364,True,upregulated
Nfix,37.284176,2.1285071,2.9622711874029285e-304,7.109450849767028e-302,p30,2.1285071,299.97017220731175,True,upregulated
Dpysl2,37.087795,1.9687331,4.419523034505694e-301,8.485484226250933e-299,p30,1.9687331,298.0662352053536,True,upregulated
Epb41l1,36.211716,1.679078,3.981904671640427e-287,6.371047474624683e-285,p30,1.679078,284.19578915870846,True,upregulated
Glg1,35.61878,2.1946025,7.174650218008583e-278,9.839520298983198e-276,p30,2.1946025,275.0070260739856,True,upregulated
Src,35.566654,2.0718455,4.593336861728648e-277,5.512004234074378e-275,p30,2.0718455,274.25869045749477,True,upregulated
Eef1a2,34.750725,1.7946126,1.3515572257331903e-264,1.4416610407820696e-262,p30,1.7946126,261.8411368376902,True,upregulated
Kcnq2,34.271675,2.9757562,2.0742582275019887e-257,1.9912878984019093e-255,p30,2.9757562,254.70086594557364,True,upregulated
Cplx2,33.64044,1.5545421,4.302067696714603e-248,3.7545318080418357e-246,p30,1.5545421,245.42544421201833,True,upregulated
Sfxn5,33.619118,1.8887155,8.818347549726273e-248,7.054678039781018e-246,p30,1.8887155,245.15152280171645,True,upregulated
Atp6v0e2,33.316242,2.3854377,2.2466648266081653e-243,1.6590755642644913e-241,p30,2.3854377,240.78013383314638,True,upregulated
Mast3,32.355156,1.8258716,1.173962199333848e-229,8.050026509717815e-228,p30,1.8258716,227.09420268944515,True,upregulated
Gnb1,31.72805,1.6610388,6.377102017817094e-221,4.070303329942192e-219,p30,1.6610388,218.3903732247769,True,upregulated
Syp,31.726105,1.7103009,6.783838883236987e-221,4.070303329942192e-219,p30,1.7103009,218.3903732247769,True,upregulated
Cplx1,31.45682,2.2838392,3.386549327408118e-217,1.9124043260657606e-215,p30,2.2838392,214.71842028255398,True,upregulated
Ctnnb1,31.403318,1.7274798,1.822967928471457e-216,9.722495618514437e-215,p30,1.7274798,214.01222224389718,True,upregulated
Shank3,30.829788,2.2467835,1.0454457847368085e-208,5.282252386038611e-207,p30,2.2467835,206.2771808520414,True,upregulated
Prickle2,30.701635,1.6388731,5.412601951576098e-207,2.5980489367565274e-205,p30,1.6388731,204.58535267283068,True,upregulated
Nfasc,30.479649,1.6748052,4.849738682051855e-204,2.2170233975094197e-202,p30,1.6748052,201.65422972350456,True,upregulated
Cadm3,30.435642,2.5780103,1.855414868192266e-203,8.096355788475343e-202,p30,2.5780103,201.09171041532932,True,upregulated
Slc17a7,30.22326,1.8261625,1.1721069415450039e-200,4.892272451666103e-199,p30,1.8261625,198.31048936501261,True,upregulated
Adcy1,29.998268,1.6906472,1.0337322386869896e-197,4.134928954747958e-196,p30,1.6906472,195.38353194797986,True,upregulated
Ptprs,28.413483,1.220954,1.3780287306365292e-177,5.291630325644272e-176,p30,1.220954,175.2764105033244,True,upregulated
Rhob,27.647747,1.3753786,2.970432343820883e-168,1.0967750192569413e-166,p30,1.3753786,165.95988244983272,True,upregulated
Spop,27.569004,1.6090784,2.6193934314847e-167,9.313398867501156e-166,p30,1.6090784,165.03089179699725,True,upregulated
Efhd2,27.28289,1.7674768,6.7700849268319964e-164,2.321171974913827e-162,p30,1.7674768,161.63429268160817,True,upregulated
Ap2a1,26.836296,1.7941899,1.2190966655646032e-158,4.0356303411793756e-157,p30,1.7941899,156.39408862145854,True,upregulated
Pou3f3,26.803356,1.1906716,2.9529271289044394e-158,9.449366812494206e-157,p30,1.1906716,156.0245972919196,True,upregulated
Apoe,26.62928,1.3394457,3.110480251043521e-156,9.632454970973483e-155,p30,1.3394457,154.01626301251517,True,upregulated
Gnai2,26.508532,1.4796233,7.728497197203235e-155,2.3185491591609705e-153,p30,1.4796233,152.63478369151886,True,upregulated
Ap2b1,26.475454,1.9375875,1.858654361456451e-154,5.406994506055129e-153,p30,1.9375875,152.26704407170257,True,upregulated
Lrrc4b,26.327738,1.5891198,9.233050060738431e-153,2.6069788406790863e-151,p30,1.5891198,150.5838624937314,True,upregulated
Atp1a3,26.103912,1.0491972,3.2913465566511025e-150,9.027693412528738e-149,p30,1.0491972,148.04442319832134,True,upregulated
Atp1b2,26.057644,1.5992587,1.1020607049030675e-149,2.9388285464081802e-148,p30,1.5992587,147.53182575027338,True,upregulated
Atp6v1a,25.992086,1.8491344,6.08505744514754e-149,1.57882571549774e-147,p30,1.8491344,146.8016658085447,True,upregulated
Mbp,25.983704,1.036934,7.568739455870169e-149,1.912102599377727e-147,p30,1.036934,146.71848880811217,True,upregulated
Gnas,25.795998,1.2600774,9.833249730793581e-147,2.420492241426112e-145,p30,1.2600774,144.61609630509548,True,upregulated
Igf1r,25.740053,1.2223892,4.16579099643819e-146,9.997898391451656e-145,p30,1.2223892,144.0000912812918,True,upregulated
Unc13a,25.633043,1.4030418,6.535194945752209e-145,1.5301919872980782e-143,p30,1.4030418,142.81525407650705,True,upregulated
Apba1,24.753462,1.6453335,2.845355723344534e-135,6.503670224787506e-134,p30,1.6453335,133.18684148819906,True,upregulated
Atp1a2,24.255188,1.084719,5.8292093255343564e-130,1.3014048726774376e-128,p30,1.084719,127.88558757152796,True,upregulated
Fbxo31,24.226164,1.6981858,1.1794712216457811e-129,2.573391756318068e-128,p30,1.6981858,127.58949409460729,True,upregulated
Vamp2,24.20394,1.4003787,2.0220579040250296e-129,4.31372352858673e-128,p30,1.4003787,127.36514769276542,True,upregulated
Huwe1,23.966246,1.0118681,6.25691833753239e-127,1.3057916530502377e-125,p30,1.0118681,124.8841261118426,True,upregulated
Cx3cl1,23.911356,1.6550925,2.3334357173536064e-126,4.766166571615877e-125,p30,1.6550925,124.32183078367032,True,upregulated
Camk2b,23.823597,1.2525543,1.9021939451236808e-125,3.804387890247361e-124,p30,1.2525543,123.41971520939872,True,upregulated
Mapk8ip3,23.800465,1.0774515,3.303034727859611e-125,6.471251711724952e-124,p30,1.0774515,123.18901170713389,True,upregulated
Ndrg4,23.69903,2.1676013,3.689732995080913e-124,7.084287350555352e-123,p30,2.1676013,122.14970383141342,True,upregulated
Sema7a,23.44316,1.3074772,1.552368223601554e-121,2.9221048914852783e-120,p30,1.3074772,119.53430419874545,True,upregulated
Arhgef12,23.409649,1.1282008,3.4082460890684326e-121,6.29214662597249e-120,p30,1.1282008,119.20120116556102,True,upregulated
Gng7,23.33732,1.1550314,1.853873088718562e-120,3.3579588022072063e-119,p30,1.1550314,118.47392463639447,True,upregulated
Ptpn11,23.009853,1.1154892,3.714351284033432e-117,6.60329117161499e-116,p30,1.1154892,115.18023955212308,True,upregulated
Cacna1a,22.832148,1.4558767,2.1988229234865086e-115,3.8379454664491786e-114,p30,1.4558767,113.41590120046779,True,upregulated
Srgap3,22.619993,0.987056,2.755211578408149e-113,4.723219848699684e-112,p30,0.987056,111.32576183912477,True,upregulated
Coro2b,22.551563,1.847115,1.2962373196603113e-112,2.1831365383752613e-111,p30,1.847115,110.66091910166668,True,upregulated
Atp1a1,22.40106,1.1704226,3.843291114315957e-111,6.361309430591929e-110,p30,1.1704226,109.1964534786995,True,upregulated
Nlgn2,22.23789,0.9337319,1.4773880404201718e-109,2.4038856250904492e-108,p30,0.9337319,107.61908619955355,True,upregulated
Plxnb1,22.1958,1.8656528,3.770736444148153e-109,6.033178310637045e-108,p30,1.8656528,107.21945383891675,True,upregulated
Clu,22.1005,1.2365229,3.125893727156469e-108,4.919439308311821e-107,p30,1.2365229,106.30808439300142,True,upregulated
Glul,21.935907,1.0594375,1.1805840097896566e-106,1.8280010474162423e-105,p30,1.0594375,104.73802355975812,True,upregulated
Shank2,21.827991,2.436619,1.2582714649834432e-105,1.9173660418795323e-104,p30,2.436619,103.71729496860702,True,upregulated
Sdc3,21.699009,1.4660308,2.0963017236832116e-104,3.1444525855248175e-103,p30,1.4660308,102.50245494951237,True,upregulated
Zfp609,21.633677,1.021654,8.659832115536181e-104,1.2789905893714976e-102,p30,1.021654,101.89313265098582,True,upregulated
Grk3,21.347204,1.8675226,4.1397288493675464e-101,6.021423780898249e-100,p30,1.8675226,99.2203008065698,True,upregulated
Slc6a11,21.205778,1.4294713,8.446375538216249e-100,1.210226942789194e-98,p30,1.4294713,97.91713318277492,True,upregulated
Nsf,20.815052,1.066372,3.1620271369620536e-96,4.4640383110052524e-95,p30,1.066372,94.35027208687809,True,upregulated
Grk2,20.523447,0.8694259,1.329452863415575e-93,1.8496735490999306e-92,p30,0.8694259,91.73290491394016,True,upregulated
Lrp1,20.496113,1.6689534,2.331958471415059e-93,3.198114475083509e-92,p30,1.6689534,91.49510599493397,True,upregulated
Syn1,20.357538,1.134784,3.9809686081883614e-92,5.38271811811384e-91,p30,1.134784,90.26899836269835,True,upregulated
Slc1a2,19.80848,0.8634903,2.51571842303364e-87,3.35429123071152e-86,p30,0.8634903,85.47439923320277,True,upregulated
Plxna1,19.594252,1.7604917,1.7311205523916297e-85,2.276542096295842e-84,p30,1.7604917,83.64272431459807,True,upregulated
Camk2g,19.58794,1.354839,1.9595879700540428e-85,2.542168177367407e-84,p30,1.354839,83.5947957220406,True,upregulated
March6,19.38421,0.92888355,1.049015799013651e-83,1.3427402227374733e-82,p30,0.92888355,81.87200800128844,True,upregulated
Gabbr1,19.310244,0.7663632,4.4048497186709266e-83,5.564020697268539e-82,p30,0.7663632,81.25461126317086,True,upregulated
Bin1,19.295584,0.83470833,5.850153603826157e-83,7.293697999575468e-82,p30,0.83470833,81.1370522229023,True,upregulated
Tubb3,19.24419,2.2556474,1.5791165728225052e-82,1.9435280896276987e-81,p30,2.2556474,80.71140917817027,True,upregulated
Akt2,19.121386,2.1514401,1.6759763656298408e-81,2.036629507600819e-80,p30,2.1514401,79.69108796826981,True,upregulated
Slc6a1,19.02378,1.7101381,1.0838020913502184e-80,1.3005625096202621e-79,p30,1.7101381,78.88586876924225,True,upregulated
Atp6v0a1,18.980476,0.9501291,2.4734579751365813e-80,2.931505748310022e-79,p30,0.9501291,78.5329092498821,True,upregulated
Plxna2,18.870762,1.4355834,1.9842049053213386e-79,2.322971596473762e-78,p30,1.4355834,77.63395610038923,True,upregulated
Olig1,18.836853,1.6200397,3.7670212850499806e-79,4.357036667045761e-78,p30,1.6200397,77.36080878520342,True,upregulated
Ntsr2,18.814806,1.3318423,5.711691726416315e-79,6.527647687332932e-78,p30,1.3318423,77.18524329352752,True,upregulated
