7,15,5,3,2,1,6,9,0.2,17,11,0.3,19,0.6,10,0.5,22,16,21,0.0,0.4,0.7,0.9,13,23,18,12,4,0.8,0.1,20,14,0.10,8
Gria2,Plcb1,Gria1,Sparcl1,Nr4a3,Mfge8,Dio2,Neurod1,Gria2,Cxcr4,Draxin,Cd28,Fgfr1,Igfbpl1,Olig2,Hcn1,Emx2,C1qb,Ndnf,Atp1a3,Nrp2,Cck,Insm1,Npy2r,Pdlim4,Cdh3,Grik3,Neurog2,Plxna4,Gabra5,Foxj1,Boc,Dcc,Dsp
Neurod2,Mdga1,Erbb4,Apcdd1,Epha6,Atp1a2,Sparcl1,Zbtb20,Nrp1,Neurog2,Top2a,Calb2,Nfix,Ptprs,Pdgfra,Grik2,Zbtb20,Csf1r,Trp73,Ubc,Nrp1,Bcl6,Zbtb20,Gng2,Cdh2,Robo1,Ptpn11,Nrp1,Zbtb20,Rab3a,Ccdc80,Pax6,Dnajc5,Slc38a1
Cadm1,Cd70,Atp1a3,Cdh5,Slit3,Vim,Zbtb20,Nfib,Satb2,Vcan,Mki67,Omg,Zbtb20,Zbtb20,Chd7,Epha7,Nfib,Laptm5,Nhlh2,Calm1,Epha4,Hcn1,Sox11,Ankrd11,Mfge8,Cldn2,Plp1,Cntn2,Gria1,Ubc,Meis2,Zfp609,Fezf2,Cacna1b
Atp1a3,Prex2,Nxph1,Ubc,Atp1a3,Slc1a2,Hopx,Nfia,Sox11,Gnao1,Chd7,Gabra4,Ptprs,Nfib,Sox10,Atp1a3,Slc1a2,Apoe,Cdh4,Atp6v0d1,Grik2,Cacna2d1,Epha4,Mpped1,Ccnd2,Pou3f3,Gria1,Mex3a,Sox11,Neurod6,Vim,Zbtb20,Limk1,Ddx3x
Nrp1,Gng10,Ptprm,Vim,Crmp1,Slc6a11,Ptprz1,Nfix,Neurod6,Pax6,Egfr,Camk2d,Neurod1,Sox11,Kcnip3,Trpc4,Vim,C1qa,Bin1,Gnal,Limk1,Gabra2,Satb2,Lrrc4b,Tnfrsf19,Plxnb1,Myc,Meis2,Nfib,Ndrg4,Cadm1,Gnao1,Tubb3,Grik3
Neurod6,Creb1,Lhx6,Cldn5,Robo1,Sparcl1,Mfge8,Chd7,Zbtb20,Mdga1,Cenpf,Nr2f1,Huwe1,Pou3f3,Olig1,Crmp1,Neurod1,Pld4,Reln,Gad1,Clstn2,Stx7,Nfasc,Camk2b,Zbtb20,Homer2,Crkl,Plxna2,Epha4,Gabrb2,Mfge8,Gli3,Bin1,Gnao1
Ptprs,Cdk6,Cux2,Atp1a2,Grik2,Sox9,Htra1,Gria1,Neurod2,Ptk2,Olig2,Chrna1,Nfib,Lrp8,Cntn1,Robo1,Chd7,Mrc1,Snhg11,Sema4a,Rhob,Sparcl1,Nrp1,Zfp609,Ccdc80,Mfng,Acsl1,Zbtb20,Prox1,Gnao1,Huwe1,Htra1,Srgap3,Stxbp1
Satb2,Pou3f3,Grik3,Lamb1,Srgap3,Ptprz1,Fabp7,Sema6d,Nfix,Stmn2,Ubc,Mcm2,Nfia,Draxin,Cspg4,Grin2a,Draxin,Hpgds,Cxcl12,Skp2,Stxbp1,Plaa,Gabbr1,Gria2,Gnai2,Gng10,Eef1a2,Fubp1,Nectin1,Robo1,Ankrd11,Ccdc80,Stxbp1,Atp1a3
Ncam1,Chl1,Epb41l1,Col3a1,Neo1,Olig2,Sox9,Draxin,Pou3f3,Mfng,Syne2,Cplx3,Camk2b,Epha4,Sall3,Ubc,Srgap3,Ubc,Ccnd2,Shank1,Dnm1,Nrp1,Ubc,Dnajc5,Sox9,Gng3,Tbr1,Sox4,Sema6d,Ap2b1,Ccdc153,Fabp7,Huwe1,Gria1
Tubb3,Ptk2,Ncam1,Ptprm,Slitrk1,Fabp7,Slc6a11,Prox1,Foxg1,Igfbpl1,Sox2,Stx19,Foxg1,Nfix,Kcnd2,Gria1,Cdh2,Ptprj,Rgs4,Drd1,Myt1l,Fxyd6,Ptprs,Huwe1,Sparcl1,Tbr1,Rgma,Epha4,Arhgef7,Ncam1,Cdh2,Sox2,Foxd3,Pla2g4c
