9,11,2,4,5,3,6,10,8,18,14,12,20,1,0,16,19,13,15,21
Dnm1,Dsp,Atp1a2,Plp1,Cldn5,Atp1a3,Plp1,Olig2,Gad1,Nfib,Laptm5,Atp1a2,Sox9,Stxbp1,Tcf7l2,Snhg11,Clic6,Gfap,Plxna2,Tcf7l2
Prkca,Ptprj,Sparcl1,Mbp,Sparcl1,Calm1,Mag,Gpr17,Atp1a3,Sox11,C1qb,Sparcl1,Ccdc153,Dnm1,Snhg11,Reln,Prlr,Sdc4,Drd2,Lef1
Gria1,Gria2,Slc1a2,Cldn11,Cdh5,Sparcl1,Cldn11,Sox10,Snhg11,Zbtb20,Csf1r,Cdh5,Vim,Atp1a3,Rgs4,Ndnf,Atp1a1,Sparcl1,Syt6,Gnal
Atp1a3,Gria1,Htra1,Gsn,Igf1r,Ubc,Gsn,Vcan,Stxbp1,Ptprs,P2ry12,Flna,Slc38a1,Syt1,Lef1,Msi2,Cldn2,Igf1r,Atp6v1d,Gabra4
Snhg11,Epha7,Glul,Mag,Ptprm,Dnm1,Mog,Pdgfra,Rab3a,Nfia,Tmem119,Vim,Foxj1,Snhg11,Atp1a3,Epb41l1,Kl,Clu,Arfgef1,Gosr2
Grin2a,Grin2a,Aqp4,Mog,Lef1,Camk2a,Mbp,Nlgn2,Erbb4,Pou3f3,Hpgds,Syne2,Clu,Calm1,Rgs16,Gfap,Clu,Apoe,Cnr1,Cx3cl1
Neurod6,Grin1,Gfap,Sox10,Sema7a,Stxbp1,Bin1,Mbp,Dnm1,Ccnd2,Sall1,Pdgfrb,Idh2,Eef1a2,Ptprm,Bin1,Idh2,Ptpn11,Ncam2,Slc6a11
Stxbp1,Camk2b,Atp1b2,Gfap,Apcdd1,Gap43,Sox10,Mpzl1,Cacnb4,Chd7,Cx3cr1,Ptprm,Aqp4,Prkca,Stxbp1,Stxbp1,Sox9,Nfatc3,Myt1l,Mag
Gria2,Zbtb20,Apoe,Sema4d,Ptprb,Calb2,Nfasc,Olig1,Gabra1,Cdh2,Pld4,Ptprb,Apoe,Stx1b,Cplx1,Nlgn2,Syne2,Pdgfb,Negr1,Ppp3r1
Epha6,Plxna4,Clu,Nfasc,Slc1a2,Cldn3,Rhob,Plp1,Cplx1,Sox4,Itgam,Rgs4,Ubc,Mapk8ip3,Kcnc2,Diablo,Gnas,Pld4,Ap2a1,Rasgrp1
Rasgrp1,Cplx2,Ntsr2,Rhob,Ccdc141,Eef1a2,Jam3,Itpr2,Stx1b,Syne2,C1qa,Gfap,Atp1a1,Epb41l1,Eef1a2,Trp73,Arhgef12,Btg1,Robo2,Plp1
Frrs1l,Nfib,Slc6a11,Bin1,Pecam1,Cplx1,Erbb4,Cntn1,Hcn1,Neurod1,Vsir,Cldn5,Zbtb20,Cplx2,Slc17a6,Cdh4,Rgs3,Fgf12,Crmp1,Cntnap1
Nsf,Epha4,Aldoc,Olig1,Atp1a2,Cxcr4,Cers2,Chd7,Syt1,Epha4,Glul,Apoe,Sema6d,Rasgrp1,Gabrb2,Ubc,Bmp7,Plxna2,Ngef,Sqstm1
Grin1,Grik2,Sox9,Jam3,Cd34,Sema6b,Sox2,Ptprz1,Limk1,Cenpf,Slc1a2,Apcdd1,Flna,Syn1,Gabbr1,Atp1a3,Igfbp2,Apcdd1,Dnajc5,Gsn
Ppp3cb,Dnm1,Gjb6,Cers2,Glul,Sp9,Olig2,Sdc3,Ubc,Top2a,Grk2,Ubc,Id4,Unc13a,Gabbr2,Glul,Huwe1,Ptprb,Depdc5,Ptprm
