0,2,5,1,3,9,17,11,19,18,7,21,6,22,10,16,20,23,13,12,15,8
Gria2,Nr4a3,Erbb4,Fabp7,Sparcl1,Neurod1,Neurog2,Cenpf,Fgfr1,Clic6,Bhlhe22,Reln,Hopx,Emx2,Olig2,Laptm5,Foxj1,Pdlim4,Npy2r,Ubc,Slc1a6,Dsp
Zbtb20,Gria2,Atp1a3,Atp1a2,Cdh5,Zbtb20,Cxcr4,Top2a,Epha4,Syne2,Neurod2,Nhlh2,Dio2,Nfib,Chd7,C1qb,Sox9,Chd7,Atp1a3,Gsn,Nr2e1,Gria1
Nrp1,Nrp1,Gria1,Sox9,Apcdd1,Nfib,Grik2,Mki67,Zbtb20,Cdh3,Gria2,Bin1,Sox9,Grik2,Pdgfra,Mrc1,Idh2,Zbtb20,Gria1,Ptprm,Syne2,Nlgn2
Neurod2,Gria1,Cux2,Ptprz1,Ubc,Chd7,Zbtb20,Draxin,Nfib,Dsp,Nrp1,Cacna2d1,Slc1a2,Nfia,Cntn1,Apoe,Vim,Nfib,Prkca,Ptprj,Tnfrsf19,Cdh2
Gria1,Slit3,Cadm1,Ccdc80,Cldn5,Ptprs,Ptprs,Chd7,Pax6,Sox9,Atp1a3,Snhg11,Fabp7,Chd7,Ptprz1,Csf1r,Top2a,Nfia,Gria2,Apoe,Sema4f,Atp1a3
Neurod6,Epha6,Snhg11,Gfap,Atp1a2,Epha4,Nfib,Nfib,Grik2,Kit,Ncam1,Rgs4,Chd7,Pax6,Cspg4,Ptprj,Axin2,Grik2,Ubc,Chd7,Chd2,Ankrd11
Grik2,Atp1a3,Trpc4,Pou3f3,Ptprm,Sox11,Gria2,Pax6,Ptprs,Tead1,Neurod6,Ndnf,Pax6,Zbtb20,Sox10,Ubc,Clu,Meis2,Gabra5,Sqstm1,Ptk2,Cacna1a
Epha4,Neurod6,Grik1,Slc1a2,Vim,Nfia,Epha4,Cenpe,Gria2,Ubc,Foxg1,Robo2,Ptprz1,Ptprs,Erbb4,Pld4,Meis2,Draxin,Robo1,Atp1a2,Gpr183,Sema4f
Foxg1,Neurod2,Dnm1,Pax6,Trim25,Grik2,Gria1,Ccnd2,Sox11,Clu,Cadm1,Cdh4,Ccnd2,Slc1a2,Grik3,Grk2,Fabp7,Pou3f3,Gabbr1,Mag,Wnt3a,Cadm1
Atp1a3,Nectin3,Sox1,Id4,Lamb1,Neo1,Sox11,Pou3f3,Meis2,Cldn2,Hcn1,Msi2,Grm3,Ccnd2,Sall3,Hpgds,Id4,Ccdc88a,Stxbp1,Plp1,Itgb2l,Atp6v1h
Sox11,Robo1,Sox2,Mfge8,Mpzl1,Prox1,Nrp1,Sox2,Foxg1,Msi2,Stxbp1,Chd7,Pou3f3,Idh2,C1ql1,C1qa,Msi2,Lrp8,Cadm1,Mbp,Rras,Gria2
Ptprs,Grin2a,Stxbp1,Sox2,Col3a1,Lrp8,Srgap3,Sox9,Nrp1,Igfbp2,Fezf2,Trp73,Gfap,Stxbp1,Fabp7,P2ry12,Ccdc80,Vim,Dnm1,Lpar1,Bmpr1b,Plcb1
Nfib,Dnm1,Nxph1,Msi2,Axin2,Nfix,Foxg1,Mfge8,Neurod6,Igf1r,Grik3,Diablo,Mfge8,Draxin,Ankrd11,Sall1,Slc38a1,Srgap3,Neurod2,Tet2,Cx3cl1,Atp6v0a1
Stxbp1,Cadm1,Robo1,Htra1,Lef1,Gria2,Ncam1,Lmnb1,Nlgn2,Chd2,Srgap1,Kit,Nfia,Lrp8,Sdc3,Mki67,Pou3f2,Fabp7,Nlgn2,Alpl,Nfe2l2,Plxna4
Hcn1,Hcn1,Ncam1,Slc1a3,Igf1r,Gria1,Astn1,Egfr,Srgap3,Lef1,Gng2,Srgap3,Sox2,Pou3f3,Pou3f3,Cd86,Ptprz1,Fzd3,Nectin3,Stxbp6,Cdk19,Gng2
Meis2,Epha4,Gabbr1,Vim,Bmp7,Sema6d,Pou3f3,Grm3,Stxbp1,Apoe,Nlgn2,Nfib,Atp1a2,Neurod1,Egfr,Sparcl1,Ptprm,Nfix,Epha7,Ncam2,Ccdc88c,Nrcam
Neo1,Zbtb20,Gng2,Ccnd2,Pecam1,Draxin,Neurod2,Syne2,Cadm1,Chd6,Grin2a,Cxcl12,Ccdc80,Lhx2,Kcnd2,Itgam,Chd6,Pak3,Gnai1,Draxin,Nrn1,Stx1b
Grin2a,Foxg1,Dlx1,Chd7,Kit,Eomes,Neurod1,Ccdc80,Slc6a11,Itpr1,Sox11,Ptprs,Sparcl1,Cenpf,Ctnnb1,Cenpf,Gnao1,Cdh2,Stmn2,Gnal,Fbxo8,Dnm1
Tubb3,Crmp1,Stmn2,Cdh2,Cxcl12,Limk1,Plcb1,Ptprz1,March6,Bmp7,Bin1,Ccnd2,Vim,Slc6a11,Etv5,Chd7,Pax6,Nlgn2,Trpc4,Calm1,Gosr1,Calm1
Robo1,Sptan1,Tet2,Grm3,Ccdc141,Pax6,Atp6v0a1,Slc1a2,Neurod2,Pdgfra,Stmn2,Kcnh7,Htra1,Srgap3,Nlgn2,Atp1a2,Trp73,Sox9,Grin2a,Pdgfra,Gnao1,Evx1
Gabra5,Prkca,Epb41l1,Gli3,Glul,Tead1,Sptan1,Sox1,Celf2,Idh2,Robo1,Ubc,Gnao1,Chd6,Sparcl1,P2ry13,Fzd3,Ccdc80,Calm1,Ctnnb1,Sema6c,Ccdc88a
Crmp1,Tubb3,Cacnb4,Nfia,Gnai2,Igfbpl1,Cnr1,Vim,Slc1a2,Ptprm,Dync1i1,Adcy2,Id4,Igf1r,Kcnip3,Chd2,Nfib,Mest,Bin1,Casp3,Gng4,Neo1
Cadm1,Neo1,Grik3,Sall1,Cd34,Sox4,Nfix,Cdh4,Sox9,Cntn1,Nfasc,Clstn2,Ptprj,Ptprz1,Sox2,Cx3cr1,Sox2,Mex3a,Srgap1,Gap43,Atp6v0e2,Nptx2
Gabra2,Stmn2,Ptprm,Sparcl1,Bmp5,Plcb1,Cacna2d1,Slc1a3,Astn1,Rgs3,Nfix,Cobll1,Cdh2,Nipbl,Gpr17,Ptprc,Gli3,Msi2,Nrcam,Fabp7,Satb2,C1ql3
Kcnq3,Gabra5,Bin1,Nfib,Sema7a,Bin1,Igfbpl1,Nfia,Cacna2d1,Gnas,Epha4,Cacna2d2,Msi2,Msi2,Nlgn3,Gnai2,Tead1,Cdh4,Crmp1,Gnas,Prex2,Ptprs
Slitrk1,Camk2b,Lhx6,Ptprj,Gnas,Stxbp1,Mex3a,Pou3f2,Huwe1,Cux2,Plxna2,Vcan,Axin2,Atp1a2,Map2,C1qc,Ankrd11,Slc1a2,Dab1,Nfasc,Chd7,Cldn3
Plxna4,Srgap3,Epha7,Axin2,Cobll1,Plxna4,Neo1,Sall1,Fabp7,Huwe1,Calm1,Nfasc,Nfib,Fabp7,Bmp7,Tmem119,Chd7,Sox2,Grin1,Dock7,Creb1,Atp6v1d
Igfbpl1,Stxbp1,Nlgn2,Vcan,Pdgfrb,Flna,Draxin,Olig2,Zfp609,Lrp6,Epb41l1,Dync1i1,Cdh4,Ccdc88a,Omg,Ptgs1,Jam2,Gabbr2,Gng2,Bin1,Sall3,Epm2a
Kcnd2,Grin2b,Ccdc88a,Hes5,Pdgfra,Foxg1,Nfia,Ccna2,Pou3f3,Atp1a1,Stx1b,Stxbp1,Slc1a3,Chd2,Cdh4,Ccnd2,Jam3,Sall1,Kit,Cux2,Syt9,Nrxn1
Camk2b,Bin1,Gad1,Ubc,Itgb1,Cdh2,Ccdc88a,Prox1,Ccdc80,Axin2,Ptk2,Lhx5,Igf1r,Nfix,Top2a,Trim25,Atp1a1,Idh2,Sptan1,Gabbr1,Ripk1,Rbfox3
