0,1,2,3,9,11,5,6,10,17,16,22,13,19,7,21,8,20,23,12,15,4,18
Ubc,Atp1a2,Gria1,Cdh5,Neurod1,Nfib,Atp1a3,Hopx,Pdgfra,Neurog2,Laptm5,Emx2,Npy2r,Fgfr1,Bhlhe22,Reln,Gria1,Slc38a1,Pdlim4,Plp1,Ptprm,Neurod1,Dsp
Atp1a3,Sparcl1,Epha6,Cldn5,Zbtb20,Chd7,Snhg11,Dio2,Olig2,Cxcr4,Csf1r,Zbtb20,Gria1,Nfib,Stxbp1,Ndnf,Dsp,Foxj1,Atp1a2,Ubc,Gnai1,Nfib,Grm3
Gria1,Fabp7,Grin2a,Sparcl1,Nfib,Mki67,Stxbp1,Atp1a2,Sox10,Zbtb20,C1qb,Nfib,Dnm1,Gria2,Atp1a3,Nhlh2,Plxna4,Ccdc153,Cdh2,Gpr17,Myc,Sox4,Tet2
Stxbp1,Slc1a2,Atp1a3,Apcdd1,Prox1,Ccnd2,Grik1,Gfap,Cntn1,Grik2,Hpgds,Prox1,Atp1a3,Epha4,Crmp1,Gfap,Prox1,Vim,Gfap,Gfap,Mdga1,Ptprs,Zbtb20
Crmp1,Gfap,Gria2,Vim,Sox11,Pou3f3,Dnm1,Grm3,Gpr17,Gria1,P2ry12,Epha4,Grin2a,Zbtb20,Ubc,Rgs4,Ptprj,Sox9,Nfib,Sox10,Gabra4,Nfia,Cldn2
Ppp3cb,Grm3,Snhg11,Ptprm,Gria2,Top2a,Erbb4,Slc1a2,Cspg4,Sox11,Cx3cr1,Neurod1,Crmp1,Grik2,Neurod6,Cacna2d1,Dnm1,Clu,Ccdc80,Itpr2,Ptpn11,Dcc,Rnd3
Neurod6,Htra1,Neurod6,Atp1a2,Epha4,Ptprs,Gad1,Fabp7,Nlgn2,Ptprs,Sall1,Sema6d,Epha6,Sox11,Ppp3cb,Msi2,Epha4,Atp1a1,Cplx2,Cldn11,Eef1a2,Zbtb20,Gabra3
Nrp1,Ptprz1,Dnm1,Lef1,Plxna4,Meis2,Cux2,Aqp4,Sdc3,Epha4,Pld4,Sox11,Neurod6,Nfia,Nrp1,Bin1,Grin1,Idh2,Apoe,Shank1,Sdc4,Btg1,Cntn6
Nsf,Aqp4,Crmp1,Gnai2,Ptprs,Cenpf,Gria1,Htra1,Olig1,Plxna4,Mrc1,Ptprs,Snhg11,Neurod1,Cfl1,Cxcl12,Epha7,Id4,Sox4,Fabp7,Itga8,Nfix,Ntn1
Dnm1,Slc6a11,Nr4a3,Trim25,Nfia,Syne2,Stmn2,Sparcl1,Erbb4,Nfib,Ptprj,Chd7,Gria2,Prox1,Bin1,Snhg11,Cadm1,Rgs4,Fabp7,Gsn,Pard6g,Vcan,Itga4
Gabra5,Glul,Epha7,Igf1r,Grik2,Pax6,Nxph1,Sox9,Ptprz1,Sox4,Bin1,Huwe1,Stxbp1,Cdh2,Neurod2,Trp73,Camk2b,Sox2,Srgap3,Mbp,Cd70,Epha4,Cspg4
Grin2a,Sox9,Robo1,Lamb1,Bhlhe22,Draxin,Grik3,Gabbr1,Kcnip3,Nfia,Apoe,Sox9,Prkca,Zfp609,Grin1,Robo2,Nsf,Aqp4,Sox11,Atp1a2,Shank2,Limk1,Itpr2
Stmn2,Apoe,Slit3,Mpzl1,Gria1,Pou3f2,Gng2,Ptprz1,Chd7,Gria2,Grk2,Syne2,Rab3a,Nfix,Epb41l1,Nfib,Frrs1l,Fzd3,Chd2,Apoe,Nfatc3,Map2,Acsl1
Tubb3,Mfge8,Prkca,Ubc,Neo1,Sox11,Lhx6,Gnao1,Nlgn3,Srgap3,C1qa,Foxg1,Grin1,Plxna4,Fezf2,Cdh4,Gabra5,Srgap3,Slc6a11,Nfasc,Rnd3,Nhlh2,Bmp7
Sptan1,Pou3f3,Nectin3,Pecam1,Nfix,Lmnb1,Bin1,Glul,C1ql1,Bin1,Gfap,Grik2,Robo1,Nlgn2,Epha7,Kcnh7,Gria2,Rgs3,Ccnd2,Atp6v0c,Junb,Lhx2,Hdac4
Gnai1,Gabbr1,Nrp1,Cd34,Draxin,Tead1,Ptprm,Mfge8,Ankrd11,Plcb1,Tmem119,Nfia,Bin1,Sema6d,Calm1,Cd274,Ntrk3,Cadm1,Chd6,Gng4,Cntn2,Neo1,Sall3
Rab3a,Atp1b2,Grin1,Slc38a2,Chd7,Sox1,Cadm1,Pou3f3,Nxph1,Atp1a1,Gnai2,Slc1a2,Stmn2,Draxin,Atp6v0a1,Clstn2,Grin2a,Pax6,Pou3f3,Gnb2,Gsk3b,Mdga1,Set
Hcn1,Sox2,Bin1,Itgb1,Sema6d,Nfia,Stx1b,Apoe,Grik3,Stx1b,Itgam,Sox4,Neurod2,Mapk8ip3,Gria2,Fabp7,Stxbp1,Msi2,Cnr1,Gabra4,Prkcz,Igfbpl1,Hes5
Rasgrp1,Pax6,Stxbp1,Ptprb,Sox4,Zbtb20,Pak3,Sox2,Vcan,Plxna2,P2ry13,Gria2,Nsf,Ptprs,Nrcam,Dync1i1,Cntn1,Nfia,Grm3,Rgs3,Pak6,Nfasc,Plaa
Neurod2,Hes5,Grin2b,Cobll1,Cdh2,Sox2,Cacnb4,Pax6,Fabp7,Syn1,Efhd2,Zmiz1,Srgap3,Astn1,Pak3,Chd7,C1ql3,Ubc,Prox1,Mog,Fbxo28,Arhgef7,Erbb4
Frrs1l,Slc1a3,Trpc4,Sema6d,Igfbpl1,Sox4,Epb41l1,Nfib,Sox2,March6,Ptprc,Nlgn2,Frrs1l,Ptk2,Tubb3,Fat3,Cacna2d1,S100b,Slc1a2,Mag,Tanc1,Gnai3,Slitrk5
Prkca,Kcnip3,Epha4,Ccdc141,Stxbp1,Vcan,Syt1,Hes5,Bmp7,Limk1,Gpr183,Grm3,Cadm1,Ankrd11,Grin2b,Cacna2d2,Fam163b,Flna,Omg,Icam1,Kcnj3,Mex3a,Gnb2
Syn1,Ccnd2,Neurod2,Flna,Zfp609,Mex3a,Npy,Slc1a3,Itpr2,Prox1,C1qc,Axin2,Plxna4,Fabp7,Grik2,Kit,Atp1a3,Sema6d,Nfia,Trak2,Tiam1,Syne2,Fbxo45
Epha4,Tnfrsf19,Gnai1,Arhgef12,Lrp8,Fzd3,Rab3a,Slc6a11,Gria2,Slitrk1,Ptgs1,Fabp7,Nrp1,Bhlhe22,Gria1,Lhx5,Stx1b,Ptprm,Sox2,Cldn3,Tgfb2,Slc38a1,Mdh2
Gng4,Nfia,Cadm1,Gnas,Ddx5,Insm1,Ncam1,Ccnd2,Pou3f3,Cacna1b,Atp1a2,Nfix,Camk2b,Clu,Sox4,Camk2a,Bin1,Ablim1,Nfix,Fxyd1,Pecam1,Lrrc4b,Kcna2
Syt1,Ccdc80,Stmn2,Itga4,Sema5a,Dlx2,Srgap1,Nfia,Kcnd2,Neo1,Cd86,Aqp4,Gabra5,Ccdc88a,Cadm1,Gng7,Slit3,Gnai2,Shank1,Nkx2-1,Mast3,Gfap,Ntrk3
Calm1,Aldoc,Kcnd2,Ctnnb1,Plxna2,Ccdc88a,Ubc,Ptprm,Chd6,Srgap1,Glul,Limk1,Sptan1,Neo1,Gap43,Diablo,Zbtb20,Spop,Mex3a,Agt,L1cam,Stx16,Msi2
Gabrb2,Id4,Grik2,Lrp8,Huwe1,Dlx1,Eef1a2,Tnfrsf19,Sall3,Ankrd11,Aif1,Sfxn5,Srgap1,Ptprj,Cacna1b,Nfasc,Sema5a,Gfap,Chd7,Fn1,Itpr2,Nlgn2,Lamb1
Nr4a2,Sfxn5,Ppp3cb,Gfap,Epha7,Cenpe,Trpc4,Kcnip3,Tet2,Foxg1,Tgfbr1,Htra1,Epha7,Sox9,Dnm1,Adcy1,Stxbp6,Ngef,Sall3,Depdc5,Fbxo31,Unc13a,Axin2
Grin2b,Camk2a,Sptan1,Nes,Ncam1,Igfbpl1,Grin1,Sfxn5,Ntn1,Tead1,Camk2a,Sox2,Gabbr2,Grm3,Trpc5,Stxbp1,Adcy1,Lrp8,Mpzl1,Lnpk,Fgf12,Ptpn11,Parp1
