2,5,6,7,8,9,12,13,15,16,17,19,20
Slitrk4,Camk2b,Sox11,Axin2,Cldn5,Tubb3,Col3a1,Gria1,Clic6,Gria2,Pax6,Csf1r,Trp73
Evx1,Cadm1,Ptprs,Apcdd1,Sparcl1,Cadm3,Pdgfra,Erbb4,Igfbp2,Zbtb20,Pou3f3,Cx3cr1,Bin1
Ccdc153,Neurod2,Meis2,Ccdc80,Cdh5,Llgl1,Lamb1,Atp1a3,Foxj1,Cntn2,Vim,Laptm5,Cacna2d2
Drd2,Gria2,Pou3f2,Vim,Pecam1,Gng10,Pdgfrb,Lhx6,Cdh3,Grik2,Sall1,C1qb,Reln
Kl,Grik3,Foxg1,Sox9,Ptprm,Pou3f3,Atp1a2,Cux2,Ptprm,Nfasc,Mki67,Pld4,Nhlh2
Hmgn2,Atp1a3,Robo2,Vcan,Shank3,Gnao1,Cldn11,Grik3,Bmp7,Cnr1,Cenpf,Apoe,Cdh4
Thrsp,Dync1i1,Nfib,Sox2,Gnai2,Pax2,Cdh5,Slc6a1,Clu,Sox11,Sox9,C1qa,Nfasc
Chat,Adcy1,Neurod2,Plxnb1,Vim,Mdga1,Gnas,Cadm1,Itpr1,Neurod6,Gli3,C1qc,Ccnd2
Cdh15,Epb41l1,Pou3f3,Rspo3,Cd34,Lhx1,Sparcl1,Mpped1,Kit,Nfib,Ccdc80,Efhd2,Cacna2d1
Aqp4,Neurod6,Satb2,Gnao1,Pdgfb,Syt2,Ubc,Epb41l1,Glul,Unc13a,Meis2,Mrc1,Ndnf
