,Cluster_2,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_12,Cluster_13,Cluster_15,Cluster_16,Cluster_17,Cluster_19,Cluster_20
Cluster_2,0.9999999999999999,0.5412821719523072,0.5330123994813775,0.293874134685322,0.17417681866760865,0.47014271905809896,0.12073226614076671,0.511300705425524,0.10290729225082146,0.5990936323458087,0.3360049287311047,0.08060272127891616,0.2902617320814402
Cluster_5,0.5412821719523072,1.0,0.678139829706718,0.22540605712280537,0.12308303888730499,0.22091246801463066,0.08269124291275647,0.7138024347106514,0.06430459462596627,0.7851055241260443,0.2680281442139561,0.026161679493299794,0.3327795008382623
Cluster_6,0.5330123994813774,0.678139829706718,0.9999999999999999,0.4038347853307505,0.20015600574938266,0.2962742551895786,0.14305303266053948,0.5930834528452247,0.13687969172516498,0.869573459866419,0.5798279441104696,0.08091417927998432,0.3759058739704509
Cluster_7,0.293874134685322,0.22540605712280534,0.4038347853307505,0.9999999999999999,0.33532642699129345,0.33227902706838786,0.37238515493993013,0.25797370622757915,0.4861550135499357,0.42551392664534393,0.7327197612397354,0.1741928289856441,0.2873698677821001
Cluster_8,0.17417681866760865,0.12308303888730499,0.20015600574938264,0.33532642699129345,1.0,0.1614974533071159,0.6126837437208468,0.13148570710080715,0.38054312945636337,0.19369513872755528,0.2961413299105028,0.3616512027295813,0.19565857221980465
Cluster_9,0.47014271905809896,0.2209124680146307,0.2962742551895786,0.33227902706838786,0.16149745330711593,0.9999999999999998,0.08912690548387323,0.13753839560961342,0.22113080778657307,0.37048839642504267,0.29795220179752985,0.055521586440312264,0.23978647193739813
Cluster_12,0.12073226614076672,0.08269124291275647,0.14305303266053948,0.37238515493993013,0.6126837437208468,0.08912690548387324,1.0,0.10029957576044715,0.4083841019930224,0.1455281003022166,0.3051394628424076,0.41329121547442565,0.20333621184305228
Cluster_13,0.511300705425524,0.7138024347106514,0.5930834528452247,0.25797370622757915,0.13148570710080715,0.13753839560961342,0.10029957576044717,1.0,0.07159104815115962,0.6145388081651758,0.26581122284703523,0.03359822124176833,0.3660218696399262
Cluster_15,0.10290729225082146,0.06430459462596627,0.13687969172516498,0.4861550135499357,0.38054312945636337,0.2211308077865731,0.4083841019930224,0.07159104815115962,1.0,0.14012826578291857,0.32780599208036265,0.1728279189529636,0.15934321703691284
Cluster_16,0.5990936323458087,0.7851055241260442,0.869573459866419,0.42551392664534393,0.1936951387275553,0.3704883964250427,0.1455281003022166,0.6145388081651758,0.1401282657829186,0.9999999999999999,0.4679255926544671,0.07658038554877075,0.4212720852907605
Cluster_17,0.3360049287311047,0.26802814421395604,0.5798279441104696,0.7327197612397354,0.29614132991050285,0.29795220179752985,0.3051394628424076,0.26581122284703523,0.32780599208036265,0.4679255926544671,1.0,0.15358089485736717,0.23681170556886005
Cluster_19,0.08060272127891616,0.026161679493299794,0.08091417927998432,0.17419282898564412,0.3616512027295813,0.05552158644031227,0.4132912154744256,0.033598221241768325,0.1728279189529636,0.07658038554877077,0.15358089485736717,1.0,0.10167532523722689
Cluster_20,0.29026173208144024,0.3327795008382623,0.3759058739704509,0.2873698677821001,0.19565857221980465,0.23978647193739813,0.20333621184305228,0.3660218696399262,0.15934321703691284,0.4212720852907605,0.23681170556886005,0.1016753252372269,0.9999999999999998
