gene,log2FoldChange,pvalue,ctrl_mean,mut_mean,ctrl_detection_rate,mut_detection_rate,ctrl_cells,mut_cells,padj,time_point,abs_log2FC,-log10_padj,significant,regulation
Satb2,,2.8691704134854325e-301,-101.59245,18.728405,0.22330321982858467,0.016953713670613563,4317,7432,1.319818390203299e-299,p0,,298.84776720292444,False,not_significant
Nfib,,7.005404050493177e-184,43.81458,-19.89204,0.47810979847116053,0.6854144241119483,4317,7432,1.6112429316134307e-182,p0,,181.79283897484754,False,not_significant
Grik3,,6.671590098547919e-119,-51.69367,11.729498,0.18508223303219828,0.04843918191603875,4317,7432,1.0229771484440143e-117,p0,,116.99013406757378,False,not_significant
Nr4a2,,3.3754085274893377e-105,-49.775257,12.533803,0.11280982163539495,0.018568353067814854,4317,7432,3.881719806612738e-104,p0,,103.41097581640611,False,not_significant
Gria2,,1.7143162475006563e-64,24.209116,-7.5729556,0.4957146166319203,0.5843649085037675,4317,7432,1.5771709477006038e-63,p0,,62.80212123145268,False,not_significant
Slitrk1,,8.198803710291047e-59,-37.044365,7.3739057,0.21519573778086634,0.09728202368137782,4317,7432,6.285749511223136e-58,p0,,57.20164292972333,False,not_significant
Sox4,,4.4357994818627356e-58,-30.897722,11.237537,0.34746351633078526,0.1831270182992465,4317,7432,2.9149539452240834e-57,p0,,56.53536830248063,False,not_significant
Mef2c,,8.112048430339161e-55,-33.21867,9.044802,0.06184850590687978,0.010898815931108719,4317,7432,4.6644278474450177e-54,p0,,53.331201620499826,False,not_significant
Cntn6,,2.2343437291338757e-50,-33.969112,7.7615304,0.04980310400741256,0.006996770721205597,4317,7432,1.1419979060017586e-49,p0,,48.94233469242355,False,not_significant
Lhx6,,6.827121636578842e-36,-25.855375,6.89709,0.06763956451239286,0.02099031216361679,4317,7432,3.1404759528262674e-35,p0,,34.503004527715994,False,not_significant
Grik2,,9.346005580600969e-36,4.2418127,-16.956146,0.3669214732453092,0.44281485468245424,4317,7432,3.9083296064331324e-35,p0,,34.408008817466346,False,not_significant
Stmn2,,1.2488595895691545e-35,-23.929363,7.7346587,0.2747278202455409,0.15904198062432723,4317,7432,4.7872950933484257e-35,p0,,34.31990980137476,False,not_significant
Cd70,,6.371957000051198e-25,-23.517277,6.517722,0.030113504748668057,0.006189451022604951,4317,7432,2.2546924769411934e-24,p0,,23.646912684240597,False,not_significant
Asxl3,,2.3804735893817046e-21,-16.157963,6.277347,0.1547370859393097,0.09028525296017223,4317,7432,7.82155607939703e-21,p0,,20.106706836522374,False,not_significant
