time_point,ctrl_cells,mut_cells,cell_ratio,total_genes_tested,significant_genes,upregulated,downregulated,pct_significant,median_padj_significant,mean_abs_log2fc_significant
p7,9307,5034,1.8488279698053238,137,15,2,13,10.948905109489052,0.00011980324984969458,2.7048528
p30,7850,4069,1.9292209388056034,485,72,71,1,14.845360824742269,8.726896436636098e-112,2.2805486
p0,4317,7432,1.7215659022469307,46,2,1,1,4.3478260869565215,6.294435135861458e-05,2.4485552
e16,3745,3015,1.24212271973466,682,86,27,59,12.609970674486803,1.7778653886296604e-13,1.5063379
