gene,log2FoldChange,pvalue,ctrl_mean,mut_mean,ctrl_detection_rate,mut_detection_rate,ctrl_cells,mut_cells,padj,time_point,abs_log2FC,-log10_padj,significant,regulation
Slc1a2,,1.4494521037751496e-38,-60.78953,5.1956825,0.43794993016009454,0.30711164084227255,9307,5034,1.1692199185476776e-36,p7,,35.93210379471585,False,not_significant
Sparcl1,-2.55504,1.706890392040405e-38,-96.51232,-16.422495,0.726979692704416,0.6128327373857767,9307,5034,1.1692199185476776e-36,p7,2.55504,35.93210379471585,True,downregulated
Apoe,,1.5028373121734189e-25,-36.91386,8.672983,0.23079402600193402,0.1515693285657529,9307,5034,6.862957058925279e-24,p7,,23.163488718453078,False,not_significant
Aqp4,-2.8832538,1.5350123581141307e-23,-76.65457,-10.389441,0.21607392285376598,0.1404449741756059,9307,5034,5.257417326540897e-22,p7,2.8832538,21.279227547915895,True,downregulated
Atp1a2,-3.586914,5.737248866643581e-19,-60.975517,-5.0744243,0.4643816482217686,0.36730234406038936,9307,5034,1.5720061894603413e-17,p7,3.586914,16.803545748345478,True,downregulated
Sema5a,,3.4258428445061444e-16,-14.170652,13.016428,0.06833566133018158,0.034763607469209375,9307,5034,7.822341161622363e-15,p7,,14.106663246760393,False,not_significant
Hopx,,2.2928423980944175e-14,-15.296413,10.702349,0.0711292575480821,0.038339292808899486,9307,5034,4.4874201219847885e-13,p7,,12.348003268974066,False,not_significant
Ccdc153,,2.409921999095828e-12,-23.830952,7.5297246,0.028150854195766628,0.010131108462455305,9307,5034,4.1269914234516055e-11,p7,,10.384366433655057,False,not_significant
Sema6d,,2.8091370347077252e-12,-30.26413,2.9578273,0.22413237348232512,0.1678585617798967,9307,5034,4.276130819499537e-11,p7,,10.368949016906265,False,not_significant
Sox9,,2.823576458588368e-11,-31.56926,1.7038016,0.21435478671967337,0.1626936829558999,9307,5034,3.8682997482660644e-10,p7,,9.412479880510933,False,not_significant
Ccdc88a,,4.118517668055586e-11,-21.679197,6.6833363,0.30256795960030086,0.24473579658323402,9307,5034,5.129426550214685e-10,p7,,9.289931184595412,False,not_significant
