gene,log2FoldChange,pvalue,ctrl_mean,mut_mean,ctrl_detection_rate,mut_detection_rate,ctrl_cells,mut_cells,padj,time_point,abs_log2FC,-log10_padj,significant,regulation
Gnao1,-0.23752256,0.0,43.610237,36.99023,0.24216560509554141,0.7259768985008601,7850,4069,0.0,p30,0.23752256,300.0,False,not_significant
Ap2b1,0.24173808,0.0,30.246859,35.764378,0.07299363057324841,0.3843696239862374,7850,4069,0.0,p30,0.24173808,300.0,False,not_significant
Sfxn5,2.5864465,0.0,8.101829,48.661,0.13796178343949045,0.5419021872695994,7850,4069,0.0,p30,2.5864465,300.0,True,upregulated
Atp6v1a,1.4528455,0.0,15.674286,42.907955,0.07414012738853504,0.3816662570656181,7850,4069,0.0,p30,1.4528455,300.0,True,upregulated
Efhd2,1.1933953,0.0,16.954462,38.773212,0.09019108280254777,0.41410666011304986,7850,4069,0.0,p30,1.1933953,300.0,True,upregulated
Cplx1,,0.0,-1.858118,56.71525,0.10356687898089172,0.46424182845908085,7850,4069,0.0,p30,,300.0,False,not_significant
Shank1,2.5873656,0.0,10.217482,61.407093,0.1329936305732484,0.6087490783976407,7850,4069,0.0,p30,2.5873656,300.0,True,upregulated
Shank2,0.98633265,0.0,25.410915,50.342644,0.017070063694267515,0.2646841975915458,7850,4069,0.0,p30,0.98633265,300.0,True,upregulated
Ubc,-2.2708564,0.0,-55.849266,-11.572351,0.9035668789808917,0.41828459080855246,7850,4069,0.0,p30,2.2708564,300.0,True,downregulated
Kcnq2,0.3388479,0.0,41.330715,52.272865,0.04203821656050955,0.4374539198820349,7850,4069,0.0,p30,0.3388479,300.0,False,not_significant
Ndrg4,4.404671,0.0,2.734603,57.920525,0.04496815286624204,0.31924305726222657,7850,4069,0.0,p30,4.404671,300.0,True,upregulated
Atp6v0e2,0.75617003,0.0,30.200941,51.009415,0.056560509554140125,0.44556402064389283,7850,4069,0.0,p30,0.75617003,300.0,True,upregulated
Shank3,0.20805526,0.0,35.378677,40.866974,0.06382165605095541,0.4241828459080855,7850,4069,0.0,p30,0.20805526,300.0,False,not_significant
Nfasc,0.28726298,0.0,28.0642,34.247387,0.12917197452229298,0.4976652740231015,7850,4069,0.0,p30,0.28726298,300.0,False,not_significant
Cadm3,-0.58934265,0.0,51.305084,34.0997,0.057834394904458596,0.40869992627181123,7850,4069,0.0,p30,0.58934265,300.0,False,not_significant
Mast3,,0.0,-13.481114,58.994953,0.14369426751592357,0.5382157778323913,7850,4069,0.0,p30,,300.0,False,not_significant
Slc17a7,,0.0,-17.67931,65.99109,0.1043312101910828,0.4718604079626444,7850,4069,0.0,p30,,300.0,False,not_significant
