gene,log2FoldChange,pvalue,ctrl_mean,mut_mean,ctrl_detection_rate,mut_detection_rate,ctrl_cells,mut_cells,padj,time_point,abs_log2FC,-log10_padj,significant,regulation
Ptprs,-0.3499639,7.463701282907994e-173,40.36626,31.671518,0.9716955941255007,0.8401326699834163,3745,3015,5.090244274943252e-170,e16,0.3499639,169.2932613758726,False,not_significant
Srgap3,-0.67668366,6.6381291294115545e-87,35.365944,22.124994,0.8229639519359145,0.6328358208955224,3745,3015,2.26360203312934e-84,e16,0.67668366,83.64519992466052,False,not_significant
Sox4,-0.3221637,3.1887773606056817e-84,53.731766,42.978394,0.822429906542056,0.6072968490878938,3745,3015,7.249153866443582e-82,e16,0.3221637,81.13971268206068,False,not_significant
Draxin,-0.31063336,3.498605503927851e-78,69.42733,55.9784,0.7757009345794392,0.5270315091210613,3745,3015,5.965122384196986e-76,e16,0.31063336,75.2243806416439,False,not_significant
Sptan1,-2.379234,1.3809805393017375e-74,24.350443,4.6804333,0.787716955941255,0.560530679933665,3745,3015,1.8836574556075698e-72,e16,2.379234,71.72499807111063,True,downregulated
Sox11,-0.26023987,1.8767636094568404e-67,52.57113,43.894215,0.8528704939919893,0.6457711442786069,3745,3015,2.1332546360826086e-65,e16,0.26023987,64.67095730186647,False,not_significant
Epha4,-1.1788434,1.0538316044954613e-61,30.064398,13.27961,0.7602136181575434,0.5339966832504146,3745,3015,1.026733077522721e-59,e16,1.1788434,58.988542446398895,True,downregulated
Astn1,-0.9415707,2.4825224033765964e-59,35.675877,18.575205,0.6929238985313751,0.4557213930348259,3745,3015,2.1163503488785485e-57,e16,0.9415707,56.6744124358855,True,downregulated
Cdh2,-0.6682913,9.504307853743407e-58,34.02154,21.408108,0.8141522029372497,0.6172470978441128,3745,3015,7.202153284725559e-56,e16,0.6682913,55.14253763969869,False,not_significant
Lrp8,-0.5396004,3.73572979876115e-52,42.30726,29.105762,0.6475300400534045,0.4431177446102819,3745,3015,2.5477677227551044e-50,e16,0.5396004,49.59384016869305,False,not_significant
Dpysl2,-0.5807368,3.503326399079409e-51,35.10908,23.47471,0.6926568758344459,0.5094527363184079,3745,3015,2.1720623674292336e-49,e16,0.5807368,48.66312770880626,False,not_significant
March6,-0.94557965,1.760372800601344e-47,30.400522,15.784586,0.6873164218958612,0.47827529021558873,3745,3015,1.0004785416750971e-45,e16,0.94557965,44.99979222170247,True,downregulated
Ephb2,-1.1757529,7.687667729934001e-47,37.550426,16.621798,0.28304405874499333,0.13034825870646766,3745,3015,4.0330687629346066e-45,e16,1.1757529,44.394364373303944,True,downregulated
Lmnb1,-0.33812124,1.0865026065828458e-46,53.90421,42.642048,0.632309746328438,0.4298507462686567,3745,3015,5.2928198406392923e-45,e16,0.33812124,44.276312888466286,False,not_significant
Mex3a,-0.12416892,1.2538182836103134e-46,65.33478,59.946777,0.7871829105473965,0.5897180762852404,3745,3015,5.700693796148224e-45,e16,0.12416892,44.244072285818284,False,not_significant
Fzd3,-0.50338805,1.2866526381988434e-41,42.923435,30.280258,0.5967957276368492,0.3943615257048093,3745,3015,5.48435687032257e-40,e16,0.50338805,39.26087429316604,False,not_significant
Gabbr1,,1.124748562983445e-40,14.989859,-1.2051694,0.7644859813084112,0.5877280265339967,3745,3015,4.51222658796888e-39,e16,,38.345609099753055,False,not_significant
Fat3,-1.0113804,1.992695743748322e-40,35.03896,17.381824,0.30654205607476637,0.1558872305140962,3745,3015,7.550102762424197e-39,e16,1.0113804,38.12204713726484,True,downregulated
Fezf2,-0.5601673,4.5719726181682805e-39,48.554813,32.931015,0.45367156208277704,0.26169154228855723,3745,3015,1.6410975397846143e-37,e16,0.5601673,36.7848656055823,False,not_significant
Ephb1,-0.7670021,2.6292150367354735e-37,35.903614,21.098303,0.3847797062750334,0.224212271973466,3745,3015,8.965623275267964e-36,e16,0.7670021,35.04741951361986,True,downregulated
Slc35f1,-0.7255047,7.021622137399873e-37,43.77559,26.47484,0.3089452603471295,0.16749585406301823,3745,3015,2.2803553798603397e-35,e16,0.7255047,34.641997465506016,False,not_significant
Huwe1,-0.34645426,2.3908923252894192e-36,32.251514,25.366293,0.8750333778371161,0.7293532338308458,3745,3015,7.4117662083972e-35,e16,0.34645426,34.13007828822043,False,not_significant
Ncam1,-1.0303599,1.3416453333425915e-35,22.644827,11.086636,0.6061415220293725,0.4507462686567164,3745,3015,3.978270075389772e-34,e16,1.0303599,33.400305736980805,True,downregulated
Htra1,,2.0400640527059735e-35,11.0683565,-6.435785,0.260347129506008,0.1330016583747927,3745,3015,5.797182016439474e-34,e16,,33.236783063697835,False,not_significant
Lrrc4b,-0.38422468,5.406865850040519e-35,40.37083,30.931753,0.615754339118825,0.4417910447761194,3745,3015,1.4749930038910535e-33,e16,0.38422468,32.83121003960359,False,not_significant
Elavl2,-1.4136261,7.589120563419258e-35,25.942013,9.737777,0.242456608811749,0.11873963515754561,3745,3015,1.9906847016353593e-33,e16,1.4136261,32.700997521079316,True,downregulated
Mpzl1,-0.66621023,3.609186916241632e-33,33.744267,21.264282,0.49559412550066756,0.31807628524046433,3745,3015,9.116538803247383e-32,e16,0.66621023,31.040170015176376,False,not_significant
Gnb1,-0.6503967,4.297593131335492e-33,31.015633,19.760218,0.6251001335113484,0.4470978441127695,3745,3015,1.046770898418145e-31,e16,0.6503967,30.980148359811388,False,not_significant
Ntrk3,-0.51702553,1.1621555647215112e-32,36.415703,25.447699,0.508411214953271,0.3466003316749585,3745,3015,2.7330692935864507e-31,e16,0.51702553,30.56334935716913,False,not_significant
Adgrg1,-0.559338,3.379368331587796e-32,41.97125,28.482256,0.3500667556742323,0.21260364842454393,3745,3015,7.682430673809589e-31,e16,0.559338,30.11450135012369,False,not_significant
Ryk,-2.471742,3.7244104766014486e-32,17.306751,3.1199465,0.38744993324432575,0.23681592039800994,3745,3015,8.193703048523186e-31,e16,2.471742,30.08651977954869,True,downregulated
Nes,-0.23439045,8.859097976781264e-32,56.172916,47.749454,0.5343124165554072,0.36583747927031507,3745,3015,1.888095256301507e-30,e16,0.23439045,29.723976098892543,False,not_significant
Cdh24,-0.6179388,5.4942543939428415e-31,36.109592,23.529053,0.3527369826435247,0.2132669983416252,3745,3015,1.1354792414148539e-29,e16,0.6179388,28.94482080104917,False,not_significant
Gria2,,2.037821277511611e-30,9.062338,-8.073074,0.7230974632843792,0.554228855721393,3745,3015,4.087629739008585e-29,e16,,28.388528449856715,False,not_significant
Syp,-1.4765751,3.478270842612642e-30,20.447187,7.3475094,0.38878504672897196,0.25538971807628524,3745,3015,6.777659184748062e-29,e16,1.4765751,28.168920273489885,True,downregulated
Bmpr2,-0.37155604,3.887752315518503e-30,38.47972,29.742838,0.6408544726301736,0.46533996683250417,3745,3015,7.365130775510052e-29,e16,0.37155604,28.132819537405442,False,not_significant
Nfix,-0.18064542,4.403505589832593e-30,48.83677,43.08908,0.8403204272363151,0.6497512437810945,3745,3015,8.116731925042779e-29,e16,0.18064542,28.090618797435287,False,not_significant
Klhl24,-0.70335484,5.5700294137842766e-30,30.233727,18.567814,0.4432576769025367,0.28490878938640135,3745,3015,9.996737000528622e-29,e16,0.70335484,28.000141733391544,False,not_significant
Mapk8ip3,-0.9819906,1.3588586044759413e-28,23.509153,11.902231,0.6336448598130842,0.46500829187396353,3745,3015,2.3762604314169023e-27,e16,0.9819906,26.624105963636502,True,downregulated
Neurod2,-0.98973346,1.532197505950451e-28,26.03573,13.110834,0.5540720961281709,0.3641791044776119,3745,3015,2.6123967476455186e-27,e16,0.98973346,26.582960865594362,True,downregulated
Plxna1,-0.4817727,2.9512400769749422e-28,36.01386,25.789423,0.4162883845126836,0.2736318407960199,3745,3015,4.909135932919294e-27,e16,0.4817727,26.308994942212735,False,not_significant
Cdk6,2.465649,3.5697068542375057e-28,6.4533668,35.64681,0.08384512683578105,0.16849087893864012,3745,3015,5.7965239871189975e-27,e16,2.465649,26.236832362602435,True,upregulated
Efnb2,-0.44886652,6.042905318838067e-28,42.435165,31.088776,0.3471295060080107,0.21359867330016583,3745,3015,9.58432890104084e-27,e16,0.44886652,26.018438291213506,False,not_significant
Atp1a1,-0.65891856,9.546544377024741e-27,28.967615,18.346722,0.46862483311081443,0.32106135986733003,3745,3015,1.479714378438835e-25,e16,0.65891856,24.82982210611783,False,not_significant
Epb41l3,-0.5436461,1.0381154564695677e-26,35.919933,24.642328,0.36181575433911883,0.22388059701492538,3745,3015,1.5733216473605448e-25,e16,0.5436461,24.80318248183071,False,not_significant
Insm1,-0.41449666,1.9917238616248407e-26,45.906876,34.443066,0.3268357810413885,0.19800995024875623,3745,3015,2.9529471165829162e-25,e16,0.41449666,24.529744330610903,False,not_significant
Zfp609,-0.19765916,4.037663385541925e-26,40.303764,35.14344,0.7757009345794392,0.6119402985074627,3745,3015,5.847314352216401e-25,e16,0.19765916,24.233043557819432,False,not_significant
Top2a,-1.0493407,4.115411860797467e-26,24.940481,12.050964,0.2389853137516689,0.13034825870646766,3745,3015,5.847314352216401e-25,e16,1.0493407,24.233043557819432,True,downregulated
Epha7,-1.0240947,6.913025820105807e-26,21.287132,10.467282,0.5244325767690253,0.3648424543946932,3745,3015,9.621803284310531e-25,e16,1.0240947,24.016743526399548,True,downregulated
Nfasc,-0.19458744,8.923007651177227e-26,43.490425,38.002922,0.6021361815754339,0.45339966832504147,3745,3015,1.2170982436205737e-24,e16,0.19458744,23.914674364300556,False,not_significant
Cenpf,-0.94913006,1.099618332972576e-25,26.06903,13.5023155,0.24619492656875835,0.13897180762852404,3745,3015,1.470470006053523e-24,e16,0.94913006,23.83254382959846,True,downregulated
Foxg1,-0.46469757,5.193532254031436e-25,32.443573,23.509357,0.6141522029372497,0.4464344941956882,3745,3015,6.811517302402768e-24,e16,0.46469757,23.16675613586072,False,not_significant
Mdh2,-2.1834192,6.431241501036572e-25,16.08824,3.5418801,0.26408544726301736,0.15422885572139303,3745,3015,8.275673025862154e-24,e16,2.1834192,23.082196676762834,True,downregulated
Map2,-1.5877982,1.4215022367160505e-24,17.640612,5.8686566,0.37623497997329775,0.24510779436152572,3745,3015,1.7953046767413824e-23,e16,1.5877982,22.745861837782538,True,downregulated
Eomes,-1.2017462,1.6364951029953038e-24,31.505272,13.6968775,0.12843791722296397,0.05373134328358209,3745,3015,2.0292539277141767e-23,e16,1.2017462,22.692663604763126,True,downregulated
Plxna2,-0.060912885,8.254660816985801e-24,52.10705,49.95281,0.6720961281708945,0.5233830845771145,3745,3015,1.0052997637829137e-22,e16,0.060912885,21.997704419492006,False,not_significant
Sall1,-1.6376277,9.706519676584145e-24,18.877573,6.0669594,0.23097463284379172,0.13333333333333333,3745,3015,1.1613765648123487e-22,e16,1.6376277,21.9350269417566,True,downregulated
