names,scores,logfoldchanges,pvals,pvals_adj
Dsp,28.531996,,4.6986352172912615e-179,4.510689808599611e-176
Tiam1,25.250317,,1.123519174079613e-140,2.6964460177910714e-138
Adcy1,24.210752,5.965784,1.7141291298668032e-129,2.742606607786885e-127
Prox1,22.560173,,1.0670544138345157e-112,1.4633889104016215e-110
Plxna4,19.938423,2.0674682,1.8892767054139366e-88,1.648823306543072e-86
Fam163b,19.818302,,2.069748877988001e-87,1.6557991023904006e-85
Ptprj,18.236536,2.7123637,2.647117240609326e-74,1.6941550339899685e-72
Sparcl1,17.694166,-1.5481575,4.650660227197667e-70,2.480352121172089e-68
C1ql3,17.05292,,3.3250227736545883e-65,1.5200104108135261e-63
Rasgrf2,16.17756,,7.261395234396265e-59,2.788375770008166e-57
Stxbp6,15.79776,,3.2237163058011854e-56,1.1462102420626437e-54
Camk2b,14.612254,0.6616654,2.3462622381628256e-48,7.766937064263147e-47
Gria2,14.557001,0.9589258,5.272067430940797e-48,1.687061577901055e-46
Gng7,14.4035015,5.817004,4.918725149312114e-47,1.5232181107547192e-45
Sema5a,14.228169,6.064429,6.1264665393199e-46,1.6804022507848867e-44
Ncam1,13.394251,5.732946,6.533177787991594e-41,1.650487020124192e-39
Grik2,13.315654,2.234012,1.877215521024029e-40,4.6208382055976096e-39
Epb41l1,13.306921,2.4673977,2.109995908888539e-40,5.063990181332494e-39
Grik3,13.182896,,1.1008335000710885e-39,2.5775613660201096e-38
Zbtb20,13.1713915,0.6174265,1.2821283923084894e-39,2.9305791824194047e-38
Ngef,13.088008,,3.8558831107924215e-39,8.225883969690499e-38
Nfib,12.9779215,1.5501456,1.6325052203524275e-38,3.4069674163876745e-37
Ntrk3,12.940471,1.8460206,2.6599553001350015e-38,5.3199106002700025e-37
Grm2,12.837396,,1.0122247591875793e-37,1.983134222081788e-36
Cplx2,12.119862,0.83080834,8.289898197384779e-34,1.5304427441325744e-32
Atp1a1,11.901326,3.201934,1.164807609415837e-32,2.1098401981871763e-31
Slc2a13,11.629176,,2.929122221541768e-31,4.8482022977243054e-30
Jun,11.490498,,1.4726181564647788e-30,2.356189050343646e-29
Epha7,11.32268,0.8379301,1.0132522862078873e-29,1.5946265487861833e-28
Axin2,10.544352,,5.394376688657091e-26,7.846366092592132e-25
Lrrc4,10.251544,2.373298,1.1646833697050264e-24,1.6442588748776843e-23
Slc4a4,10.218081,,1.6456606039638325e-24,2.2896147533409845e-23
Camk2g,9.9490795,,2.5452691377807216e-23,3.4906548175278465e-22
Kcnj3,9.89559,5.081639,4.350389365532409e-23,5.882216606917059e-22
Grin1,9.532289,0.63089454,1.5385404814720613e-21,1.9959444083961876e-20
Bcl6,9.499078,2.9815912,2.1175778695879607e-21,2.6748352036900557e-20
Trpc6,9.248298,,2.2809682158320587e-20,2.7718094774668057e-19
Sema6d,8.782551,,1.598080413535102e-18,1.8048908199925856e-17
Gnal,8.350393,,6.803615693017135e-17,7.422126210564147e-16
Cadm1,8.151633,,3.590419809350863e-16,3.8297811299742534e-15
Ptk2,8.133118,,4.183886563932843e-16,4.4137704410720105e-15
Camkk1,8.090208,1.1347038,5.956281911921597e-16,6.215250690700797e-15
Efnb3,7.954931,,1.792319905327478e-15,1.8304543713982756e-14
Slit1,7.6928144,1.919092,1.4393326420244414e-14,1.4244941611788285e-13
Tanc1,7.681982,1.0083739,1.5664574794861593e-14,1.5344889594966458e-13
Zfp609,7.638527,2.0260313,2.1972092940400175e-14,2.1306271942206232e-13
Kcnd2,7.2896686,0.95900935,3.1071861482852445e-13,2.8681718291863794e-12
Apcdd1,7.131005,,9.963880479194387e-13,8.939556317781878e-12
Ddx5,6.9908566,,2.7321238318808394e-12,2.4062742005556016e-11
Ankrd11,6.987498,1.2345045,2.7983151954389517e-12,2.4421659887467215e-11
Bhlhe22,6.847938,1.8906674,7.492210651082005e-12,6.365063915963474e-11
Nfia,6.663705,,2.6700924218863627e-11,2.1908450641118873e-10
Gabbr2,6.534221,1.6736032,6.394133396801194e-11,5.202006831295887e-10
Gabrd,6.4541125,,1.0885473709236506e-10,8.708378967389205e-10
Neurod2,6.0991664,0.41009185,1.0662305060800165e-09,8.254687789006578e-09
Tafa2,6.0551653,1.816838,1.402734179120197e-09,1.0772998495643112e-08
Dlgap1,5.9994926,0.8767196,1.9793514574526817e-09,1.4845135930895113e-08
Nfix,5.975057,,2.300098991031871e-09,1.711701574721392e-08
Huwe1,5.941552,,2.8233550546059085e-09,2.0849391172474403e-08
Adcy2,5.8852916,1.3876375,3.973526734189417e-09,2.8898376248650306e-08
Arhgef2,5.870681,2.1324563,4.34009566361281e-09,3.1327006293746594e-08
Slit3,5.8532987,1.1453696,4.819177292039126e-09,3.452544925639971e-08
Nrn1,5.790572,,7.014707835737903e-09,4.986336537032116e-08
Unc13a,5.6982875,0.5453828,1.210166967989168e-08,8.298287780497151e-08
Robo3,5.691486,3.9188576,1.2593844953714734e-08,8.574532734444073e-08
