12,11,21,2,14,3,6,13,17,19,4,22,20,8,10,9,5
Ttc28,Mfge8,Nfix,Stxbp1,Axin2,Foxg1,Rhob,Arx,Cdh4,Plxnb1,Gng4,Bin1,Lrrc4b,Gabbr1,Ccnd2,Sptan1,Astn1
Sema7a,Draxin,Nrn1,Syt6,Ubc,Nfasc,Pdgfb,Sp9,Gli3,Glul,Mrc1,Ptgs1,Grik3,Atp1a3,Pax6,Slit3,Cnr1
Cacna1b,Plxnb1,Epha7,Cntn1,Mest,Gria2,Gnas,Grik1,Plxnb1,Smo,Wwp1,Atp6v0a1,Lmnb1,Nr2f1,Atp6v1a,Mfge8,Nfia
Stmn2,Sema5b,Robo2,Tbr1,Lpar1,Plxna2,Atp1a2,Ptprm,Clu,Ptch1,Rasd1,Gnai2,Erbb4,Grik3,Epb41l3,Ptch1,Pde2a
Stxbp1,Nr2e1,Adgrg1,Nr4a3,Wnt5a,Cntn2,Efna1,Trpc4,Msi2,Cldn2,Prkcg,Rhob,Bmp7,Gria1,Mdk,March6,Olig1
Camk2b,Meis2,Apcdd1,Cacna1b,Slc38a3,Epha4,Cobll1,Dlgap1,Ntn1,Msi2,Cdh9,Pik3cd,Vim,Unc13a,Kcng4,Sfxn5,Cldn18
Fgfr1,Sox1,Pax6,Dnm1,Gsn,Chrnb2,Col3a1,Cadm1,Tanc1,Ccdc141,Thrsp,Bmp7,Sema6d,Slitrk1,Robo3,Fbxw11,Snhg11
Gria1,Jun,Neurod1,Plxna2,Prickle2,Slc17a6,Srgap1,Syt1,Jam2,Ubc,Pdcd1,Atp1a2,Ptprz1,Gnao1,Nlgn2,Atp6v1a,Nfix
Cacna2d1,Cdh2,Nfia,Crmp1,Nr2f1,Lrp8,Itpr3,Grin1,Vim,Syne2,Syt1,P2ry13,Fxyd6,Stxbp1,Robo1,Srgap2,Ephb6
Neurod1,Lmnb1,Cdh4,Sema4g,Mpzl1,Mex3a,Lef1,Gng2,Fabp7,Dsp,Stx18,Ankrd11,Jam2,Dcx,Sema4a,Pou3f3,Negr1
Zbtb20,Tnfrsf19,Cplx2,Neurod6,Gnai2,Efnb2,Slc38a2,Stmn2,Htra1,Folr1,P2ry1,Ubc,Cdkn2c,Snhg11,Pik3ca,Sema6d,Ankrd11
Kcnq2,Efnb1,Eomes,Bin1,Ngfr,Slitrk1,Ptprb,Cacna2d2,Gnai2,Cldn3,Slitrk3,Idh2,Itgb1,Apba1,Dnm1,Tanc1,Lhx1
Foxg1,Epha4,Nfasc,Shank1,Kit,Ntng2,Glul,Shank1,Vcan,Tead1,Aqp4,Huwe1,Omg,Gabrb3,Chd7,Sqstm1,Bad
