0,1,2,4,5,6,8,10,11,14,15,16,17,18,19,20
Sparcl1,Atp1a3,Ubc,Pdgfra,Snhg11,Atp1a3,Cldn5,Gria1,Snhg11,Nfib,Zbtb20,Atp1a2,Laptm5,Gpr17,Atp1a1,Reln
Atp1a2,Stxbp1,Atp1a3,Olig2,Atp1a3,Ubc,Cdh5,Grin2a,Atp1a3,Chd7,Nfib,Sparcl1,Csf1r,Sox10,Idh2,Snhg11
Slc1a2,Gria1,Calm1,Sox10,Erbb4,Stxbp1,Apcdd1,Atp1a3,Dnm1,Ccnd2,Epha4,Lamb1,C1qb,Mbp,Slc38a1,Ndnf
Fabp7,Calm1,Stxbp1,Cntn1,Grik1,Tcf7l2,Ptprm,Epha6,Grik1,Ptprs,Neurod1,Apcdd1,P2ry12,Tcf7l2,Foxj1,Cacna2d1
Aqp4,Pak3,Crmp1,Kcnip3,Dnm1,Dnm1,Sparcl1,Neurod6,Stxbp1,Mki67,Prox1,Cdh5,Pld4,Itpr2,Sox9,Bin1
Grm3,Crmp1,Stmn2,Gpr17,Gria1,Stx1b,Pecam1,Dnm1,Gls,Top2a,Sox11,Vim,Hpgds,Olig2,Vim,Trp73
Htra1,Tubb3,Frrs1l,Sdc3,Stxbp1,Stmn2,Cd34,Gria2,Grin1,Cenpf,Gria2,Col3a1,Cx3cr1,Plp1,Ccdc153,Rgs4
Gabbr1,Dnm1,Rab3a,Cspg4,Gad1,Eef1a2,Lef1,Stxbp1,Srgap1,Meis2,Plxna4,Pdgfrb,Sall1,Nfasc,Clu,Cxcl12
Ptprz1,Neurod2,Cplx2,Chd7,Cux2,Gad1,Vim,Crmp1,Cadm1,Sox4,Ptprs,Axin2,Ptprj,Grik3,Msi2,Diablo
Gfap,Epb41l1,Tubb3,Erbb4,Ptprm,Syt1,Mpzl1,Epha7,Stmn2,Sox11,Plxna2,Cxcl12,P2ry13,Mpzl1,Clic6,Nhlh2
