,Cluster_0,Cluster_1,Cluster_2,Cluster_4,Cluster_5,Cluster_6,Cluster_8,Cluster_10,Cluster_11,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20
Cluster_0,1.0,0.3774286466490634,0.53702828730168,0.5739297675342706,0.4274980882316485,0.5021478484363502,0.4079403223872197,0.2974382736627425,0.3943233067950921,0.5406381403475902,0.40000455188664885,0.3931678368727271,0.23181500601384827,0.28346491470101864,0.3273834345927335,0.25529213561282804
Cluster_1,0.37742864664906334,0.9999999999999998,0.7885914433868553,0.38864181347002996,0.7073620315273801,0.6259100356358854,0.2452540175450608,0.8028593359548463,0.6650864260664846,0.277936789996686,0.4958963749570397,0.18267044490327247,0.10833134057950261,0.1845262153066767,0.08530532418272754,0.25945895107085376
Cluster_2,0.53702828730168,0.7885914433868553,1.0,0.47017652263938864,0.7255668608074405,0.783715988351638,0.3364434678941269,0.7412891794521914,0.6481057688301403,0.3484690322877594,0.512443907402644,0.25622120292914424,0.1937938211378401,0.23032862921820216,0.15011700889460722,0.27568991796603404
Cluster_4,0.5739297675342706,0.38864181347002996,0.47017652263938864,1.0,0.43255544200078083,0.42052414799784654,0.29674640646813033,0.3226724678802351,0.416763325076823,0.47632775171534375,0.3575297935723636,0.29750079540829677,0.17023921281706508,0.5232839371034075,0.20657377598359683,0.18429479247398164
Cluster_5,0.4274980882316484,0.7073620315273801,0.7255668608074405,0.4325554420007809,1.0,0.6733900949982444,0.234381516633188,0.6512189704025559,0.7783311127086977,0.3659996640924053,0.45718648628423497,0.18287333370618067,0.10078556013558826,0.20887427758371424,0.10742288788658405,0.2947402622219922
Cluster_6,0.5021478484363502,0.6259100356358854,0.783715988351638,0.42052414799784654,0.6733900949982443,1.0,0.295586871276056,0.5303155361778917,0.6428998445759513,0.25925211291763484,0.3410616684150265,0.23754716317123462,0.16508208998169416,0.24116546957113796,0.16589630798089314,0.26190740873338486
Cluster_8,0.4079403223872198,0.2452540175450608,0.3364434678941269,0.2967464064681304,0.23438151663318796,0.295586871276056,1.0,0.1842510224493866,0.223123193576677,0.2888826288760739,0.24532807518937613,0.568074886475622,0.2000491066942017,0.1806934804057479,0.24951318667371794,0.1414691495728218
Cluster_10,0.29743827366274256,0.8028593359548463,0.7412891794521914,0.3226724678802351,0.6512189704025559,0.5303155361778917,0.1842510224493866,1.0,0.6041677177590262,0.24533731666245637,0.5729895599531721,0.12863035662311853,0.06845618594432548,0.1440360169595298,0.09034677878190965,0.19466327622824417
Cluster_11,0.3943233067950921,0.6650864260664847,0.6481057688301404,0.41676332507682295,0.7783311127086977,0.6428998445759513,0.22312319357667698,0.6041677177590263,0.9999999999999998,0.28299757074649523,0.42762918641627334,0.18445464536725956,0.1126906499000964,0.25038093359744323,0.1262484832778285,0.2890924745038077
Cluster_14,0.5406381403475902,0.277936789996686,0.34846903228775944,0.47632775171534375,0.3659996640924053,0.25925211291763484,0.2888826288760739,0.2453373166624564,0.28299757074649523,1.0,0.5212190965168534,0.26253842353803514,0.1451023726529914,0.20796510503099638,0.2826651875638461,0.1671432067853996
Cluster_15,0.40000455188664885,0.4958963749570397,0.512443907402644,0.3575297935723636,0.457186486284235,0.34106166841502655,0.24532807518937613,0.5729895599531721,0.42762918641627334,0.5212190965168534,0.9999999999999999,0.19672316421477545,0.08357127116858981,0.18729671199288367,0.1688477757157002,0.21128827719969792
Cluster_16,0.3931678368727271,0.1826704449032725,0.25622120292914424,0.2975007954082967,0.18287333370618067,0.23754716317123462,0.5680748864756219,0.12863035662311853,0.18445464536725956,0.26253842353803514,0.19672316421477545,1.0,0.20516374768437406,0.16483085058447813,0.2856676004196684,0.20827900616909725
Cluster_17,0.2318150060138483,0.10833134057950261,0.1937938211378401,0.17023921281706508,0.10078556013558825,0.16508208998169416,0.20004910669420173,0.0684561859443255,0.11269064990009642,0.14510237265299142,0.08357127116858981,0.20516374768437406,1.0,0.09903587072086555,0.10476514162069471,0.06975664522813671
Cluster_18,0.28346491470101864,0.1845262153066767,0.23032862921820219,0.5232839371034075,0.20887427758371424,0.24116546957113794,0.18069348040574792,0.1440360169595298,0.25038093359744323,0.20796510503099638,0.1872967119928837,0.16483085058447813,0.09903587072086555,1.0,0.12179448959398981,0.0775593767277428
Cluster_19,0.3273834345927335,0.08530532418272754,0.15011700889460722,0.20657377598359683,0.10742288788658406,0.16589630798089314,0.24951318667371797,0.09034677878190965,0.12624848327782848,0.2826651875638461,0.1688477757157002,0.2856676004196683,0.1047651416206947,0.1217944895939898,1.0,0.1426509529851719
Cluster_20,0.25529213561282804,0.25945895107085376,0.27568991796603404,0.18429479247398164,0.2947402622219922,0.2619074087333849,0.1414691495728218,0.1946632762282442,0.2890924745038077,0.1671432067853996,0.21128827719969795,0.20827900616909725,0.06975664522813671,0.07755937672774278,0.1426509529851719,1.0
