4,14,3,15,18,5,7,21,16,2,17,9,22,11,0.0,0.1,19,6,1,10,13,23,20,12
Gria2,Pax6,Col3a1,Tubb3,Clic6,Gria1,Gria2,Trp73,Cx3cr1,Nr4a3,Cxcr4,Neurod1,Emx2,Mki67,Cntn2,Zbtb20,Fgfr1,Dio2,Gfap,Olig2,Npy2r,Pdlim4,Ccdc153,Mbp
Neurod6,Vim,Cdh5,Gng10,Igfbp2,Erbb4,Neurod2,Cacna2d2,Apoe,Tubb3,Neurog2,Tubb3,Tubb3,Cenpf,Ptprs,Dcc,Zbtb20,Ccnd2,Llgl1,Sox10,Erbb4,Efhd2,Tubb3,Dhx16
Neurod2,Ccdc80,Sparcl1,Llgl1,Foxj1,Lhx6,Foxg1,Bin1,Csf1r,Gria1,Gmnn,Gnao1,Mpped1,Top2a,Gria2,Nfib,Gria1,Hopx,Mdga1,Sdc3,Gria1,Slc4a4,Grik2,Alg13
Cntn2,Sox9,Lamb1,Pou3f3,Cdh3,Atp1a3,Robo1,Reln,Laptm5,Slit3,Ccnb1,Pou3f3,Dcc,Vim,Neurod2,Nr4a1,Epb41l1,Tead1,Dcc,Cntn1,Ncam1,Sox4,Sema7a,Atp6v1g1
Sox11,Sox2,Pdgfra,Mdga1,Ptprm,Grik3,Cntn2,Nhlh2,Pld4,Robo1,Cd86,Slc6a1,Pou3f3,Pax6,Atp6v1f,Nrn1,Nfix,Nrn1,Pou3f3,Olig1,Gng2,Srgap1,Cldn5,Psen2
Grik2,Chd7,Vim,Lhx1,Bmp7,Cux2,Neurod6,Ccnd2,C1qb,Epb41l1,Pax6,Cntn2,Homer2,Cenpe,Sema3d,Prox1,Neurod1,Lmnb2,Gnao1,Pdgfra,Slc32a1,Lhx6,Stxbp1,Gabra4
Cnr1,Gli3,Ubc,Cdk6,Clu,Cadm1,Tubb3,Cdh4,Efhd2,Camk2b,Sdc4,Cnr1,Socs7,Draxin,Thrsp,Pld4,Srgap3,Nipbl,Pax2,Ptprz1,Gad1,Cux2,Bin1,Syt2
Nfasc,Pou3f3,Gnas,Pax2,Itpr1,Gad1,Sox11,Lhx5,Ptprj,Gnao1,Clu,Cadm3,Pax2,Pou3f2,Id3,Fbxo38,Neurod6,Igfbpl1,Gls2,Nptx2,Atp1a3,Plxna4,Zbtb20,Nfe2l2
Nfib,Rgma,Cldn5,Alg13,Kit,Slc6a1,Cnr1,Nfasc,Gnai2,Gls2,Gnao1,Unc5a,Nrxn3,Pou3f3,Nr4a2,Chd7,Pomc,Ccdc80,Cd70,Kcnd2,Grin1,Cul1,Plxnb1,Atp6v1e1
Crmp1,Plxnb1,Pdgfrb,Syt2,Lef1,Epb41l1,Nfix,Cacna2d1,Hpgds,Stmn2,Fam163b,Slc38a1,Ntn3,Rgma,Rims1,Syn1,Dnajc5,Apba1,Prex2,Grk3,Cadm1,Adgrg1,Draxin,Sema4d
Unc13a,Draxin,Atp1a2,Cadm3,Glul,Mpped1,Stxbp1,Lhx1,C1qa,Crmp1,Tuba4a,Sema4d,Syt6,Gli3,Grm2,Gria1,Epha8,Slc6a1,Adcy2,Vim,Dlgap1,Casp3,Cdh2,Nlgn1
Foxg1,Id4,Gnai2,Prex2,Syne2,Gad2,Satb2,Ndnf,Tmem119,Tgfb2,Atp6v1c1,Clstn2,Plcb1,Nfix,Aldh1l1,Grik2,Grin2b,Axin2,Lrp6,Nes,Gad2,Idh2,Lamp5,Pdgfrb
Plxna2,Mki67,Apcdd1,Homer2,Sox9,Slc32a1,Nfib,Vcan,Grk2,Nrp1,Ntng1,Grik2,Cd8a,Ncam1,Itga4,Cntnap2,Sema4f,Cplx2,Ntn3,Sox9,Syt1,Ptk2,Tigit,Apoe
Igfbpl1,Htra1,Mpzl1,Cd70,Ubc,Sox2,Plxna2,Kit,Itga9,Slitrk1,Gng5,Cd24a,Sema4b,Ctnnb1,Stx3,Chrnb2,Rara,Sall3,Sall3,Mest,Pik3ca,Gad1,Nfib,Rgs3
Zbtb20,Cdh2,Ptprm,Creb1,Msi2,Cacna1b,Nrp1,Srgap3,C1qc,Gnai1,Six3,Gabbr2,Epha3,Fabp7,Rhoa,Slc6a3,Unc13a,Pou3f3,Nr2e1,Nkx2-1,Mpped1,Meis2,Gnb3,Sema6d
Tubb3,Boc,Mest,Socs7,Gnas,Nxph1,Ptprs,Robo2,Vsir,Gabra5,Chrna4,Dnm1,Nlgn1,Syne2,Hras,S100b,Gria2,Cadm3,Neo1,Gnai2,Grin2b,Ddx3x,Chrm2,Sema4c
Epha4,Sall1,Ephb4,Itgb2l,Idh2,Grik1,Ncam1,Stxbp1,P2ry13,Mag,Sp8,Cacna2d1,Cacna1a,Mfge8,Cacna2d1,Lamp5,Sox11,Mdh1,Cadm3,Lrrc4b,Epb41l1,Sema6a,Gng5,Mki67
Gria1,Mfge8,Tcf7l2,Wnt5b,Mest,Shank1,Robo2,Slitrk5,Mrc1,Gria2,Dicer1,Mapk3,Diablo,Sox2,Pla2g4a,Tubb3,Elavl2,Hes1,Ntsr2,Cspg4,Stxbp1,Robo2,Dlg4,Grk3
Bhlhe22,Gnao1,Pecam1,Reln,Cntn1,Dlx2,Crmp1,Msi2,Ptgs1,Grik3,Nr4a2,Plcb1,Slitrk6,Atp1a1,Slc6a2,Omg,Chat,Cdkn2c,Oprm1,Slitrk1,Crmp1,Rbfox2,Rac3,Lamb1
Ttc28,Axin2,Cldn11,Gnb5,Axin2,Arx,Mpped1,Fat3,P2ry12,Pax2,Dhx16,Prox1,Apoe,Gnao1,Mog,Fas,Fubp1,Sox9,Aqp4,Atp6v0e2,Sox1,Lhx1,Folr1,Srgap1
Neurod1,Cenpf,Slc38a3,Sdc4,Cldn3,Crmp1,Atp1a3,Snhg11,Bin1,Cldn8,Slc17a6,Plxna4,Chd7,Ankrd11,Cldn16,Fbxo2,Cdh9,Chd7,Sec22b,Gpr17,Dpysl2,Pecam1,Rras2,Neo1
Mpped1,Sema5b,Tanc1,Lockd,Plxnb1,Trpc4,Bhlhe22,Rgs4,Plcg2,Icam2,Fgf12,Syt2,Sdc4,Ssh2,Plxnb3,Robo3,Sv2a,Adcy3,Wnt5b,Tet2,Slc6a1,Cntn2,Nrxn2,Ptpn11
Sema7a,Nfia,Wnt4,Cd86,Igf1r,Ncam1,Grin2b,Draxin,Mast3,Slc1a6,Acta2,Cd86,Lrp6,Epha4,Stap1,Cstb,Gal,S100a6,Crip2,Sall3,Rbfox2,Top2a,Bcl6,Ankrd11
Nr4a3,Cdh4,Cxcl12,Nr4a1,Tead1,Astn1,Nfasc,Ptprs,Itgam,Kcnh1,Alg13,Igfbpl1,Tenm1,Cd9,Vip,Cck,Cep44,Six3,Cenpa,Akt2,Cacna1b,Lrp6,Vldlr,Syne2
Ptprs,Gnai2,Bmp5,Ntn3,Cldn2,Sox11,Camk2b,Grin1,Pik3cd,Cck,Prlr,Dlx2,Llgl1,Huwe1,Cd4,Best1,Slc17a8,Lrp8,Ephb4,Nlgn2,Arhgef12,Pou3f2,Pvr,Gnao1
