bin_id,center_x,center_y,n_cells,total_transcripts
bin_0_4,10116.4,6804.07,10,3058.5269
bin_0_5,10116.4,6904.07,13,4518.471
bin_0_6,10116.4,7004.07,25,7782.71
bin_0_7,10116.4,7104.07,31,7797.8066
bin_0_8,10116.4,7204.07,44,14716.406
bin_0_9,10116.4,7304.07,62,20466.605
bin_0_10,10116.4,7404.07,34,10404.389
bin_1_0,10216.4,6404.07,21,7351.408
bin_1_1,10216.4,6504.07,8,2447.159
bin_1_2,10216.4,6604.07,17,5325.4795
bin_1_3,10216.4,6704.07,12,4143.8867
bin_1_4,10216.4,6804.07,17,5156.8613
bin_1_5,10216.4,6904.07,9,2457.1624
bin_1_6,10216.4,7004.07,17,5225.567
bin_1_7,10216.4,7104.07,23,5260.072
bin_1_8,10216.4,7204.07,29,7837.6
bin_1_9,10216.4,7304.07,38,13620.72
bin_1_10,10216.4,7404.07,44,15224.651
bin_1_11,10216.4,7504.07,41,13550.5625
bin_2_0,10316.4,6404.07,17,5351.137
bin_2_1,10316.4,6504.07,23,7381.5894
bin_2_2,10316.4,6604.07,31,9665.678
bin_2_3,10316.4,6704.07,17,5414.423
bin_2_4,10316.4,6804.07,15,4267.543
bin_2_5,10316.4,6904.07,27,8679.256
bin_2_6,10316.4,7004.07,49,15087.8
bin_2_7,10316.4,7104.07,40,11270.548
bin_2_8,10316.4,7204.07,60,17480.674
bin_2_9,10316.4,7304.07,25,8867.845
bin_2_10,10316.4,7404.07,44,14021.42
bin_2_11,10316.4,7504.07,30,9714.848
bin_3_0,10416.4,6404.07,29,9343.285
bin_3_1,10416.4,6504.07,32,10084.01
bin_3_2,10416.4,6604.07,31,10050.973
bin_3_3,10416.4,6704.07,37,11375.094
bin_3_4,10416.4,6804.07,40,11111.005
bin_3_5,10416.4,6904.07,48,14901.299
bin_3_6,10416.4,7004.07,45,13965.514
bin_3_7,10416.4,7104.07,30,10286.549
bin_3_8,10416.4,7204.07,76,20975.043
bin_3_9,10416.4,7304.07,58,17664.111
bin_3_10,10416.4,7404.07,39,11369.253
bin_4_0,10516.4,6404.07,23,8770.092
bin_4_1,10516.4,6504.07,29,10460.658
bin_4_2,10516.4,6604.07,25,7749.404
bin_4_3,10516.4,6704.07,30,9429.854
bin_4_4,10516.4,6804.07,25,6872.948
bin_4_5,10516.4,6904.07,28,8825.949
bin_4_6,10516.4,7004.07,29,9403.559
bin_4_7,10516.4,7104.07,33,12587.3545
bin_4_8,10516.4,7204.07,38,11329.611
bin_4_9,10516.4,7304.07,36,11029.941
bin_4_10,10516.4,7404.07,46,11917.013
bin_5_0,10616.4,6404.07,21,7111.864
bin_5_1,10616.4,6504.07,27,8716.936
bin_5_2,10616.4,6604.07,34,11187.195
bin_5_3,10616.4,6704.07,28,10119.14
bin_5_4,10616.4,6804.07,18,6483.8604
bin_5_5,10616.4,6904.07,32,12281.727
bin_5_6,10616.4,7004.07,41,15462.342
bin_5_7,10616.4,7104.07,52,20698.465
bin_5_8,10616.4,7204.07,25,7057.1875
bin_6_0,10716.4,6404.07,33,9914.099
bin_6_1,10716.4,6504.07,36,11385.732
bin_6_2,10716.4,6604.07,41,12821.282
bin_6_3,10716.4,6704.07,17,5081.952
bin_6_4,10716.4,6804.07,31,11677.853
bin_6_5,10716.4,6904.07,30,11973.68
bin_6_6,10716.4,7004.07,62,24022.979
bin_7_0,10816.4,6404.07,26,8690.221
bin_7_1,10816.4,6504.07,25,8251.928
bin_7_2,10816.4,6604.07,29,9134.666
bin_7_3,10816.4,6704.07,45,15077.285
bin_7_4,10816.4,6804.07,34,10718.332
bin_7_5,10816.4,6904.07,41,15493.133
bin_7_6,10816.4,7004.07,37,15288.608
bin_7_7,10816.4,7104.07,45,18829.592
bin_8_0,10916.4,6404.07,11,3423.6
bin_8_1,10916.4,6504.07,16,4910.3687
bin_8_2,10916.4,6604.07,30,10292.584
bin_8_3,10916.4,6704.07,32,10241.379
bin_8_4,10916.4,6804.07,35,11641.506
bin_8_5,10916.4,6904.07,24,8963.312
bin_8_6,10916.4,7004.07,38,14268.929
bin_8_7,10916.4,7104.07,38,16065.931
bin_8_8,10916.4,7204.07,43,15904.578
bin_9_1,11016.4,6504.07,2,529.3164
bin_9_2,11016.4,6604.07,19,6399.5645
bin_9_3,11016.4,6704.07,26,7796.1
bin_9_4,11016.4,6804.07,25,7159.7617
bin_9_5,11016.4,6904.07,41,12989.317
bin_9_6,11016.4,7004.07,51,17216.945
bin_9_7,11016.4,7104.07,58,21863.738
bin_9_8,11016.4,7204.07,61,22497.605
bin_10_2,11116.4,6604.07,5,1567.7234
bin_10_3,11116.4,6704.07,16,5334.177
bin_10_4,11116.4,6804.07,18,5703.0312
bin_10_5,11116.4,6904.07,49,16750.676
bin_10_6,11116.4,7004.07,56,19073.018
bin_10_7,11116.4,7104.07,50,18566.127
bin_10_8,11116.4,7204.07,75,28312.348
bin_10_9,11116.4,7304.07,52,20022.691
bin_11_2,11216.4,6604.07,3,1171.0562
bin_11_3,11216.4,6704.07,8,2733.5078
bin_11_4,11216.4,6804.07,17,6150.3867
bin_11_5,11216.4,6904.07,19,6597.8325
bin_11_6,11216.4,7004.07,38,12268.232
bin_11_7,11216.4,7104.07,40,14850.835
bin_11_8,11216.4,7204.07,28,10603.782
bin_11_9,11216.4,7304.07,56,20260.422
bin_12_3,11316.4,6704.07,28,12594.866
bin_12_4,11316.4,6804.07,42,16444.654
bin_12_5,11316.4,6904.07,28,10808.213
bin_12_6,11316.4,7004.07,39,15151.283
bin_12_7,11316.4,7104.07,25,10389.447
bin_12_8,11316.4,7204.07,38,14417.215
bin_12_9,11316.4,7304.07,47,18802.604
