bin_id,center_x,center_y,n_cells,total_transcripts
bin_0_11,2319.48,9152.25,39,18069.645
bin_0_12,2319.48,9252.25,37,12395.015
bin_0_13,2319.48,9352.25,41,14726.723
bin_0_14,2319.48,9452.25,17,4147.2607
bin_1_10,2419.48,9052.25,35,13163.695
bin_1_11,2419.48,9152.25,25,6791.6895
bin_1_12,2419.48,9252.25,22,4911.2314
bin_1_13,2419.48,9352.25,29,9836.915
bin_1_14,2419.48,9452.25,20,5104.4985
bin_2_3,2519.48,8352.25,17,5450.207
bin_2_4,2519.48,8452.25,23,6702.538
bin_2_5,2519.48,8552.25,18,5595.0176
bin_2_6,2519.48,8652.25,30,8779.621
bin_2_7,2519.48,8752.25,14,4730.7495
bin_2_8,2519.48,8852.25,15,4947.443
bin_2_9,2519.48,8952.25,29,9492.689
bin_2_10,2519.48,9052.25,24,5441.977
bin_2_11,2519.48,9152.25,16,3365.5186
bin_2_12,2519.48,9252.25,38,12229.064
bin_2_13,2519.48,9352.25,29,10271.585
bin_2_14,2519.48,9452.25,24,6695.3564
bin_3_1,2619.48,8152.25,1,360.9553
bin_3_2,2619.48,8252.25,21,6434.816
bin_3_3,2619.48,8352.25,20,5735.083
bin_3_4,2619.48,8452.25,18,4486.01
bin_3_5,2619.48,8552.25,12,3251.3564
bin_3_6,2619.48,8652.25,17,4833.98
bin_3_7,2619.48,8752.25,25,5636.5776
bin_3_8,2619.48,8852.25,23,4872.2695
bin_3_9,2619.48,8952.25,21,4645.264
bin_3_10,2619.48,9052.25,34,8688.357
bin_3_11,2619.48,9152.25,25,8340.982
bin_3_12,2619.48,9252.25,23,7686.366
bin_4_0,2719.48,8052.25,25,8059.291
bin_4_1,2719.48,8152.25,21,5352.7275
bin_4_2,2719.48,8252.25,18,4253.3516
bin_4_3,2719.48,8352.25,19,6599.5728
bin_4_4,2719.48,8452.25,26,9741.672
bin_4_5,2719.48,8552.25,34,12039.824
bin_4_6,2719.48,8652.25,17,6164.342
bin_4_7,2719.48,8752.25,11,2598.839
bin_4_8,2719.48,8852.25,19,4737.419
bin_4_9,2719.48,8952.25,19,4720.257
bin_4_10,2719.48,9052.25,25,8563.165
bin_5_0,2819.48,8052.25,36,11046.044
bin_5_1,2819.48,8152.25,11,3079.4414
bin_5_2,2819.48,8252.25,17,6029.123
bin_5_3,2819.48,8352.25,56,19335.07
bin_5_4,2819.48,8452.25,43,14616.656
bin_5_5,2819.48,8552.25,42,15355.781
bin_5_6,2819.48,8652.25,55,19787.375
bin_5_7,2819.48,8752.25,26,10285.829
bin_5_8,2819.48,8852.25,22,5753.038
bin_5_9,2819.48,8952.25,16,4101.3203
bin_5_10,2819.48,9052.25,29,10059.516
bin_6_0,2919.48,8052.25,24,9256.275
bin_6_1,2919.48,8152.25,14,4118.198
bin_6_2,2919.48,8252.25,32,12982.596
bin_6_3,2919.48,8352.25,48,18011.066
bin_6_4,2919.48,8452.25,24,7779.165
bin_6_5,2919.48,8552.25,21,6629.759
bin_6_6,2919.48,8652.25,21,7325.7754
bin_6_7,2919.48,8752.25,54,21074.256
bin_6_8,2919.48,8852.25,27,9096.342
bin_6_9,2919.48,8952.25,27,9027.824
bin_7_0,3019.48,8052.25,23,6580.3843
bin_7_1,3019.48,8152.25,14,4615.8843
bin_7_2,3019.48,8252.25,41,16498.572
bin_7_3,3019.48,8352.25,20,5856.037
bin_7_4,3019.48,8452.25,20,4706.789
bin_7_5,3019.48,8552.25,17,5192.6455
bin_7_6,3019.48,8652.25,22,6746.8477
bin_7_7,3019.48,8752.25,31,10430.839
bin_7_8,3019.48,8852.25,27,10881.797
bin_7_9,3019.48,8952.25,26,8936.697
bin_8_0,3119.48,8052.25,28,8733.151
bin_8_1,3119.48,8152.25,13,4171.6685
bin_8_2,3119.48,8252.25,39,15832.419
bin_8_3,3119.48,8352.25,21,6503.4233
bin_8_4,3119.48,8452.25,13,3741.2424
bin_8_5,3119.48,8552.25,23,6655.13
bin_8_6,3119.48,8652.25,21,6240.962
bin_8_7,3119.48,8752.25,19,6098.0464
bin_8_8,3119.48,8852.25,44,16699.658
bin_8_9,3119.48,8952.25,16,5436.187
bin_9_0,3219.48,8052.25,26,6454.028
bin_9_1,3219.48,8152.25,18,5740.583
bin_9_2,3219.48,8252.25,33,12801.289
bin_9_3,3219.48,8352.25,9,2914.8044
bin_9_4,3219.48,8452.25,15,4743.956
bin_9_5,3219.48,8552.25,9,2795.3162
bin_9_6,3219.48,8652.25,20,6515.368
bin_9_7,3219.48,8752.25,27,9650.736
bin_9_8,3219.48,8852.25,55,19705.469
bin_9_9,3219.48,8952.25,32,11795.835
bin_10_0,3319.48,8052.25,20,5223.2944
bin_10_1,3319.48,8152.25,17,6516.395
bin_10_2,3319.48,8252.25,38,14141.766
bin_10_3,3319.48,8352.25,17,5208.3677
bin_10_4,3319.48,8452.25,15,4758.8335
bin_10_5,3319.48,8552.25,19,5737.42
bin_10_6,3319.48,8652.25,18,6021.8853
bin_10_7,3319.48,8752.25,56,23999.383
bin_10_8,3319.48,8852.25,56,20642.627
bin_10_9,3319.48,8952.25,23,8325.262
bin_10_10,3319.48,9052.25,24,9102.62
bin_11_0,3419.48,8052.25,20,5742.94
bin_11_1,3419.48,8152.25,16,4266.461
bin_11_2,3419.48,8252.25,39,15232.859
bin_11_3,3419.48,8352.25,12,3341.9746
bin_11_4,3419.48,8452.25,14,3975.8413
bin_11_5,3419.48,8552.25,23,8718.712
bin_11_6,3419.48,8652.25,18,5375.0117
bin_11_7,3419.48,8752.25,59,23281.848
bin_11_8,3419.48,8852.25,38,14577.541
bin_11_9,3419.48,8952.25,56,21741.129
bin_11_10,3419.48,9052.25,27,9999.779
bin_12_0,3519.48,8052.25,20,5835.981
bin_12_1,3519.48,8152.25,16,4964.2993
bin_12_2,3519.48,8252.25,55,21516.785
bin_12_3,3519.48,8352.25,14,5316.2266
bin_12_4,3519.48,8452.25,14,4371.7817
bin_12_5,3519.48,8552.25,18,4927.8413
