bin_id,center_x,center_y,n_cells,total_transcripts
bin_0_8,5895.14,7814.39,30,5560.24
bin_0_9,5895.14,7914.39,33,6150.818
bin_0_10,5895.14,8014.39,16,3073.3232
bin_0_11,5895.14,8114.39,5,864.30225
bin_1_7,5995.14,7714.39,19,3526.0012
bin_1_8,5995.14,7814.39,29,4722.953
bin_1_9,5995.14,7914.39,30,5511.042
bin_1_10,5995.14,8014.39,23,4008.0164
bin_1_11,5995.14,8114.39,25,4352.802
bin_2_5,6095.14,7514.39,2,359.97293
bin_2_6,6095.14,7614.39,13,2472.372
bin_2_7,6095.14,7714.39,22,4010.1858
bin_2_8,6095.14,7814.39,30,5464.573
bin_2_9,6095.14,7914.39,35,7051.4043
bin_2_10,6095.14,8014.39,14,2709.3176
bin_2_11,6095.14,8114.39,27,4784.3203
bin_3_3,6195.14,7314.39,9,1771.8906
bin_3_4,6195.14,7414.39,5,887.56726
bin_3_5,6195.14,7514.39,27,4645.693
bin_3_6,6195.14,7614.39,22,4053.0356
bin_3_7,6195.14,7714.39,30,5467.43
bin_3_8,6195.14,7814.39,46,7893.2
bin_3_9,6195.14,7914.39,17,2944.2043
bin_3_10,6195.14,8014.39,31,5763.199
bin_3_11,6195.14,8114.39,30,6003.9854
bin_4_1,6295.14,7114.39,8,1463.1849
bin_4_2,6295.14,7214.39,30,5659.4805
bin_4_3,6295.14,7314.39,19,3261.3342
bin_4_4,6295.14,7414.39,20,3738.7192
bin_4_5,6295.14,7514.39,46,9213.652
bin_4_6,6295.14,7614.39,34,6435.1313
bin_4_7,6295.14,7714.39,46,9302.124
bin_4_8,6295.14,7814.39,24,4567.385
bin_4_9,6295.14,7914.39,23,4829.9355
bin_4_10,6295.14,8014.39,38,6589.537
bin_4_11,6295.14,8114.39,31,5788.1226
bin_5_0,6395.14,7014.39,22,4140.9673
bin_5_1,6395.14,7114.39,19,3123.0918
bin_5_2,6395.14,7214.39,32,5700.2764
bin_5_3,6395.14,7314.39,21,3667.7288
bin_5_4,6395.14,7414.39,55,10131.3125
bin_5_5,6395.14,7514.39,56,9878.227
bin_5_6,6395.14,7614.39,47,7891.28
bin_5_7,6395.14,7714.39,26,4600.529
bin_5_8,6395.14,7814.39,18,3624.0288
bin_5_9,6395.14,7914.39,26,5756.6143
bin_5_10,6395.14,8014.39,28,4669.054
bin_6_0,6495.14,7014.39,28,5776.5986
bin_6_1,6495.14,7114.39,24,4580.4946
bin_6_2,6495.14,7214.39,28,5383.21
bin_6_3,6495.14,7314.39,46,8409.635
bin_6_4,6495.14,7414.39,26,4291.2676
bin_6_5,6495.14,7514.39,20,3717.414
bin_6_6,6495.14,7614.39,12,2163.04
bin_6_7,6495.14,7714.39,18,3301.2766
bin_6_8,6495.14,7814.39,22,3975.9526
bin_6_9,6495.14,7914.39,9,1756.7699
bin_6_10,6495.14,8014.39,22,3929.3035
bin_7_0,6595.14,7014.39,28,5219.1294
bin_7_1,6595.14,7114.39,28,5232.6875
bin_7_2,6595.14,7214.39,57,10410.801
bin_7_3,6595.14,7314.39,22,3714.2896
bin_7_4,6595.14,7414.39,19,3377.7021
bin_7_5,6595.14,7514.39,18,3266.5195
bin_7_6,6595.14,7614.39,22,3892.4175
bin_7_7,6595.14,7714.39,32,6026.3115
bin_7_8,6595.14,7814.39,80,14584.174
bin_7_9,6595.14,7914.39,59,11317.664
bin_7_10,6595.14,8014.39,18,3314.8994
bin_8_0,6695.14,7014.39,29,5952.5146
bin_8_1,6695.14,7114.39,31,6170.6836
bin_8_2,6695.14,7214.39,35,7006.5586
bin_8_3,6695.14,7314.39,17,3378.7212
bin_8_4,6695.14,7414.39,17,3387.8252
bin_8_5,6695.14,7514.39,21,4290.217
bin_8_6,6695.14,7614.39,39,7813.7764
bin_8_7,6695.14,7714.39,84,17220.414
bin_8_8,6695.14,7814.39,74,14148.657
bin_8_9,6695.14,7914.39,77,15519.432
bin_8_10,6695.14,8014.39,30,5141.871
bin_9_0,6795.14,7014.39,32,5339.237
bin_9_1,6795.14,7114.39,45,8548.402
bin_9_2,6795.14,7214.39,35,6151.9727
bin_9_3,6795.14,7314.39,21,4397.626
bin_9_4,6795.14,7414.39,20,3588.4495
bin_9_5,6795.14,7514.39,27,5512.1562
bin_9_6,6795.14,7614.39,68,12043.265
bin_9_7,6795.14,7714.39,49,9162.855
bin_9_8,6795.14,7814.39,46,8262.793
bin_9_9,6795.14,7914.39,84,16137.352
bin_9_10,6795.14,8014.39,29,4982.8135
bin_10_0,6895.14,7014.39,41,7632.701
bin_10_1,6895.14,7114.39,49,10160.025
bin_10_2,6895.14,7214.39,25,4480.7744
bin_10_3,6895.14,7314.39,29,6172.2476
bin_10_4,6895.14,7414.39,15,2976.6882
bin_10_5,6895.14,7514.39,29,5729.1553
bin_10_6,6895.14,7614.39,89,17093.879
bin_10_7,6895.14,7714.39,51,9952.682
bin_10_8,6895.14,7814.39,52,9248.357
bin_10_9,6895.14,7914.39,50,9365.096
bin_10_10,6895.14,8014.39,31,5358.9805
bin_11_0,6995.14,7014.39,43,7602.6074
bin_11_1,6995.14,7114.39,39,7212.265
bin_11_2,6995.14,7214.39,42,7356.82
bin_11_3,6995.14,7314.39,20,3920.657
bin_11_4,6995.14,7414.39,12,2294.7456
bin_11_5,6995.14,7514.39,34,6767.1426
bin_11_6,6995.14,7614.39,51,9579.314
bin_11_7,6995.14,7714.39,48,9140.584
bin_11_8,6995.14,7814.39,55,9991.645
bin_11_9,6995.14,7914.39,52,9654.512
bin_11_10,6995.14,8014.39,29,5214.902
bin_12_0,7095.14,7014.39,32,6287.3896
bin_12_1,7095.14,7114.39,34,6346.776
bin_12_2,7095.14,7214.39,58,10882.177
bin_12_3,7095.14,7314.39,17,3391.7
bin_12_4,7095.14,7414.39,19,3775.66
bin_12_5,7095.14,7514.39,28,5464.213
bin_12_6,7095.14,7614.39,31,5896.8945
bin_12_7,7095.14,7714.39,24,4896.1846
bin_12_8,7095.14,7814.39,51,9399.85
bin_12_9,7095.14,7914.39,44,8277.051
bin_12_10,7095.14,8014.39,23,4569.673
bin_12_11,7095.14,8114.39,9,1658.7832
bin_12_12,7095.14,8214.39,26,4560.256
bin_12_13,7095.14,8314.39,19,3702.9443
bin_12_14,7095.14,8414.39,22,4013.0127
bin_13_0,7195.14,7014.39,13,2225.433
bin_13_1,7195.14,7114.39,49,9045.047
bin_13_2,7195.14,7214.39,38,7222.5083
bin_13_3,7195.14,7314.39,51,10073.584
bin_13_4,7195.14,7414.39,17,2752.6716
bin_13_5,7195.14,7514.39,17,3191.8003
bin_13_6,7195.14,7614.39,19,3471.349
bin_13_7,7195.14,7714.39,20,4065.5698
bin_13_8,7195.14,7814.39,56,9855.574
bin_13_9,7195.14,7914.39,47,8274.534
bin_13_10,7195.14,8014.39,16,2358.553
