gene,ctrl_mean,mut_mean,log2fc,pvalue,statistic,time_point,pvalue_adj,abs_log2fc,-log10_pvalue,-log10_pvalue_adj,significant,regulation
Sparcl1,57.69933,29.264795,-0.9557034276540792,3.158591988760723e-38,6205.0,p7,3.032248309210294e-35,0.9557034276540792,37.50050647047788,34.51823523743831,True,downregulated
Slc1a2,40.464813,20.684708,-0.9352096015268346,2.9509911067380766e-26,9177.0,p7,1.4164757312342768e-23,0.9352096015268346,25.53003209931075,22.84879086193516,True,downregulated
Atp1a2,38.65187,21.353468,-0.8268902621034082,3.91842030498905e-25,9489.5,p7,1.253894497596496e-22,0.8268902621034082,24.406888981728894,21.901739003408988,True,downregulated
Fabp7,33.29643,19.019453,-0.7766557961648817,1.7741665923061403e-19,11188.5,p7,4.2579998215347365e-17,0.7766557961648817,18.75100560281186,16.370794361100252,True,downregulated
Apoe,24.464571,12.369441,-0.9295522638450737,2.543770228486043e-19,11239.0,p7,4.884038838693203e-17,0.9295522638450737,18.59452211983466,16.31122089113111,True,downregulated
Gabbr1,42.96208,25.774006,-0.7154265751514192,5.868461069939407e-19,11357.0,p7,9.38953771190305e-17,0.7154265751514192,18.231475772084366,16.02735578942844,True,downregulated
Nlgn2,34.914783,20.567274,-0.7357339733110428,1.0886613061497263e-18,11445.0,p7,1.4930212198624817e-16,0.7357339733110428,17.9631072127593,15.825934019733989,True,downregulated
Mdh2,15.750643,7.748556,-0.9370996184057433,4.4255365723316794e-18,11650.0,p7,5.310643886798015e-16,0.9370996184057433,17.35403406592087,15.274852819873248,True,downregulated
Lrrc4b,16.261192,8.288309,-0.8940442342632963,6.586422104970474e-18,11708.5,p7,7.025516911968506e-16,0.8940442342632963,17.181350440039967,15.153321716439724,True,downregulated
Kcna2,15.025365,7.9820457,-0.8352412458012155,7.631039246908431e-18,11734.0,p7,7.325797677032094e-16,0.8352412458012155,17.117416312836333,15.135145079796764,True,downregulated
Ankrd11,36.273224,20.630878,-0.7850473520706003,1.1890529478003455e-17,11792.0,p7,8.7806986914487055e-16,0.7850473520706003,16.92479880608313,15.056470925350396,True,downregulated
Ctnnb1,27.235598,15.49828,-0.7751995773536547,1.081180522655946e-17,11778.0,p7,8.7806986914487055e-16,0.7751995773536547,16.9661017866685,15.056470925350396,True,downregulated
Huwe1,40.078583,23.278263,-0.7587211962051434,1.1338832023787906e-17,11785.0,p7,8.7806986914487055e-16,0.7587211962051434,16.94543167840148,15.056470925350396,True,downregulated
Atp1b2,16.410435,9.668443,-0.7066026250741395,1.807674936195604e-16,12201.0,p7,1.2395485276769856e-14,0.7066026250741395,15.74287966352269,13.906736466161359,True,downregulated
Ptprj,24.417765,13.287501,-0.8310835264954378,2.0991037408876051e-16,12223.5,p7,1.3434263941680673e-14,0.8310835264954378,15.67796609739583,13.871786123411942,True,downregulated
Ptprz1,20.746521,12.272694,-0.7123234284161823,3.342487768973589e-16,12295.0,p7,2.0054926613841537e-14,0.7123234284161823,15.475930173258797,13.697778922875154,True,downregulated
Map2,19.254593,10.775101,-0.7825096893400181,5.951040904473817e-16,12385.5,p7,3.360587804879332e-14,0.7825096893400181,15.225407064602251,13.473584752940956,True,downregulated
Arhgef12,22.042753,13.632553,-0.6551315906317713,8.226346982541454e-16,12435.0,p7,4.3873850573554424e-14,0.6551315906317713,15.084792976151308,13.357794248215045,True,downregulated
Gnas,23.44834,14.233962,-0.6824452725578491,2.316756983999365e-15,12598.0,p7,1.1120433523196953e-13,0.6824452725578491,14.635119519098772,12.953878281723185,True,downregulated
Gphn,20.357887,10.378077,-0.9085122491943488,2.2419432822992385e-15,12594.5,p7,1.1120433523196953e-13,0.9085122491943488,14.649375378581386,12.953878281723185,True,downregulated
Rgma,13.357635,6.89779,-0.8622971768064845,3.324549465243509e-15,12662.5,p7,1.5197940412541758e-13,0.8622971768064845,14.47826720089202,12.81821526258637,True,downregulated
Ubc,146.81346,92.84893,-0.6553654538610751,4.61501556288186e-15,12708.0,p7,2.0138249728939027e-13,0.6553654538610751,14.335826830095856,12.695978277878494,True,downregulated
Dnajc27,13.33228,6.7090535,-0.8946425015051327,7.854668397568565e-15,12798.0,p7,3.278470287680792e-13,0.8946425015051327,14.104872144951957,12.48432874792998,True,downregulated
Sdc3,20.874498,13.018779,-0.641889253732061,8.600729347636695e-15,12808.5,p7,3.4402917390546776e-13,0.641889253732061,14.065464718730473,12.46340472740251,True,downregulated
Ccdc88a,28.889122,16.350092,-0.7846772112417859,1.5514075105477957e-14,12904.5,p7,5.957404840503535e-13,0.7846772112417859,13.80927411041564,12.224942886048108,True,downregulated
Grk2,23.800941,14.54982,-0.6734970124560947,1.7268358138204746e-14,12922.0,p7,6.376009158721752e-13,0.6734970124560947,13.762748952844518,12.195451067775767,True,downregulated
Aqp4,24.280674,12.200952,-0.9373929977256218,2.6571171410613083e-14,12993.5,p7,9.44752761266243e-13,0.9373929977256218,13.575589298960024,12.024681830079443,True,downregulated
Zfp609,26.343288,14.606011,-0.8090848999721119,5.993037286515851e-14,13128.0,p7,2.054755641091149e-12,0.8090848999721119,13.222353020271527,11.687239818574177,True,downregulated
Ryk,22.448376,12.508691,-0.7956001231994226,6.657355451992726e-14,13146.0,p7,2.2038142185906953e-12,0.7956001231994226,13.176698254417138,11.656825019276527,True,downregulated
Vcan,17.952442,9.458269,-0.8577396626412731,9.018527123974503e-14,13197.0,p7,2.885928679671841e-12,0.8577396626412731,13.04486438420543,11.539714405885524,True,downregulated
Arhgap32,14.44399,7.8846626,-0.7976566024045104,9.76361390957329e-14,13213.0,p7,3.0235707590936636e-12,0.7976566024045104,13.010389402570814,11.519479863365518,True,downregulated
Grm3,19.280136,12.554057,-0.5813425783267111,1.7578276702248407e-13,13310.0,p7,5.273483010674523e-12,0.5813425783267111,12.755023703516448,11.277902448796786,True,downregulated
Glul,22.711493,14.108285,-0.650246578106479,2.16164774451314e-13,13345.0,p7,6.288429802220044e-12,0.650246578106479,12.665215075913826,11.201457782752145,True,downregulated
Nlgn3,15.836711,9.399639,-0.6950768665375935,2.366499212683498e-13,13361.0,p7,6.5908854733084655e-12,0.6950768665375935,12.625893635682473,11.181056234823536,True,downregulated
Fxyd6,15.012547,8.544444,-0.7464696881980599,2.402926995477045e-13,13365.0,p7,6.5908854733084655e-12,0.7464696881980599,12.619259423512828,11.181056234823536,True,downregulated
Mpzl1,18.341965,10.468091,-0.7541090896034326,2.959596296422577e-13,13399.0,p7,7.892256790460205e-12,0.7541090896034326,12.528767524817122,11.10279879254484,True,downregulated
