gene,ctrl_mean,mut_mean,log2fc,pvalue,statistic,time_point,pvalue_adj,abs_log2fc,-log10_pvalue,-log10_pvalue_adj,significant,regulation
Ptprs,163.30678,62.41276,-1.37354688120143,6.747338825683825e-27,655.0,e16,6.2816531842076235e-24,1.37354688120143,26.17086748068062,23.201926045069435,True,downregulated
March6,64.04112,25.56463,-1.291845508420434,1.3086777467099216e-26,681.0,e16,6.2816531842076235e-24,1.291845508420434,25.883167282445022,23.201926045069435,True,downregulated
Lmnb1,61.045513,24.297743,-1.294318216862131,2.40307376320245e-25,797.0,e16,7.689836042247839e-23,1.294318216862131,24.619232898168168,22.11408291984826,True,downregulated
Srgap3,87.657104,34.38571,-1.3250693106264015,4.917076974618885e-25,826.0,e16,1.1800984739085326e-22,1.3250693106264015,24.30829299297269,21.928081751261082,True,downregulated
Cdh24,30.991354,11.876957,-1.3128903552439235,5.454060855322368e-24,925.0,e16,1.0471796842218948e-21,1.3128903552439235,23.263280020596213,20.979978791892663,True,downregulated
Scrib,54.430542,23.97443,-1.1502293580325367,9.49978721879776e-24,948.0,e16,1.5199659550076416e-21,1.1502293580325367,23.02228612215714,20.818166139501216,True,downregulated
Huwe1,105.91209,49.0613,-1.0946573461691167,1.4259312172437936e-23,965.0,e16,1.95556281222006e-21,1.0946573461691167,22.84590142307597,20.708728230050657,True,downregulated
Zfp609,77.89281,35.383286,-1.1166179409178545,2.3496934165022176e-23,986.0,e16,2.819632099802661e-21,1.1166179409178545,22.628988799944164,20.549807553896542,True,downregulated
Cdh2,84.35436,33.9609,-1.2877225937448777,4.7758909350107044e-23,1016.0,e16,5.094283664011418e-21,1.2877225937448777,22.32094559956375,20.292916875963506,True,downregulated
Slc38a2,30.72811,11.541097,-1.3390980416331872,5.895685768559832e-23,1025.0,e16,5.659122142756067e-21,1.3390980416331872,22.22946567179372,20.247250932438146,True,downregulated
Mex3a,76.64735,31.386705,-1.2615349085097356,6.48441078857466e-23,1029.0,e16,5.659122142756067e-21,1.2615349085097356,22.18812948031949,20.247250932438146,True,downregulated
Bmpr2,62.578224,27.326391,-1.1663859066009228,1.436080773264615e-22,1063.0,e16,1.1488646186116919e-20,1.1663859066009228,21.842821132240964,19.93973114524902,True,downregulated
Sox4,77.535614,29.396713,-1.3694316938954345,1.65195276059778e-22,1069.0,e16,1.219903577056822e-20,1.3694316938954345,21.782002375965423,19.91367449523269,True,downregulated
Mapk8ip3,59.47119,26.02389,-1.1620126669721116,3.6322857550116746e-22,1103.0,e16,2.4907102320080055e-20,1.1620126669721116,21.43981999249043,19.6036767951291,True,downregulated
Dpysl2,58.536396,22.567665,-1.3369630574570242,6.917121632457285e-22,1131.0,e16,4.4269578447726624e-20,1.3369630574570242,21.160074587507587,19.3538946135237,True,downregulated
Gabbr1,71.49368,31.73304,-1.1471076943956686,8.120168818756445e-22,1138.0,e16,4.872101291253867e-20,1.1471076943956686,21.090434941658796,19.31228369127515,True,downregulated
Nlgn2,84.3147,39.915447,-1.0601486760633572,1.0441475411481367e-21,1149.0,e16,5.896362585307125e-20,1.0601486760633572,20.98123812989775,19.229415818236458,True,downregulated
Ryk,38.81221,16.037975,-1.2244570568401394,1.2529705620337505e-21,1157.0,e16,6.682509664180003e-20,1.2244570568401394,20.902059132434808,19.175060404498545,True,downregulated
Parp1,46.27936,22.13583,-1.0310817071452698,1.4695564735780082e-21,1164.0,e16,7.05387107317444e-20,1.0310817071452698,20.832813719770314,19.151572482394727,True,downregulated
Sptan1,79.66632,32.119534,-1.284284102146433,1.4042335393254357e-21,1162.0,e16,7.05387107317444e-20,1.284284102146433,20.852560658298913,19.151572482394727,True,downregulated
Klhl24,42.54806,17.72151,-1.2179116994590589,3.473923669521662e-21,1202.0,e16,1.5880793917813313e-19,1.2179116994590589,20.459179728280898,18.79912778997525,True,downregulated
Ubc,125.79936,59.94392,-1.0569932810155225,3.8015667170006805e-21,1206.0,e16,1.658865476509388e-19,1.0569932810155225,20.420037383298762,18.7801888310814,True,downregulated
Stx16,53.52783,25.638086,-1.0335022527732611,4.159615960801759e-21,1210.0,e16,1.7361875314650818e-19,1.0335022527732611,20.38094676403761,18.760403367015634,True,downregulated
Ctnnb1,86.391655,41.08766,-1.054098162960272,5.446223228907391e-21,1222.0,e16,2.1784892915629563e-19,1.054098162960272,20.263904561840008,18.661844570512045,True,downregulated
Ppp3cb,37.48755,17.702694,-1.0411457014608272,6.658645579726724e-21,1231.0,e16,2.556919902615062e-19,1.0411457014608272,20.176614100720208,18.592282876352677,True,downregulated
Ankrd11,82.85053,40.65684,-1.0092664983328912,1.5190297940010957e-20,1268.0,e16,5.608725393234815e-19,1.0092664983328912,19.818433707872977,18.25113582280423,True,downregulated
Gnb1,54.806957,24.347355,-1.1386097853342256,1.8540937174821375e-20,1277.0,e16,6.592333217714266e-19,1.1386097853342256,19.731868317679822,18.18096084879924,True,downregulated
Ccdc88a,45.044884,19.840527,-1.1436491294522966,2.069576186009422e-20,1282.0,e16,6.85101082265188e-19,1.1436491294522966,19.684118581558717,18.164245346418102,True,downregulated
Mdh2,31.168703,12.651934,-1.2365524631231137,2.0242842944063094e-20,1281.0,e16,6.85101082265188e-19,1.2365524631231137,19.693728494390793,18.164245346418102,True,downregulated
Depdc5,41.523666,19.428932,-1.0576521940093653,3.752651710612095e-20,1309.0,e16,1.2008485473958704e-18,1.0576521940093653,19.425661741256622,17.920511762936716,True,downregulated
Nipbl,58.61772,27.311932,-1.074331058207163,6.073567714688295e-20,1331.0,e16,1.8808467761615365e-18,1.074331058207163,19.21655612216528,17.725646582959985,True,downregulated
Tet2,54.830578,26.750696,-1.0085315233538537,6.344480970991846e-20,1333.0,e16,1.903344291297554e-18,1.0085315233538537,19.197603900859136,17.720482646139473,True,downregulated
Mpzl1,51.929337,21.90607,-1.2083375693650669,7.714798725554751e-20,1342.0,e16,2.2443050837977457e-18,1.2083375693650669,19.112675399934105,17.648918106772424,True,downregulated
Lrrc4b,50.929546,19.897907,-1.3131971462206145,9.593238994161934e-20,1352.0,e16,2.6875635323554643e-18,1.3131971462206145,19.018034735916473,17.570641260499492,True,downregulated
Sun2,36.525024,17.024195,-1.0579182061071761,9.798408711712631e-20,1353.0,e16,2.6875635323554643e-18,1.0579182061071761,19.008844449188786,17.570641260499492,True,downregulated
Ephb2,31.961075,10.250513,-1.5507724915102528,1.1436116033654352e-19,1361.0,e16,3.0496309423078273e-18,1.5507724915102528,18.941721446832748,17.515752714560467,True,downregulated
Rtn4,35.76817,15.33713,-1.1703028235074422,2.0408824648882748e-19,1387.0,e16,5.29526261160201e-18,1.1703028235074422,18.69018200572992,17.27611249675735,True,downregulated
Nes,63.33487,25.299492,-1.2905659613920086,2.325304393912975e-19,1393.0,e16,5.6969430010498235e-18,1.2905659613920086,18.633520187744455,17.24435812571681,True,downregulated
Lmnb2,33.273243,15.184236,-1.0824934822098,2.3737262504374265e-19,1394.0,e16,5.6969430010498235e-18,1.0824934822098,18.624569367428418,17.24435812571681,True,downregulated
Fzd3,55.772472,23.089746,-1.236772360359009,2.276130517044768e-19,1392.0,e16,5.6969430010498235e-18,1.236772360359009,18.642802838407388,17.24435812571681,True,downregulated
Flna,85.70974,42.894337,-0.9821592399585457,3.139919735709018e-19,1407.0,e16,7.352007186050383e-18,0.9821592399585457,18.503081453450417,17.13359407713058,True,downregulated
Ap2a1,38.811657,17.92966,-1.0725423578645845,6.344031465610024e-19,1440.0,e16,1.450064334996577e-17,1.0725423578645845,18.19763467163829,16.838612728996623,True,downregulated
Chd2,61.308056,29.949142,-1.0095192673901225,7.205728016348131e-19,1446.0,e16,1.608720673417257e-17,1.0095192673901225,18.142322134557112,16.79351935709713,True,downregulated
