gene,ctrl_mean,mut_mean,log2fc,pvalue,statistic,time_point,pvalue_adj,abs_log2fc,-log10_pvalue,-log10_pvalue_adj,significant,regulation
Ubc,48.24241,138.11896,1.4983457871921,2.2161353002270995e-28,15687.0,p0,2.1274898882180154e-25,1.4983457871921,27.654403728443487,24.67213249540392,True,upregulated
Zbtb20,27.61797,89.76583,1.6652279794837868,2.104400321790694e-22,14865.0,p0,1.0101121544595332e-19,1.6652279794837868,21.676871640465492,18.995630403089905,True,upregulated
Cenpf,6.0167856,20.847725,1.6386008636422467,3.564408876680615e-17,13963.0,p0,1.1406108405377967e-14,1.6386008636422467,16.448012483450817,13.942862505130913,True,upregulated
Tead1,9.436176,27.297699,1.4390915240220066,2.381301578643198e-15,13719.5,p0,5.715123788743675e-13,1.4390915240220066,14.6231856001236,12.242974358411994,True,upregulated
Chd2,15.752943,35.101143,1.1076299500783986,6.324049059757139e-15,13646.0,p0,1.2142174194733708e-12,1.1076299500783986,14.199004769622313,11.915703540918765,True,upregulated
Nfib,37.694748,82.17375,1.1039905498070233,1.1994118513604898e-14,13597.0,p0,1.9190589621767835e-12,1.1039905498070233,13.921031664223406,11.716911681567481,True,upregulated
Msi2,8.609206,23.010424,1.3211716975033987,2.99401732064678e-14,13513.0,p0,4.028203468871236e-12,1.3211716975033987,13.523745691554904,11.394888600884988,True,upregulated
Pax6,9.151706,25.998009,1.4111308465899222,3.3568362240593634e-14,13512.0,p0,4.028203468871236e-12,1.4111308465899222,13.474069846932613,11.394888600884988,True,upregulated
Fabp7,11.607343,28.51726,1.2272945594366926,1.06438503932992e-13,13412.0,p0,1.1353440419519148e-11,1.2272945594366926,12.972901238387959,10.944872514787715,True,upregulated
Epha4,19.036219,49.4681,1.3327615565988444,3.413598800179919e-13,13314.0,p0,3.277054848172722e-11,1.3327615565988444,12.466787522795608,10.484516289756039,True,upregulated
Nfia,23.193373,46.166275,0.9631437627629091,4.511152839754531e-13,13301.0,p0,3.9370061146948634e-11,0.9631437627629091,12.345712458573416,10.404833910692073,True,upregulated
Sox9,10.2272005,28.474724,1.3924800569961953,1.0821648592020173e-12,13207.5,p0,8.657318873616138e-11,1.3924800569961953,11.96570657288213,10.062616585890186,True,upregulated
Lef1,7.5030828,18.071844,1.1653864645057725,2.54385222955603e-12,13073.0,p0,1.7443558145527061e-10,1.1653864645057725,11.594508120127529,9.758364922766198,True,upregulated
Sox2,10.588388,23.244286,1.0649647921666892,2.4881414608212466e-12,13148.0,p0,1.7443558145527061e-10,1.0649647921666892,11.604124931896168,9.758364922766198,True,upregulated
Lamb1,16.268646,27.23642,0.7094021807846325,4.182445863989727e-12,13083.0,p0,2.6767653529534253e-10,0.7094021807846325,11.378569671674041,9.572389697690154,True,upregulated
Sox1,6.566422,19.692793,1.4514452338851724,5.9174171416829445e-12,13036.5,p0,3.3416002682444866e-10,1.4514452338851724,11.227867814541561,9.476045502880266,True,upregulated
Neurod1,13.184622,25.910952,0.9238657217671826,5.591934976941522e-12,12868.0,p0,3.3416002682444866e-10,0.9238657217671826,11.252437887212245,9.476045502880266,True,upregulated
Nr2f1,6.4472938,14.103995,1.0201420522248656,9.655881182864856e-12,13010.5,p0,5.149803297527924e-10,1.0201420522248656,11.015208086939667,9.288209359003405,True,upregulated
Nrp2,7.030234,23.708746,1.621507883119581,2.069052913622412e-11,12886.5,p0,1.0373350126801894e-09,1.621507883119581,10.684228402615858,8.984080963319927,True,upregulated
Sema6d,14.009061,26.571957,0.8773679432371879,2.1611146097503946e-11,12957.0,p0,1.0373350126801894e-09,0.8773679432371879,10.665322200695513,8.984080963319927,True,upregulated
Atp1a2,15.870282,26.792162,0.7201939611785632,3.140025560889215e-11,12922.0,p0,1.4354402564064984e-09,0.7201939611785632,10.50306681660578,8.843014878300131,True,upregulated
Slc1a2,13.445593,27.339926,0.9722065626151838,4.0494600732909546e-11,12895.0,p0,1.7670371228905985e-09,0.9722065626151838,10.392602878716719,8.752754326499357,True,upregulated
Lhx2,4.495518,14.026485,1.4511801819529033,7.319893775416185e-11,12640.0,p0,3.0552600106084946e-09,1.4511801819529033,10.135495221275669,8.514951824253693,True,upregulated
Top2a,8.172092,19.528385,1.1622973444514502,9.481888769863009e-11,12773.0,p0,3.792755507945203e-09,1.1622973444514502,10.023105143608715,8.421045152280753,True,upregulated
Negr1,6.083642,12.262632,0.9048039423559034,1.1766010144653284e-10,12780.0,p0,4.518147895546861e-09,0.9048039423559034,9.929370781499733,8.345039557132202,True,upregulated
Ptprj,16.308825,29.515028,0.8180121611296579,2.172520878204855e-10,12738.0,p0,8.02161555029485e-09,0.8180121611296579,9.663036041233454,8.095738156164703,True,upregulated
Sall1,7.4083204,16.132668,1.026860241139279,2.503383277279154e-10,12675.0,p0,8.900918319214769e-09,1.026860241139279,9.601472653202697,8.050565184322116,True,upregulated
Gfap,9.649612,21.1077,1.0537480360772817,5.199790354932868e-10,12585.0,p0,1.782785264548412e-08,1.0537480360772817,9.284014165890435,7.748900964193086,True,upregulated
Nr4a1,6.8988433,1.7174591,-1.5393830871580745,5.998067840302223e-10,5426.0,p0,1.9855672850655635e-08,1.5393830871580745,9.221988626522093,7.70211539138148,True,downregulated
Adcy2,4.538436,10.499725,1.0540488851145264,6.939787507030853e-10,12520.0,p0,2.2207320022498728e-08,1.0540488851145264,9.15865382723056,7.653503848910654,True,upregulated
Chd6,21.346928,35.21663,0.6965757725857362,1.4145085308135282e-09,12569.0,p0,4.380413514777377e-08,0.6965757725857362,8.849394428995913,7.358484889790617,True,upregulated
Prox1,4.34037,14.548623,1.5417751738099108,1.7878394789645306e-09,12314.0,p0,5.3635184368935916e-08,1.5417751738099108,8.747671476887666,7.270550222168004,True,upregulated
