gene,ctrl_mean,mut_mean,log2fc,pvalue,statistic,time_point,pvalue_adj,abs_log2fc,-log10_pvalue,-log10_pvalue_adj,significant,regulation
Llgl1,0.8311582,9.261129,2.4863611708982947,1.4011887606825602e-65,56087.0,p30,1.3451412102552579e-62,2.4863611708982947,64.85350335493493,61.87123212189537,True,upregulated
Sema6b,1.1926913,6.372545,1.7494599448369157,8.938323876272672e-43,49724.0,p30,4.2903954606108825e-40,1.7494599448369157,42.04874391291915,39.36750267554356,True,upregulated
Fbxo2,2.9996612,11.91398,1.690983939151351,8.171509854262027e-38,50160.0,p30,2.6148831533638487e-35,1.690983939151351,37.08769769122869,34.582547712908784,True,upregulated
Wnt5b,0.42810276,4.3525753,1.906133392531074,1.1660040091500926e-37,47354.5,p30,2.7984096219602223e-35,1.906133392531074,36.93329995631048,34.55308871459887,True,upregulated
Akt2,4.0220623,12.5122175,1.427912626842767,1.4457535179484675e-36,50260.0,p30,2.7758467544610578e-34,1.427912626842767,35.83990574225539,33.55660451355184,True,upregulated
Shank2,3.1405096,12.004631,1.6511452211089204,5.657630107277936e-36,49568.0,p30,9.052208171644698e-34,1.6511452211089204,35.2473654498835,33.04324546722758,True,upregulated
Lhfpl4,1.9834726,7.483727,1.5077056726568696,6.351092084241609e-35,48201.0,p30,8.710069144102778e-33,1.5077056726568696,34.19715159039617,32.059978397370855,True,upregulated
Sfxn5,9.751399,21.7503,1.081361130437161,1.5263390722458123e-34,50000.0,p30,1.8316068866949748e-32,1.081361130437161,33.81634897827648,31.737167732228855,True,upregulated
Sdc4,3.368475,11.175004,1.478720620718665,4.459638422288321e-33,48988.0,p30,4.756947650440876e-31,1.478720620718665,32.350700351505495,30.32267162790525,True,upregulated
Atp6v0e2,4.914665,16.290949,1.547648623742453,3.7915869100477057e-32,49160.0,p30,3.639923433645798e-30,1.547648623742453,31.421178984746245,29.438907751706676,True,upregulated
Slc6a1,4.592529,10.823657,1.0801036364438363,3.4788078891986376e-30,48538.0,p30,3.0360505214824477e-28,1.0801036364438363,29.458569553708465,27.51769100582712,True,upregulated
Nfix,10.65703,25.926765,1.2078406616841704,5.814597385795931e-30,48572.5,p30,4.293856531049303e-28,1.2078406616841704,29.23548035130193,27.367152470569202,True,upregulated
Nr4a1,1.4567323,6.086632,1.5283594418622783,5.753191866327016e-30,47416.0,p30,4.293856531049303e-28,1.5283594418622783,29.240091142209923,27.367152470569202,True,upregulated
Sema6c,2.6555169,9.922262,1.5791243825630843,9.824241358532223e-30,47166.0,p30,6.736622645850667e-28,1.5791243825630843,29.007700976476617,27.171557779115286,True,upregulated
Homer2,1.6135631,6.267168,1.4753752979432941,1.1788083188658316e-29,46781.0,p30,7.544373240741322e-28,1.4753752979432941,28.92855680798942,27.122376834005532,True,upregulated
Gnao1,13.1775675,28.902315,1.0766471639259168,2.4402041857843204e-29,48376.5,p30,1.4641225114705923e-27,1.0766471639259168,28.612573832247637,26.834422581863993,True,upregulated
Dpysl2,10.890746,24.305008,1.0895836830351138,5.808361522897672e-29,48252.0,p30,3.0977928122120917e-27,1.0895836830351138,28.235946360194806,26.508947632258543,True,upregulated
Dab2ip,2.2833216,6.0111594,1.0944969626890912,5.751268302156901e-29,46789.0,p30,3.0977928122120917e-27,1.0944969626890912,28.24023637167749,26.508947632258543,True,upregulated
