bin_id,center_x,center_y,n_cells,total_transcripts
bin_0_14,11706.9,2884.74,32,7922.4214
bin_0_15,11706.9,2984.74,34,8796.838
bin_0_16,11706.9,3084.74,29,7055.996
bin_0_17,11706.9,3184.74,12,2968.5195
bin_0_18,11706.9,3284.74,9,2462.1003
bin_1_12,11806.9,2684.74,59,12828.24
bin_1_13,11806.9,2784.74,61,14269.932
bin_1_14,11806.9,2884.74,56,13636.002
bin_1_15,11806.9,2984.74,68,14952.301
bin_1_16,11806.9,3084.74,103,22886.438
bin_1_17,11806.9,3184.74,64,13418.637
bin_1_18,11806.9,3284.74,31,6705.685
bin_2_11,11906.9,2584.74,20,4312.8906
bin_2_12,11906.9,2684.74,50,12364.59
bin_2_13,11906.9,2784.74,50,10269.81
bin_2_14,11906.9,2884.74,86,19317.812
bin_2_15,11906.9,2984.74,82,18049.543
bin_2_16,11906.9,3084.74,89,20563.273
bin_2_17,11906.9,3184.74,76,16900.268
bin_2_18,11906.9,3284.74,47,10599.088
bin_3_10,12006.9,2484.74,52,11877.247
bin_3_11,12006.9,2584.74,38,8306.234
bin_3_12,12006.9,2684.74,26,5998.471
bin_3_13,12006.9,2784.74,94,19182.605
bin_3_14,12006.9,2884.74,73,16284.302
bin_3_15,12006.9,2984.74,53,11719.375
bin_3_16,12006.9,3084.74,70,15958.794
bin_3_17,12006.9,3184.74,77,15749.197
bin_3_18,12006.9,3284.74,51,10578.324
bin_4_9,12106.9,2384.74,72,15326.117
bin_4_10,12106.9,2484.74,44,9184.194
bin_4_11,12106.9,2584.74,52,11700.605
bin_4_12,12106.9,2684.74,37,8352.365
bin_4_13,12106.9,2784.74,99,20816.467
bin_4_14,12106.9,2884.74,54,11681.801
bin_4_15,12106.9,2984.74,58,12412.867
bin_4_16,12106.9,3084.74,61,12924.197
bin_4_17,12106.9,3184.74,40,7723.5205
bin_4_18,12106.9,3284.74,33,7586.157
bin_5_8,12206.9,2284.74,66,10981.889
bin_5_9,12206.9,2384.74,55,10752.844
bin_5_10,12206.9,2484.74,88,17683.188
bin_5_11,12206.9,2584.74,69,13486.936
bin_5_12,12206.9,2684.74,53,10362.807
bin_5_13,12206.9,2784.74,93,18859.166
bin_5_14,12206.9,2884.74,54,11268.731
bin_5_15,12206.9,2984.74,55,11094.711
bin_5_16,12206.9,3084.74,62,12952.541
bin_5_17,12206.9,3184.74,61,11051.835
bin_6_0,12306.9,1484.74,16,2283.6309
bin_6_1,12306.9,1584.74,8,1023.2861
bin_6_2,12306.9,1684.74,15,2158.0928
bin_6_3,12306.9,1784.74,36,5062.2725
bin_6_4,12306.9,1884.74,38,5429.3843
bin_6_5,12306.9,1984.74,45,5519.6113
bin_6_6,12306.9,2084.74,39,5457.069
bin_6_7,12306.9,2184.74,36,5326.4976
bin_6_8,12306.9,2284.74,44,6284.981
bin_6_9,12306.9,2384.74,84,13003.848
bin_6_10,12306.9,2484.74,84,15199.368
bin_6_11,12306.9,2584.74,75,15426.385
bin_6_12,12306.9,2684.74,54,10907.475
bin_6_13,12306.9,2784.74,83,16711.303
bin_6_14,12306.9,2884.74,88,18548.328
bin_6_15,12306.9,2984.74,80,16580.916
bin_6_16,12306.9,3084.74,71,15103.763
bin_6_17,12306.9,3184.74,10,1703.1715
bin_7_0,12406.9,1484.74,21,3019.164
bin_7_1,12406.9,1584.74,4,376.00897
bin_7_2,12406.9,1684.74,4,552.7208
bin_7_3,12406.9,1784.74,11,1215.8938
bin_7_4,12406.9,1884.74,17,1973.4224
bin_7_5,12406.9,1984.74,25,2547.73
bin_7_6,12406.9,2084.74,24,2795.2402
bin_7_7,12406.9,2184.74,36,4303.7354
bin_7_8,12406.9,2284.74,60,8608.897
bin_7_9,12406.9,2384.74,37,6948.4893
bin_7_10,12406.9,2484.74,60,8968.168
bin_7_11,12406.9,2584.74,39,6371.5957
bin_7_12,12406.9,2684.74,47,8516.44
bin_7_13,12406.9,2784.74,89,16630.033
bin_7_14,12406.9,2884.74,60,11855.52
bin_7_15,12406.9,2984.74,74,14055.958
bin_7_16,12406.9,3084.74,27,5207.0933
bin_7_17,12406.9,3184.74,17,3156.322
bin_8_0,12506.9,1484.74,14,1907.0105
bin_8_1,12506.9,1584.74,6,658.27466
bin_8_2,12506.9,1684.74,13,1681.8889
bin_8_3,12506.9,1784.74,26,2814.6091
bin_8_4,12506.9,1884.74,20,2122.074
bin_8_5,12506.9,1984.74,16,1481.8853
