bin_id,center_x,center_y,n_cells,total_transcripts
bin_0_8,1836.32,9789.26,63,9625.291
bin_0_9,1836.32,9889.26,53,8899.683
bin_0_10,1836.32,9989.26,67,10875.559
bin_0_11,1836.32,10089.26,37,5994.3237
bin_0_12,1836.32,10189.26,90,15097.762
bin_1_7,1936.32,9689.26,63,10555.868
bin_1_8,1936.32,9789.26,43,6802.71
bin_1_9,1936.32,9889.26,9,1539.477
bin_1_10,1936.32,9989.26,40,7320.2476
bin_1_11,1936.32,10089.26,73,12943.599
bin_1_12,1936.32,10189.26,64,12620.903
bin_1_13,1936.32,10289.26,78,15946.453
bin_1_14,1936.32,10389.26,98,15262.441
bin_2_6,2036.32,9589.26,56,8665.077
bin_2_7,2036.32,9689.26,46,7698.216
bin_2_8,2036.32,9789.26,11,1939.434
bin_2_9,2036.32,9889.26,21,3663.2207
bin_2_10,2036.32,9989.26,32,5069.5713
bin_2_11,2036.32,10089.26,39,6515.413
bin_2_12,2036.32,10189.26,50,7449.8936
bin_2_13,2036.32,10289.26,65,11380.373
bin_2_14,2036.32,10389.26,57,10300.357
bin_3_2,2136.3199999999997,9189.26,55,8500.147
bin_3_3,2136.3199999999997,9289.26,64,10684.766
bin_3_4,2136.3199999999997,9389.26,46,7196.367
bin_3_5,2136.3199999999997,9489.26,22,3690.3967
bin_3_6,2136.3199999999997,9589.26,20,3683.3147
bin_3_7,2136.3199999999997,9689.26,12,2512.0786
bin_3_8,2136.3199999999997,9789.26,50,7973.9917
bin_3_9,2136.3199999999997,9889.26,54,8702.006
bin_3_10,2136.3199999999997,9989.26,80,11961.174
bin_3_11,2136.3199999999997,10089.26,70,10712.665
bin_3_12,2136.3199999999997,10189.26,85,12387.377
bin_3_13,2136.3199999999997,10289.26,70,10754.496
bin_3_14,2136.3199999999997,10389.26,95,15617.136
bin_3_15,2136.3199999999997,10489.26,84,14124.073
bin_4_0,2236.3199999999997,8989.26,21,3406.7905
bin_4_1,2236.3199999999997,9089.26,21,3162.4604
bin_4_2,2236.3199999999997,9189.26,19,3238.4854
bin_4_3,2236.3199999999997,9289.26,39,6466.7393
bin_4_4,2236.3199999999997,9389.26,52,8096.1904
bin_4_5,2236.3199999999997,9489.26,56,8656.662
bin_4_6,2236.3199999999997,9589.26,35,5593.929
bin_4_7,2236.3199999999997,9689.26,69,10709.956
bin_4_8,2236.3199999999997,9789.26,71,10462.456
bin_4_9,2236.3199999999997,9889.26,61,9314.298
bin_4_10,2236.3199999999997,9989.26,50,6677.9453
bin_4_11,2236.3199999999997,10089.26,60,9248.98
bin_4_12,2236.3199999999997,10189.26,82,12155.367
bin_4_13,2236.3199999999997,10289.26,74,11140.602
bin_4_14,2236.3199999999997,10389.26,84,13226.5625
bin_4_15,2236.3199999999997,10489.26,84,13399.702
bin_5_0,2336.3199999999997,8989.26,22,3418.9263
bin_5_1,2336.3199999999997,9089.26,25,4611.96
bin_5_2,2336.3199999999997,9189.26,50,8976.41
bin_5_3,2336.3199999999997,9289.26,82,13349.475
bin_5_4,2336.3199999999997,9389.26,96,13632.887
bin_5_5,2336.3199999999997,9489.26,78,12566.861
bin_5_6,2336.3199999999997,9589.26,79,11899.872
bin_5_7,2336.3199999999997,9689.26,72,11217.15
bin_5_8,2336.3199999999997,9789.26,53,8093.759
bin_5_9,2336.3199999999997,9889.26,41,6221.1934
bin_5_10,2336.3199999999997,9989.26,43,7064.911
bin_5_11,2336.3199999999997,10089.26,41,6032.718
bin_5_12,2336.3199999999997,10189.26,79,11285.665
bin_5_13,2336.3199999999997,10289.26,83,12116.058
bin_5_14,2336.3199999999997,10389.26,74,10666.332
bin_5_15,2336.3199999999997,10489.26,119,18310.63
bin_6_0,2436.3199999999997,8989.26,54,8571.241
bin_6_1,2436.3199999999997,9089.26,58,8912.812
bin_6_2,2436.3199999999997,9189.26,47,6851.243
bin_6_3,2436.3199999999997,9289.26,48,7762.895
bin_6_4,2436.3199999999997,9389.26,65,9538.414
bin_6_5,2436.3199999999997,9489.26,79,12084.426
bin_6_6,2436.3199999999997,9589.26,50,7641.238
bin_6_7,2436.3199999999997,9689.26,91,14416.0
bin_6_8,2436.3199999999997,9789.26,56,8792.33
bin_6_9,2436.3199999999997,9889.26,47,7767.1235
bin_6_10,2436.3199999999997,9989.26,43,7097.5107
bin_6_11,2436.3199999999997,10089.26,50,8533.722
bin_6_12,2436.3199999999997,10189.26,81,12052.166
bin_6_13,2436.3199999999997,10289.26,69,9416.748
bin_6_14,2436.3199999999997,10389.26,66,8912.849
bin_6_15,2436.3199999999997,10489.26,95,13825.299
bin_7_0,2536.3199999999997,8989.26,91,14476.57
bin_7_1,2536.3199999999997,9089.26,98,15392.592
bin_7_2,2536.3199999999997,9189.26,102,15600.667
bin_7_3,2536.3199999999997,9289.26,92,14369.5205
bin_7_4,2536.3199999999997,9389.26,67,11019.551
bin_7_5,2536.3199999999997,9489.26,40,6736.7695
bin_7_6,2536.3199999999997,9589.26,42,7094.688
bin_7_7,2536.3199999999997,9689.26,52,8820.11
bin_7_8,2536.3199999999997,9789.26,43,7158.953
bin_7_9,2536.3199999999997,9889.26,43,6873.209
bin_7_10,2536.3199999999997,9989.26,63,10075.428
bin_7_11,2536.3199999999997,10089.26,83,12895.455
bin_7_12,2536.3199999999997,10189.26,79,11664.543
bin_7_13,2536.3199999999997,10289.26,78,11523.742
bin_7_14,2536.3199999999997,10389.26,39,6385.9463
bin_8_0,2636.3199999999997,8989.26,87,13106.713
bin_8_1,2636.3199999999997,9089.26,74,11244.608
bin_8_2,2636.3199999999997,9189.26,85,11818.719
bin_8_3,2636.3199999999997,9289.26,79,12356.311
bin_8_4,2636.3199999999997,9389.26,99,13991.404
bin_8_5,2636.3199999999997,9489.26,92,14260.139
bin_8_6,2636.3199999999997,9589.26,86,12844.841
bin_8_7,2636.3199999999997,9689.26,95,14737.182
bin_8_8,2636.3199999999997,9789.26,76,11179.973
bin_8_9,2636.3199999999997,9889.26,97,15654.506
bin_8_10,2636.3199999999997,9989.26,77,11389.705
bin_8_11,2636.3199999999997,10089.26,63,8913.151
bin_8_12,2636.3199999999997,10189.26,70,9404.633
bin_8_13,2636.3199999999997,10289.26,31,4551.005
bin_8_14,2636.3199999999997,10389.26,25,3528.8398
bin_9_0,2736.3199999999997,8989.26,78,11333.531
bin_9_1,2736.3199999999997,9089.26,75,10497.429
bin_9_2,2736.3199999999997,9189.26,77,10326.584
bin_9_3,2736.3199999999997,9289.26,60,9423.007
bin_9_4,2736.3199999999997,9389.26,89,12669.134
bin_9_5,2736.3199999999997,9489.26,75,11466.592
bin_9_6,2736.3199999999997,9589.26,90,12869.299
bin_9_7,2736.3199999999997,9689.26,90,13335.312
bin_9_8,2736.3199999999997,9789.26,92,13647.833
bin_9_9,2736.3199999999997,9889.26,91,13274.5625
bin_9_10,2736.3199999999997,9989.26,82,11765.121
bin_9_11,2736.3199999999997,10089.26,65,9439.152
